"dates","cases"
2020-03-21,1
2020-03-22,1
2020-03-23,9
2020-03-24,9
2020-03-25,14
2020-03-26,14
2020-03-27,23
2020-03-28,30
2020-03-29,33
2020-03-30,33
2020-03-31,44
2020-04-01,44
2020-04-02,45
2020-04-03,48
2020-04-04,48
2020-04-05,52
2020-04-06,52
2020-04-07,52
2020-04-08,53
2020-04-09,53
2020-04-10,53
2020-04-11,53
2020-04-12,54
2020-04-13,54
2020-04-14,55
2020-04-15,55
2020-04-16,55
2020-04-17,56
2020-04-18,55
2020-04-19,55
2020-04-20,56
2020-04-21,61
2020-04-22,63
2020-04-23,74
2020-04-24,75
2020-04-25,75
2020-04-26,79
2020-04-27,79
2020-04-28,79
2020-04-29,81
2020-04-30,83
2020-05-01,85
2020-05-02,88
2020-05-03,89
2020-05-04,97
2020-05-05,98
2020-05-06,100
2020-05-07,101
2020-05-08,101
2020-05-09,116
2020-05-10,121
2020-05-11,121
2020-05-12,129
2020-05-13,139
2020-05-14,160
2020-05-15,203
2020-05-16,227
2020-05-17,227
2020-05-18,248
2020-05-19,260
2020-05-20,264
2020-05-21,160
2020-05-22,175
2020-05-23,198
2020-05-24,198
2020-05-25,222
2020-05-26,253
2020-05-27,281
2020-05-28,317
2020-05-29,329
2020-05-30,413
2020-05-31,417
2020-06-01,457
2020-06-02,489
2020-06-03,507
2020-06-04,522
2020-06-05,557
2020-06-06,593
2020-06-07,616
2020-06-08,646
2020-06-09,657
2020-06-10,665
2020-06-11,679
2020-06-12,686
2020-06-13,694
2020-06-14,696
2020-06-15,705
2020-06-16,724
2020-06-17,732
2020-06-18,741
2020-06-19,755
2020-06-20,763
2020-06-21,770
2020-06-22,774
2020-06-23,797
2020-06-24,805
2020-06-25,821
2020-06-26,833
2020-06-27,848
2020-06-28,859
2020-06-29,870
2020-06-30,889
2020-07-01,893
2020-07-02,902
2020-07-03,911
2020-07-04,927
2020-07-05,939
2020-07-06,953
2020-07-07,971
2020-07-08,977
2020-07-09,1000
2020-07-10,1006
2020-07-11,1013
2020-07-12,1025
2020-07-13,1029
2020-07-14,1040
2020-07-15,1043
2020-07-16,1051
2020-07-17,1056
2020-07-18,1062
2020-07-19,1065
2020-07-20,1069
2020-07-21,1072
2020-07-22,1075
2020-07-23,1079
2020-07-24,1089
2020-07-25,1103
2020-07-26,1115
2020-07-27,1128
2020-07-28,1135
2020-07-29,1140
2020-07-30,1147
2020-07-31,1154
2020-08-01,1176
2020-08-02,1182
2020-08-03,1195
2020-08-04,1203
2020-08-05,1213
2020-08-06,1223
2020-08-07,1254
2020-08-08,1267
2020-08-09,1283
2020-08-10,1297
2020-08-11,1313
2020-08-12,1332
2020-08-13,1353
2020-08-14,1385
2020-08-15,1434
2020-08-16,1500
2020-08-17,1560
2020-08-18,1603
2020-08-19,1656
2020-08-20,1750
2020-08-21,1848
2020-08-22,2166
2020-08-23,2263
2020-08-24,2362
2020-08-25,2426
2020-08-26,2524
2020-08-27,2679
2020-08-28,2756
2020-08-29,2847
2020-08-30,2928
2020-08-31,2972
2020-09-01,3037
2020-09-02,3112
2020-09-03,3288
2020-09-04,3353
2020-09-05,3539
2020-09-06,3667
2020-09-07,3776
2020-09-08,3900
2020-09-09,4101
2020-09-10,4291
2020-09-11,4377
2020-09-12,4703
2020-09-13,4799
2020-09-14,4978
2020-09-15,5123
2020-09-16,5266
2020-09-17,5380
2020-09-18,5594
2020-09-19,6017
2020-09-20,6287
2020-09-21,6468
2020-09-22,6712
2020-09-23,6879
2020-09-24,7064
2020-09-25,7218
2020-09-26,7364
2020-09-27,7530
2020-09-28,7777
2020-09-29,8017
2020-09-30,8129
2020-10-01,8287
2020-10-02,8491
2020-10-03,8662
2020-10-04,8808
2020-10-05,8965
2020-10-06,9082
2020-10-07,9260
2020-10-08,9442
2020-10-09,9538
2020-10-10,9701
2020-10-11,9801
2020-10-12,9864
2020-10-13,9945
2020-10-14,10069
2020-10-15,10117
2020-10-16,10334
