Code_ISO,Pop_Tot
DZA,44616626
AGO,33933611
BEN,12451031
BWA,2397240
BFA,21497097
BDI,12255429
CMR,27224262
CPV,561901
CAF,4919987
TCD,16914985
COM,888456
COG,5657017
CIV,27053629
COD,92377986
DJI,1002197
EGY,104258327
GNQ,1449891
ERI,3652584
SWZ,1172369
ETH,117876226
GAB,2278829
GMB,2486937
GHA,31732128
GIN,13497237
GNB,2015490
KEN,54985702
LSO,2159067
LBR,5180208
LBY,6958538
MDG,28427333
MWI,19647681
MLI,20855724
MRT,4775110
MUS,1266060
MAR,37344787
MOZ,32163045
NAM,2587344
NER,25130810
NGA,211400704
RWA,13276517
STP,223364
SEN,17196308
SYC,99202
SLE,8141343
SOM,16359500
ZAF,60041996
SSD,11381377
SDN,44909351
TZA,61498438
TGO,8478242
TUN,11935764
UGA,47123533
ZMB,18920657
ZWE,15092171
