"dates","strig"
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,2.04
2020-02-16,3.57
2020-02-23,3.57
2020-03-01,5.52571428571429
2020-03-08,7.74
2020-03-15,7.74
2020-03-22,8.50285714285714
2020-03-29,37.5828571428571
2020-04-05,62.4171428571429
2020-04-12,66.1571428571429
2020-04-19,68.45
2020-04-26,64.0271428571429
2020-05-03,60.71
2020-05-10,59.9471428571429
2020-05-17,59.44
2020-05-24,62.5
2020-05-31,60.46
2020-06-07,60.12
2020-06-14,58.93
2020-06-21,58.93
2020-06-28,58.93
2020-07-05,58.93
2020-07-12,60.1185714285714
2020-07-19,61.01
2020-07-26,61.01
2020-08-02,62.0328571428571
2020-08-09,62.8
2020-08-16,62.8
2020-08-23,62.0328571428571
2020-08-30,61.01
2020-09-06,63.5642857142857
2020-09-13,63.99
2020-09-20,59.9471428571429
2020-09-27,58.33
2020-10-04,59.8642857142857
2020-10-11,57.74
2020-10-18,57.74
2020-10-25,57.91
2020-11-01,55.7842857142857
2020-11-08,51.19
2020-11-15,51.19
2020-11-22,50.5542857142857
2020-11-29,49.4
2020-12-06,51.1028571428571
2020-12-13,52.38
2020-12-20,52.38
2020-12-27,52.38
2021-01-03,52.38
2021-01-10,50.8542857142857
2021-01-17,50.6
2021-01-24,50.6
2021-01-31,50.6
2021-02-07,50.0857142857143
2021-02-14,49.4
2021-02-21,47.8742857142857
2021-02-28,47.62
2021-03-07,50.0657142857143
2021-03-14,51.9
2021-03-21,51.9
2021-03-28,55.48
2021-04-04,57.0057142857143
2021-04-11,55.8157142857143
2021-04-18,59.05
2021-04-25,59.05
2021-05-02,59.05
2021-05-09,59.05
2021-05-16,37.38
2021-05-23,37.38
2021-05-30,37.38
2021-06-06,39.1485714285714
2021-06-13,43.57
2021-06-20,49.3128571428571
2021-06-27,51.61
2021-07-04,51.61
2021-07-11,51.61
2021-07-18,51.61
2021-07-25,51.61
2021-08-01,54.9242857142857
2021-08-08,56.25
2021-08-15,56.25
2021-08-22,56.25
2021-08-29,56.25
2021-09-05,63.0942857142857
2021-09-12,64.88
2021-09-19,64.88
2021-09-26,64.88
2021-10-03,63.7314285714286
2021-10-10,62.2
2021-10-17,62.2
2021-10-24,62.2
2021-10-31,58.12
2021-11-07,57.44
2021-11-14,60.5
2021-11-21,61.01
2021-11-28,64.3271428571429
2021-12-05,67.43
2021-12-12,68.45
2021-12-19,68.45
2021-12-26,69.7957142857143
2022-01-02,71.5614285714286
2022-01-09,71.5142857142857
2022-01-16,71.45
2022-01-23,69.8871428571429
2022-01-30,69.5542857142857
2022-02-06,69.4914285714286
2022-02-13,70.9085714285714
2022-02-20,71.1142857142857
2022-02-27,71.0842857142857
2022-03-06,71.0585714285714
2022-03-13,54.97
2022-03-20,52.2671428571429
2022-03-27,52.2414285714286
2022-04-03,52.2171428571429
2022-04-10,52.2
2022-04-17,52.2
2022-04-24,52.2
2022-05-01,52.1571428571429
2022-05-08,51.19
2022-05-15,51.03
2022-05-22,51.0257142857143
2022-05-29,51
2022-06-05,50.9957142857143
2022-06-12,50.97
2022-06-19,50.97
2022-06-26,46.88
2022-07-03,41.3985714285714
2022-07-10,36.63
2022-07-17,36.6271428571429
2022-07-24,36.6085714285714
2022-07-31,36.6
2022-08-07,36.5971428571429
2022-08-14,33.5185714285714
2022-08-21,33
2022-08-28,32.9985714285714
2022-08-31,32.99
