"dates","strig"
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,1.02
2020-02-09,3.57
2020-02-16,3.57
2020-02-23,3.57
2020-03-01,3.57
2020-03-08,5.61
2020-03-15,7.14
2020-03-22,7.39571428571429
2020-03-29,8.93
2020-04-05,16.07
2020-04-12,18.45
2020-04-19,18.45
2020-04-26,18.45
2020-05-03,18.45
2020-05-10,16.92
2020-05-17,14.88
2020-05-24,14.88
2020-05-31,14.88
2020-06-07,14.88
2020-06-14,14.88
2020-06-21,14.88
2020-06-28,14.88
2020-07-05,14.88
2020-07-12,16.67
2020-07-19,16.67
2020-07-26,16.67
2020-08-02,16.1585714285714
2020-08-09,14.88
2020-08-16,14.88
2020-08-23,14.88
2020-08-30,14.88
2020-09-06,14.88
2020-09-13,17.26
2020-09-20,17.26
2020-09-27,17.26
2020-10-04,17.26
2020-10-11,17.26
2020-10-18,15.7342857142857
2020-10-25,16.2428571428571
2020-11-01,17.26
2020-11-08,17.26
2020-11-15,17.26
2020-11-22,17.26
2020-11-29,17.26
2020-12-06,17.26
2020-12-13,17.26
2020-12-20,17.26
2020-12-27,17.26
2021-01-03,17.26
2021-01-10,12.16
2021-01-17,17.0471428571429
2021-01-24,18.28
2021-01-31,18.45
2021-02-07,23.21
2021-02-14,23.21
2021-02-21,26.5271428571429
2021-02-28,20.1971428571429
2021-03-07,19.05
2021-03-14,19.05
2021-03-21,20.5757142857143
2021-03-28,18.79
2021-04-04,18.45
2021-04-11,14.29
2021-04-18,14.29
2021-04-25,14.29
2021-05-02,14.29
2021-05-09,14.29
2021-05-16,14.29
2021-05-23,14.29
2021-05-30,14.29
2021-06-06,14.29
2021-06-13,14.29
2021-06-20,14.29
2021-06-27,14.29
2021-07-04,14.29
2021-07-11,14.29
2021-07-18,14.29
2021-07-25,14.29
2021-08-01,14.29
2021-08-08,14.29
2021-08-15,14.29
2021-08-22,14.29
2021-08-29,14.29
2021-09-05,14.29
2021-09-12,14.29
2021-09-19,14.29
2021-09-26,14.29
2021-10-03,17.86
2021-10-10,13.69
2021-10-17,13.69
2021-10-24,15.12
2021-10-31,13.8942857142857
2021-11-07,13.69
2021-11-14,10.7114285714286
2021-11-21,9.52
2021-11-28,13.6085714285714
2021-12-05,14.29
2021-12-12,28.3642857142857
2021-12-19,30.71
2021-12-26,30.71
2022-01-02,30.71
2022-01-09,21.53
2022-01-16,20
2022-01-23,20
2022-01-30,27.4485714285714
2022-02-06,28.69
2022-02-13,26.65
2022-02-20,26.31
2022-02-27,28.35
2022-03-06,28.69
2022-03-13,30.1214285714286
2022-03-20,30.36
2022-03-27,30.36
2022-04-03,28.8257142857143
2022-04-10,28.57
2022-04-17,27.0442857142857
2022-04-24,26.79
2022-05-01,26.79
2022-05-08,26.79
2022-05-15,26.79
2022-05-22,26.79
2022-05-29,26.79
2022-06-05,26.79
2022-06-12,26.79
2022-06-19,26.79
2022-06-26,26.79
2022-07-03,26.79
2022-07-10,26.79
2022-07-17,26.79
2022-07-24,26.79
2022-07-31,21.6814285714286
2022-08-07,20.83
2022-08-14,20.83
2022-08-21,20.83
2022-08-28,20.83
2022-08-31,20.83
