"dates","strig"
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0.511428571428571
2020-02-09,1.79
2020-02-16,1.79
2020-02-23,2.81
2020-03-01,5.87
2020-03-08,11.31
2020-03-15,19.9842857142857
2020-03-22,26.36
2020-03-29,27.38
2020-04-05,55.06
2020-04-12,58.8885714285714
2020-04-19,60.42
2020-04-26,62.8
2020-05-03,62.8
2020-05-10,62.8
2020-05-17,54.68
2020-05-24,54.17
2020-05-31,54.17
2020-06-07,45.4957142857143
2020-06-14,44.05
2020-06-21,44.05
2020-06-28,44.05
2020-07-05,44.05
2020-07-12,44.05
2020-07-19,44.05
2020-07-26,44.05
2020-08-02,44.05
2020-08-09,44.05
2020-08-16,44.05
2020-08-23,44.05
2020-08-30,44.05
2020-09-06,44.05
2020-09-13,44.05
2020-09-20,47.11
2020-09-27,47.62
2020-10-04,47.62
2020-10-11,47.62
2020-10-18,47.62
2020-10-25,46.6
2020-11-01,44.39
2020-11-08,39.29
2020-11-15,45.24
2020-11-22,45.24
2020-11-29,45.24
2020-12-06,45.24
2020-12-13,42.86
2020-12-20,39.8
2020-12-27,39.29
2021-01-03,39.29
2021-01-10,39.29
2021-01-17,35.2014285714286
2021-01-24,33.63
2021-01-31,33.63
2021-02-07,33.63
2021-02-14,35.9271428571429
2021-02-21,36.31
2021-02-28,36.31
2021-03-07,36.31
2021-03-14,37.5
2021-03-21,37.5
2021-03-28,39.0342857142857
2021-04-04,43.57
2021-04-11,48.1642857142857
2021-04-18,48.93
2021-04-25,44.76
2021-05-02,39.4
2021-05-09,39.4
2021-05-16,38.38
2021-05-23,37.02
2021-05-30,37.02
2021-06-06,37.02
2021-06-13,38.45
2021-06-20,38.45
2021-06-27,39.4714285714286
2021-07-04,45.6
2021-07-11,45.3442857142857
2021-07-18,45.6
2021-07-25,45.6
2021-08-01,45.6
2021-08-08,45.6
2021-08-15,45.6
2021-08-22,48.57
2021-08-29,44.9957142857143
2021-09-05,51.8
2021-09-12,54.76
2021-09-19,58.33
2021-09-26,58.33
2021-10-03,58.33
2021-10-10,58.33
2021-10-17,58.33
2021-10-24,58.33
2021-10-31,58.33
2021-11-07,58.33
2021-11-14,58.33
2021-11-21,58.33
2021-11-28,58.33
2021-12-05,60.88
2021-12-12,58.84
2021-12-19,58.33
2021-12-26,58.33
2022-01-02,56.2214285714286
2022-01-09,50.93
2022-01-16,50.93
2022-01-23,50.3214285714286
2022-01-30,50.22
2022-02-06,47.6314285714286
2022-02-13,50.14
2022-02-20,48.78
2022-02-27,40.4914285714286
2022-03-06,40.47
2022-03-13,40.3671428571429
2022-03-20,28.9571428571429
2022-03-27,24.4
2022-04-03,24.4
2022-04-10,27.4685714285714
2022-04-17,27.98
2022-04-24,27.98
2022-05-01,27.4685714285714
2022-05-08,24.4
2022-05-15,24.4
2022-05-22,24.4
2022-05-29,24.4
2022-06-05,24.4
2022-06-12,23.8914285714286
2022-06-19,22.62
2022-06-26,22.62
2022-07-03,22.62
2022-07-10,22.62
2022-07-17,21.09
2022-07-24,19.05
2022-07-31,19.05
2022-08-07,19.05
2022-08-14,20.07
2022-08-21,21.43
2022-08-28,21.43
2022-08-31,21.43
