"dates","strig"
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,1.7
2020-02-16,2.38
2020-02-23,2.38
2020-03-01,2.38
2020-03-08,2.38
2020-03-15,13.6057142857143
2020-03-22,38.2642857142857
2020-03-29,63.69
2020-04-05,63.69
2020-04-12,63.69
2020-04-19,63.69
2020-04-26,63.69
2020-05-03,69.05
2020-05-10,60.3714285714286
2020-05-17,55.61
2020-05-24,53.57
2020-05-31,53.57
2020-06-07,44.05
2020-06-14,44.05
2020-06-21,44.05
2020-06-28,44.05
2020-07-05,44.05
2020-07-12,44.05
2020-07-19,44.05
2020-07-26,44.05
2020-08-02,47.11
2020-08-09,50.4242857142857
2020-08-16,45.83
2020-08-23,45.83
2020-08-30,45.83
2020-09-06,45.83
2020-09-13,44.1328571428571
2020-09-20,42.86
2020-09-27,42.86
2020-10-04,42.86
2020-10-11,42.86
2020-10-18,38.7771428571429
2020-10-25,33.0757142857143
2020-11-01,32.14
2020-11-08,32.14
2020-11-15,32.14
2020-11-22,32.14
2020-11-29,32.14
2020-12-06,29.08
2020-12-13,28.57
2020-12-20,28.57
2020-12-27,28.57
2021-01-03,28.57
2021-01-10,28.57
2021-01-17,30.1042857142857
2021-01-24,30.36
2021-01-31,30.36
2021-02-07,22.7057142857143
2021-02-14,21.43
2021-02-21,26.0242857142857
2021-02-28,26.79
2021-03-07,28.3157142857143
2021-03-14,28.57
2021-03-21,33.93
2021-03-28,33.93
2021-04-04,39.29
2021-04-11,39.7985714285714
2021-04-18,41.07
2021-04-25,41.07
2021-05-02,37.5
2021-05-09,37.5
2021-05-16,37.5
2021-05-23,37.5
2021-05-30,37.5
2021-06-06,37.5
2021-06-13,37.5
2021-06-20,36.9042857142857
2021-06-27,33.33
2021-07-04,33.33
2021-07-11,33.33
2021-07-18,33.33
2021-07-25,33.33
2021-08-01,33.33
2021-08-08,32.6671428571429
2021-08-15,28.69
2021-08-22,28.69
2021-08-29,28.69
2021-09-05,31.1414285714286
2021-09-12,31.55
2021-09-19,31.55
2021-09-26,31.55
2021-10-03,31.55
2021-10-10,31.55
2021-10-17,31.55
2021-10-24,31.55
2021-10-31,29.29
2021-11-07,29.29
2021-11-14,29.29
2021-11-21,33.2671428571429
2021-11-28,33.93
2021-12-05,33.93
2021-12-12,33.93
2021-12-19,33.93
2021-12-26,33.93
2022-01-02,33.93
2022-01-09,33.93
2022-01-16,33.93
2022-01-23,24.7414285714286
2022-01-30,26.11
2022-02-06,27.47
2022-02-13,26.79
2022-02-20,26.79
2022-02-27,26.79
2022-03-06,26.79
2022-03-13,26.79
2022-03-20,26.79
2022-03-27,26.79
2022-04-03,26.79
2022-04-10,26.0185714285714
2022-04-17,25.89
2022-04-24,32.14
2022-05-01,32.14
2022-05-08,28.57
2022-05-15,28.57
2022-05-22,28.57
2022-05-29,28.57
2022-06-05,28.57
2022-06-12,25.51
2022-06-19,25
2022-06-26,25
2022-07-03,25
2022-07-10,25
2022-07-17,25
2022-07-24,25
2022-07-31,25
2022-08-07,25
2022-08-14,25
2022-08-21,25
2022-08-28,25
2022-08-31,25
