"dates","strig"
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,4.08
2020-02-02,8.67428571428571
2020-02-09,8.93
2020-02-16,8.93
2020-02-23,8.93
2020-03-01,8.93
2020-03-08,8.93
2020-03-15,8.93
2020-03-22,33.6728571428571
2020-03-29,39.4585714285714
2020-04-05,53.9128571428571
2020-04-12,61.31
2020-04-19,61.31
2020-04-26,61.31
2020-05-03,63.6071428571429
2020-05-10,65.14
2020-05-17,61.9
2020-05-24,54.8485714285714
2020-05-31,50.6
2020-06-07,48.5514285714286
2020-06-14,51.9528571428571
2020-06-21,50.0814285714286
2020-06-28,48.21
2020-07-05,48.21
2020-07-12,48.21
2020-07-19,48.21
2020-07-26,47.9128571428571
2020-08-02,48.9371428571429
2020-08-09,48.6
2020-08-16,45.2414285714286
2020-08-23,41.67
2020-08-30,44.73
2020-09-06,45.24
2020-09-13,45.24
2020-09-20,52.38
2020-09-27,53.91
2020-10-04,55.95
2020-10-11,56.4614285714286
2020-10-18,57.74
2020-10-25,59.1
2020-11-01,56.04
2020-11-08,52.98
2020-11-15,55.36
2020-11-22,52.3
2020-11-29,51.79
2020-12-06,51.79
2020-12-13,49.4
2020-12-20,49.4
2020-12-27,54.5085714285714
2021-01-03,55.36
2021-01-10,53.57
2021-01-17,53.57
2021-01-24,53.57
2021-01-31,53.57
2021-02-07,53.57
2021-02-14,57.1442857142857
2021-02-21,57.74
2021-02-28,59.2657142857143
2021-03-07,59.52
2021-03-14,59.52
2021-03-21,59.52
2021-03-28,60.1328571428571
2021-04-04,60.6
2021-04-11,60.9
2021-04-18,60.95
2021-04-25,60.95
2021-05-02,60.95
2021-05-09,60.95
2021-05-16,60.95
2021-05-23,60.95
2021-05-30,64.05
2021-06-06,66.6985714285714
2021-06-13,67.14
2021-06-20,68.93
2021-06-27,68.93
2021-07-04,68.93
2021-07-11,65.87
2021-07-18,65.36
2021-07-25,63.57
2021-08-01,59.32
2021-08-08,57.62
2021-08-15,66.2942857142857
2021-08-22,74.29
2021-08-29,75.9142857142857
2021-09-05,75.1
2021-09-12,68.8914285714286
2021-09-19,68.21
2021-09-26,68.21
2021-10-03,59.7928571428571
2021-10-10,37.0414285714286
2021-10-17,33.93
2021-10-24,33.93
2021-10-31,33.93
2021-11-07,33.93
2021-11-14,35.71
2021-11-21,35.71
2021-11-28,35.71
2021-12-05,35.71
2021-12-12,39.7985714285714
2021-12-19,40.48
2021-12-26,40.48
2022-01-02,40.48
2022-01-09,38.44
2022-01-16,38.1
2022-01-23,40.14
2022-01-30,40.48
2022-02-06,36.3914285714286
2022-02-13,35.71
2022-02-20,35.71
2022-02-27,28.57
2022-03-06,28.57
2022-03-13,28.57
2022-03-20,28.57
2022-03-27,28.57
2022-04-03,28.57
2022-04-10,27.8071428571429
2022-04-17,27.68
2022-04-24,26.9171428571429
2022-05-01,26.79
2022-05-08,26.79
2022-05-15,26.79
2022-05-22,26.79
2022-05-29,26.79
2022-06-05,26.79
2022-06-12,26.79
2022-06-19,26.79
2022-06-26,26.79
2022-07-03,26.79
2022-07-10,19.64
2022-07-17,19.64
2022-07-24,19.64
2022-07-31,19.64
2022-08-07,19.64
2022-08-14,19.64
2022-08-21,19.64
2022-08-28,19.64
2022-08-31,19.64
