"dates","strig"
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,0
2020-03-15,2.04
2020-03-22,7.14
2020-03-29,28.2314285714286
2020-04-05,44.05
2020-04-12,44.05
2020-04-19,47.11
2020-04-26,50
2020-05-03,50
2020-05-10,52.04
2020-05-17,54.76
2020-05-24,54.76
2020-05-31,54.76
2020-06-07,55.2714285714286
2020-06-14,52.4642857142857
2020-06-21,49.4
2020-06-28,49.4
2020-07-05,49.4
2020-07-12,49.4
2020-07-19,41.58
2020-07-26,40.1371428571429
2020-08-02,40.48
2020-08-09,40.48
2020-08-16,40.48
2020-08-23,40.48
2020-08-30,46.6
2020-09-06,47.62
2020-09-13,47.62
2020-09-20,50.68
2020-09-27,51.19
2020-10-04,51.19
2020-10-11,51.19
2020-10-18,46.5985714285714
2020-10-25,30.36
2020-11-01,30.36
2020-11-08,30.36
2020-11-15,30.36
2020-11-22,30.36
2020-11-29,25.2514285714286
2020-12-06,24.4
2020-12-13,24.4
2020-12-20,24.4
2020-12-27,18.8785714285714
2021-01-03,16.67
2021-01-10,18.71
2021-01-17,20.24
2021-01-24,21.2571428571429
2021-01-31,22.02
2021-02-07,22.02
2021-02-14,22.02
2021-02-21,25.0885714285714
2021-02-28,18.9657142857143
2021-03-07,17.86
2021-03-14,17.86
2021-03-21,14.8
2021-03-28,14.29
2021-04-04,16.84
2021-04-11,17.86
2021-04-18,17.86
2021-04-25,18.3657142857143
2021-05-02,18.45
2021-05-09,27.6385714285714
2021-05-16,12.38
2021-05-23,12.38
2021-05-30,12.38
2021-06-06,12.38
2021-06-13,12.38
2021-06-20,12.38
2021-06-27,12.38
2021-07-04,12.38
2021-07-11,12.38
2021-07-18,12.38
2021-07-25,12.38
2021-08-01,12.38
2021-08-08,26.1542857142857
2021-08-15,28.45
2021-08-22,28.45
2021-08-29,30.9014285714286
2021-09-05,31.31
2021-09-12,31.31
2021-09-19,31.31
2021-09-26,24.17
2021-10-03,27.06
2021-10-10,32.5
2021-10-17,32.5
2021-10-24,32.5
2021-10-31,32.5
2021-11-07,32.5
2021-11-14,32.5
2021-11-21,33.52
2021-11-28,36.07
2021-12-05,36.07
2021-12-12,35.39
2021-12-19,31.31
2021-12-26,31.31
2022-01-02,31.65
2022-01-09,32.5
2022-01-16,32.5
2022-01-23,32.5
2022-01-30,32.5
2022-02-06,32.5
2022-02-13,32.5
2022-02-20,32.5
2022-02-27,29.44
2022-03-06,28.93
2022-03-13,28.93
2022-03-20,33.01
2022-03-27,33.69
2022-04-03,30.63
2022-04-10,30.12
2022-04-17,30.12
2022-04-24,30.12
2022-05-01,30.12
2022-05-08,30.12
2022-05-15,30.12
2022-05-22,30.12
2022-05-29,26.79
2022-06-05,26.79
2022-06-12,26.79
2022-06-19,25.2557142857143
2022-06-26,25
2022-07-03,30.1
2022-07-10,32.99
2022-07-17,33.33
2022-07-24,29.25
2022-07-31,28.57
2022-08-07,28.57
2022-08-14,28.57
2022-08-21,28.57
2022-08-28,28.57
2022-08-31,28.57
