"dates","strig"
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,0
2020-03-15,6.63
2020-03-22,38.0971428571429
2020-03-29,58.5885714285714
2020-04-05,60.12
2020-04-12,62.6685714285714
2020-04-19,64.58
2020-04-26,64.58
2020-05-03,64.58
2020-05-10,61.6485714285714
2020-05-17,56.8028571428571
2020-05-24,54.46
2020-05-31,54.46
2020-06-07,54.46
2020-06-14,54.12
2020-06-21,53.27
2020-06-28,54.1657142857143
2020-07-05,54.0814285714286
2020-07-12,53.57
2020-07-19,54.5928571428571
2020-07-26,55.36
2020-08-02,41.6657142857143
2020-08-09,36.9
2020-08-16,36.9
2020-08-23,39.8357142857143
2020-08-30,43.75
2020-09-06,43.75
2020-09-13,44.2585714285714
2020-09-20,43.45
2020-09-27,40.9042857142857
2020-10-04,40.48
2020-10-11,40.48
2020-10-18,40.48
2020-10-25,39.4571428571429
2020-11-01,34.9885714285714
2020-11-08,32.44
2020-11-15,32.44
2020-11-22,32.44
2020-11-29,32.44
2020-12-06,32.44
2020-12-13,32.44
2020-12-20,26.32
2020-12-27,25.3
2021-01-03,25.3
2021-01-10,27.0828571428571
2021-01-17,27.38
2021-01-24,30.36
2021-01-31,30.36
2021-02-07,30.36
2021-02-14,35.71
2021-02-21,32.14
2021-02-28,34.69
2021-03-07,39.3871428571429
2021-03-14,37.5485714285714
2021-03-21,37.14
2021-03-28,37.14
2021-04-04,41.43
2021-04-11,42.6557142857143
2021-04-18,42.86
2021-04-25,42.86
2021-05-02,42.86
2021-05-09,42.86
2021-05-16,42.86
2021-05-23,42.86
2021-05-30,41.9242857142857
2021-06-06,36.31
2021-06-13,36.31
2021-06-20,35.97
2021-06-27,33.93
2021-07-04,35.71
2021-07-11,35.71
2021-07-18,35.71
2021-07-25,35.71
2021-08-01,35.71
2021-08-08,35.71
2021-08-15,35.71
2021-08-22,35.71
2021-08-29,33.93
2021-09-05,36.99
2021-09-12,33.93
2021-09-19,33.93
2021-09-26,34.7442857142857
2021-10-03,34.88
2021-10-10,34.88
2021-10-17,34.88
2021-10-24,34.88
2021-10-31,34.88
2021-11-07,34.88
2021-11-14,34.88
2021-11-21,34.88
2021-11-28,34.88
2021-12-05,34.88
2021-12-12,22.38
2021-12-19,22.38
2021-12-26,22.38
2022-01-02,24.66
2022-01-09,30.36
2022-01-16,30.1885714285714
2022-01-23,29.76
2022-01-30,34.3542857142857
2022-02-06,35.12
2022-02-13,35.12
2022-02-20,35.12
2022-02-27,35.12
2022-03-06,35.12
2022-03-13,33.5857142857143
2022-03-20,33.33
2022-03-27,33.33
2022-04-03,33.33
2022-04-10,33.33
2022-04-17,33.33
2022-04-24,30.95
2022-05-01,29.4242857142857
2022-05-08,29.17
2022-05-15,29.17
2022-05-22,30.4414285714286
2022-05-29,30.95
2022-06-05,30.95
2022-06-12,30.27
2022-06-19,29.76
2022-06-26,29.76
2022-07-03,29.76
2022-07-10,29.76
2022-07-17,29.76
2022-07-24,29.76
2022-07-31,29.76
2022-08-07,29.76
2022-08-14,29.76
2022-08-21,29.76
2022-08-28,29.76
2022-08-31,29.76
