"dates","strig"
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,3.57
2020-03-08,3.57
2020-03-15,4.33714285714286
2020-03-22,30.4457142857143
2020-03-29,40.48
2020-04-05,42.52
2020-04-12,52.38
2020-04-19,58.2485714285714
2020-04-26,59.52
2020-05-03,57.48
2020-05-10,54.76
2020-05-17,54.76
2020-05-24,54.76
2020-05-31,54.76
2020-06-07,52.38
2020-06-14,52.38
2020-06-21,52.38
2020-06-28,52.38
2020-07-05,52.38
2020-07-12,52.38
2020-07-19,52.38
2020-07-26,52.38
2020-08-02,52.38
2020-08-09,52.38
2020-08-16,52.38
2020-08-23,52.38
2020-08-30,52.7228571428571
2020-09-06,52.98
2020-09-13,52.47
2020-09-20,51.79
2020-09-27,50.2557142857143
2020-10-04,48.47
2020-10-11,44.9
2020-10-18,43.2
2020-10-25,45.24
2020-11-01,45.24
2020-11-08,45.24
2020-11-15,45.24
2020-11-22,45.24
2020-11-29,34.5257142857143
2020-12-06,32.74
2020-12-13,25.6
2020-12-20,25.6
2020-12-27,25.6
2021-01-03,25.6
2021-01-10,33.76
2021-01-17,35.12
2021-01-24,23.21
2021-01-31,29.3385714285714
2021-02-07,23.21
2021-02-14,30.36
2021-02-21,30.36
2021-02-28,32.74
2021-03-07,30.7
2021-03-14,30.36
2021-03-21,30.36
2021-03-28,30.36
2021-04-04,30.36
2021-04-11,30.36
2021-04-18,32.14
2021-04-25,32.14
2021-05-02,32.14
2021-05-09,27.5542857142857
2021-05-16,26.79
2021-05-23,26.79
2021-05-30,26.79
2021-06-06,26.79
2021-06-13,26.79
2021-06-20,26.79
2021-06-27,26.79
2021-07-04,26.79
2021-07-11,26.79
2021-07-18,26.79
2021-07-25,26.79
2021-08-01,27.81
2021-08-08,33.93
2021-08-15,39.0342857142857
2021-08-22,37.5
2021-08-29,33.93
2021-09-05,33.93
2021-09-12,33.93
2021-09-19,35.71
2021-09-26,32.65
2021-10-03,42.8542857142857
2021-10-10,44.64
2021-10-17,44.64
2021-10-24,44.05
2021-10-31,44.05
2021-11-07,40.9871428571429
2021-11-14,33.33
2021-11-21,33.8442857142857
2021-11-28,33.93
2021-12-05,33.93
2021-12-12,33.93
2021-12-19,41.5842857142857
2021-12-26,42.86
2022-01-02,39.8
2022-01-09,39.29
2022-01-16,39.29
2022-01-23,39.29
2022-01-30,39.29
2022-02-06,39.29
2022-02-13,38.7757142857143
2022-02-20,38.69
2022-02-27,38.69
2022-03-06,38.69
2022-03-13,38.69
2022-03-20,38.69
2022-03-27,41.75
2022-04-03,42.26
2022-04-10,44.3
2022-04-17,44.64
2022-04-24,42.6
2022-05-01,42.26
2022-05-08,42.26
2022-05-15,42.26
2022-05-22,42.26
2022-05-29,42.26
2022-06-05,39.7142857142857
2022-06-12,39.29
2022-06-19,39.29
2022-06-26,44.64
2022-07-03,44.64
2022-07-10,44.64
2022-07-17,44.64
2022-07-24,43.8771428571429
2022-07-31,42.86
2022-08-07,42.86
2022-08-14,35.2057142857143
2022-08-21,27.81
2022-08-28,26.79
2022-08-31,26.79
