"dates","strig"
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,1.02285714285714
2020-03-01,1.79
2020-03-08,2.55285714285714
2020-03-15,11.2271428571429
2020-03-22,30.1885714285714
2020-03-29,54.1642857142857
2020-04-05,57.2285714285714
2020-04-12,59.52
2020-04-19,59.52
2020-04-26,63.99
2020-05-03,63.99
2020-05-10,63.99
2020-05-17,63.99
2020-05-24,63.99
2020-05-31,63.99
2020-06-07,63.99
2020-06-14,63.99
2020-06-21,63.99
2020-06-28,63.99
2020-07-05,63.99
2020-07-12,63.99
2020-07-19,63.99
2020-07-26,52.5114285714286
2020-08-02,47.92
2020-08-09,50.3
2020-08-16,43.4971428571429
2020-08-23,38.39
2020-08-30,40.94
2020-09-06,41.96
2020-09-13,41.96
2020-09-20,41.96
2020-09-27,40.9428571428571
2020-10-04,40.18
2020-10-11,40.69
2020-10-18,41.37
2020-10-25,41.8757142857143
2020-11-01,27.1657142857143
2020-11-08,24.7
2020-11-15,24.7
2020-11-22,24.7
2020-11-29,24.7
2020-12-06,24.7
2020-12-13,23.4285714285714
2020-12-20,24.96
2020-12-27,28.4428571428571
2021-01-03,28.57
2021-01-10,27.55
2021-01-17,27.38
2021-01-24,32.48
2021-01-31,34.52
2021-02-07,41.6685714285714
2021-02-14,42.86
2021-02-21,30.6114285714286
2021-02-28,28.57
2021-03-07,28.57
2021-03-14,28.57
2021-03-21,27.2985714285714
2021-03-28,24.4928571428571
2021-04-04,25.3
2021-04-11,25.3
2021-04-18,26.32
2021-04-25,28.0214285714286
2021-05-02,31.85
2021-05-09,32.6128571428571
2021-05-16,32.74
2021-05-23,34.2657142857143
2021-05-30,34.52
2021-06-06,34.52
2021-06-13,34.52
2021-06-20,35.95
2021-06-27,35.95
2021-07-04,35.95
2021-07-11,40.71
2021-07-18,40.71
2021-07-25,40.71
2021-08-01,40.71
2021-08-08,34.59
2021-08-15,33.57
2021-08-22,33.57
2021-08-29,33.57
2021-09-05,33.57
2021-09-12,33.57
2021-09-19,33.57
2021-09-26,33.57
2021-10-03,33.57
2021-10-10,33.57
2021-10-17,33.57
2021-10-24,34.59
2021-10-31,34.76
2021-11-07,44.29
2021-11-14,44.29
2021-11-21,44.29
2021-11-28,44.29
2021-12-05,36.1214285714286
2021-12-12,34.76
2021-12-19,34.76
2021-12-26,34.3385714285714
2022-01-02,34.17
2022-01-09,46.5128571428571
2022-01-16,48.57
2022-01-23,42.45
2022-01-30,41.43
2022-02-06,37.35
2022-02-13,36.67
2022-02-20,43.2957142857143
2022-02-27,44.4
2022-03-06,44.4
2022-03-13,44.4
2022-03-20,44.4
2022-03-27,35.46
2022-04-03,35.46
2022-04-10,35.4528571428571
2022-04-17,34.1928571428571
2022-04-24,33.69
2022-05-01,33.69
2022-05-08,33.69
2022-05-15,33.6728571428571
2022-05-22,33.67
2022-05-29,33.67
2022-06-05,33.6685714285714
2022-06-12,33.66
2022-06-19,37.2314285714286
2022-06-26,38.66
2022-07-03,35.09
2022-07-10,35.09
2022-07-17,35.0885714285714
2022-07-24,35.08
2022-07-31,35.08
2022-08-07,43.7885714285714
2022-08-14,44.22
2022-08-21,41.67
2022-08-28,38.0957142857143
2022-08-31,37.5
