"dates","strig"
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,3.06
2020-03-15,5.1
2020-03-22,13.0957142857143
2020-03-29,30.4442857142857
2020-04-05,74.5785714285714
2020-04-12,75.6
2020-04-19,75.6
2020-04-26,75.6
2020-05-03,78.6571428571429
2020-05-10,80.95
2020-05-17,80.95
2020-05-24,71.43
2020-05-31,71.43
2020-06-07,63.95
2020-06-14,63.1
2020-06-21,63.1
2020-06-28,63.1
2020-07-05,63.1
2020-07-12,63.1
2020-07-19,63.1
2020-07-26,52.8914285714286
2020-08-02,51.19
2020-08-09,54.25
2020-08-16,54.76
2020-08-23,54.76
2020-08-30,46.09
2020-09-06,45.24
2020-09-13,45.24
2020-09-20,45.24
2020-09-27,45.24
2020-10-04,41.67
2020-10-11,41.67
2020-10-18,39.63
2020-10-25,38.1
2020-11-01,38.1
2020-11-08,41.67
2020-11-15,41.67
2020-11-22,39.88
2020-11-29,39.29
2020-12-06,35.71
2020-12-13,35.71
2020-12-20,35.71
2020-12-27,37.2414285714286
2021-01-03,37.2414285714286
2021-01-10,38.7785714285714
2021-01-17,39.29
2021-01-24,42.86
2021-01-31,35.71
2021-02-07,35.71
2021-02-14,35.71
2021-02-21,35.71
2021-02-28,41.67
2021-03-07,35.5414285714286
2021-03-14,39.6285714285714
2021-03-21,40.48
2021-03-28,44.56
2021-04-04,45.24
2021-04-11,45.24
2021-04-18,47.7857142857143
2021-04-25,55.3585714285714
2021-05-02,56.55
2021-05-09,56.55
2021-05-16,56.55
2021-05-23,55.0157142857143
2021-05-30,54.76
2021-06-06,53.74
2021-06-13,53.57
2021-06-20,53.57
2021-06-27,53.57
2021-07-04,53.57
2021-07-11,52.0442857142857
2021-07-18,51.79
2021-07-25,51.79
2021-08-01,51.79
2021-08-08,51.79
2021-08-15,54.17
2021-08-22,36.0071428571429
2021-08-29,40.9342857142857
2021-09-05,42.26
2021-09-12,42.26
2021-09-19,39.2
2021-09-26,36.9
2021-10-03,36.9
2021-10-10,43.0285714285714
2021-10-17,42.5157142857143
2021-10-24,42.26
2021-10-31,49.4
2021-11-07,54.65
2021-11-14,48.5228571428571
2021-11-21,47.5
2021-11-28,43.93
2021-12-05,47.9242857142857
2021-12-12,54.5285714285714
2021-12-19,54.52
2021-12-26,48.9057142857143
2022-01-02,51.6328571428571
2022-01-09,55.24
2022-01-16,55.24
2022-01-23,55.24
2022-01-30,55.24
2022-02-06,55.24
2022-02-13,55.24
2022-02-20,55.24
2022-02-27,55.24
2022-03-06,35.6
2022-03-13,35.6
2022-03-20,35.6
2022-03-27,35.6
2022-04-03,35.6
2022-04-10,44.5742857142857
2022-04-17,46.07
2022-04-24,46.07
2022-05-01,46.07
2022-05-08,46.07
2022-05-15,45.9157142857143
2022-05-22,44.99
2022-05-29,44.99
2022-06-05,44.9485714285714
2022-06-12,44.7
2022-06-19,42.66
2022-06-26,42.32
2022-07-03,42.32
2022-07-10,42.32
2022-07-17,42.3185714285714
2022-07-24,42.31
2022-07-31,42.31
2022-08-07,42.31
2022-08-14,42.31
2022-08-21,40.7842857142857
2022-08-28,40.53
2022-08-31,41.7166666666667
