"dates","strig"
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,2.55
2020-02-16,6.63
2020-02-23,7.14
2020-03-01,10.2028571428571
2020-03-08,12.5
2020-03-15,12.5
2020-03-22,28.4
2020-03-29,45.5771428571429
2020-04-05,59.35
2020-04-12,60.71
2020-04-19,62.4128571428571
2020-04-26,67.18
2020-05-03,71.0885714285714
2020-05-10,68.6242857142857
2020-05-17,69.9
2020-05-24,73.51
2020-05-31,75.3
2020-06-07,75.3
2020-06-14,75.3
2020-06-21,75.3
2020-06-28,75.3
2020-07-05,73.26
2020-07-12,72.92
2020-07-19,67.8128571428571
2020-07-26,65.77
2020-08-02,63.99
2020-08-09,64.3714285714286
2020-08-16,64.88
2020-08-23,64.88
2020-08-30,64.88
2020-09-06,66.92
2020-09-13,67.26
2020-09-20,67.26
2020-09-27,67.26
2020-10-04,66.07
2020-10-11,66.07
2020-10-18,66.96
2020-10-25,67.9828571428571
2020-11-01,68.75
2020-11-08,68.75
2020-11-15,69.64
2020-11-22,69.64
2020-11-29,69.64
2020-12-06,69.64
2020-12-13,69.64
2020-12-20,63.69
2020-12-27,63.69
2021-01-03,63.69
2021-01-10,63.69
2021-01-17,63.69
2021-01-24,63.69
2021-01-31,60.63
2021-02-07,60.12
2021-02-14,60.12
2021-02-21,60.12
2021-02-28,60.12
2021-03-07,60.12
2021-03-14,50
2021-03-21,49.3214285714286
2021-03-28,49.05
2021-04-04,60.83
2021-04-11,57.77
2021-04-18,57.26
2021-04-25,57.26
2021-05-02,57.26
2021-05-09,57.26
2021-05-16,57.26
2021-05-23,57.26
2021-05-30,57.26
2021-06-06,57.26
2021-06-13,57.26
2021-06-20,57.26
2021-06-27,57.26
2021-07-04,57.26
2021-07-11,57.26
2021-07-18,57.26
2021-07-25,57.26
2021-08-01,57.26
2021-08-08,57.26
2021-08-15,57.26
2021-08-22,57.26
2021-08-29,57.26
2021-09-05,53.7742857142857
2021-09-12,52.38
2021-09-19,52.38
2021-09-26,52.38
2021-10-03,55.95
2021-10-10,60.71
2021-10-17,60.71
2021-10-24,60.71
2021-10-31,58.1614285714286
2021-11-07,48.21
2021-11-14,48.21
2021-11-21,48.21
2021-11-28,48.21
2021-12-05,48.21
2021-12-12,48.21
2021-12-19,48.21
2021-12-26,48.21
2022-01-02,60.4071428571429
2022-01-09,62.4142857142857
2022-01-16,62.3328571428571
2022-01-23,62.27
2022-01-30,54.53
2022-02-06,53.1628571428571
2022-02-13,56.0414285714286
2022-02-20,57.0057142857143
2022-02-27,58.3057142857143
2022-03-06,58.2614285714286
2022-03-13,57.7
2022-03-20,56.9671428571429
2022-03-27,56.9442857142857
2022-04-03,56.7971428571429
2022-04-10,56
2022-04-17,56
2022-04-24,56
2022-05-01,37.5285714285714
2022-05-08,34.45
2022-05-15,34.4485714285714
2022-05-22,32.4
2022-05-29,32.06
2022-06-05,32.06
2022-06-12,30.6028571428571
2022-06-19,30.36
2022-06-26,30.36
2022-07-03,30.36
2022-07-10,30.36
2022-07-17,30.36
2022-07-24,30.36
2022-07-31,30.36
2022-08-07,30.36
2022-08-14,30.36
2022-08-21,30.36
2022-08-28,30.36
2022-08-31,30.36
