"dates","strig"
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,0
2020-03-15,0
2020-03-22,23.9785714285714
2020-03-29,72.62
2020-04-05,72.62
2020-04-12,72.62
2020-04-19,72.62
2020-04-26,72.62
2020-05-03,73.64
2020-05-10,75.7657142857143
2020-05-17,77.1285714285714
2020-05-24,57.74
2020-05-31,57.74
2020-06-07,57.74
2020-06-14,57.74
2020-06-21,57.74
2020-06-28,57.74
2020-07-05,57.74
2020-07-12,57.74
2020-07-19,55.4428571428571
2020-07-26,52.38
2020-08-02,52.38
2020-08-09,51.02
2020-08-16,50
2020-08-23,50
2020-08-30,50
2020-09-06,50
2020-09-13,50
2020-09-20,50
2020-09-27,50
2020-10-04,48.3
2020-10-11,47.62
2020-10-18,47.62
2020-10-25,44.0457142857143
2020-11-01,43.45
2020-11-08,43.45
2020-11-15,43.45
2020-11-22,43.45
2020-11-29,43.45
2020-12-06,43.45
2020-12-13,43.45
2020-12-20,43.45
2020-12-27,43.45
2021-01-03,43.45
2021-01-10,43.45
2021-01-17,39.88
2021-01-24,39.88
2021-01-31,39.88
2021-02-07,39.88
2021-02-14,39.88
2021-02-21,39.88
2021-02-28,39.88
2021-03-07,40.6971428571429
2021-03-14,42.74
2021-03-21,42.74
2021-03-28,42.14
2021-04-04,42.14
2021-04-11,46.94
2021-04-18,47.74
2021-04-25,47.74
2021-05-02,40.6
2021-05-09,40.6
2021-05-16,40.6
2021-05-23,44.17
2021-05-30,44.17
2021-06-06,44.17
2021-06-13,44.17
2021-06-20,44.17
2021-06-27,44.17
2021-07-04,44.17
2021-07-11,44.17
2021-07-18,44.17
2021-07-25,44.9871428571429
2021-08-01,45.6
2021-08-08,45.6
2021-08-15,45.6
2021-08-22,45.6
2021-08-29,45.6
2021-09-05,45.6
2021-09-12,45.6
2021-09-19,45.6
2021-09-26,45.6
2021-10-03,45.6
2021-10-10,45.6
2021-10-17,45.6
2021-10-24,45.6
2021-10-31,48.66
2021-11-07,49.17
2021-11-14,49.17
2021-11-21,49.17
2021-11-28,49.17
2021-12-05,49.17
2021-12-12,49.17
2021-12-19,49.17
2021-12-26,49.17
2022-01-02,47.8428571428571
2022-01-09,43.45
2022-01-16,43.45
2022-01-23,47.02
2022-01-30,47.02
2022-02-06,47.02
2022-02-13,47.02
2022-02-20,51.4428571428571
2022-02-27,54.76
2022-03-06,54.76
2022-03-13,54.76
2022-03-20,54.76
2022-03-27,54.76
2022-04-03,54.76
2022-04-10,54.76
2022-04-17,54.76
2022-04-24,54.76
2022-05-01,54.76
2022-05-08,54.76
2022-05-15,54.76
2022-05-22,54.76
2022-05-29,54.76
2022-06-05,51.7
2022-06-12,51.19
2022-06-19,51.19
2022-06-26,51.19
2022-07-03,51.19
2022-07-10,51.19
2022-07-17,51.19
2022-07-24,51.19
2022-07-31,51.19
2022-08-07,51.19
2022-08-14,51.19
2022-08-21,52.4485714285714
2022-08-28,52.65
2022-08-31,54.0566666666667
