"dates","strig"
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,2.04
2020-03-15,15.8128571428571
2020-03-22,25.0842857142857
2020-03-29,56.55
2020-04-05,63.99
2020-04-12,63.99
2020-04-19,67.05
2020-04-26,63.0971428571429
2020-05-03,55.36
2020-05-10,55.36
2020-05-17,57.4
2020-05-24,56.1242857142857
2020-05-31,60.71
2020-06-07,60.71
2020-06-14,59.69
2020-06-21,53.57
2020-06-28,54.59
2020-07-05,60.71
2020-07-12,63.0071428571429
2020-07-19,66.07
2020-07-26,66.07
2020-08-02,69.64
2020-08-09,71.1714285714286
2020-08-16,70.15
2020-08-23,68.62
2020-08-30,69.64
2020-09-06,67.6
2020-09-13,67.26
2020-09-20,67.26
2020-09-27,67.26
2020-10-04,67.26
2020-10-11,67.26
2020-10-18,67.26
2020-10-25,66.9228571428571
2020-11-01,66.67
2020-11-08,64.97
2020-11-15,63.0957142857143
2020-11-22,64.88
2020-11-29,64.88
2020-12-06,64.88
2020-12-13,64.88
2020-12-20,64.88
2020-12-27,64.88
2021-01-03,64.88
2021-01-10,64.88
2021-01-17,64.88
2021-01-24,64.88
2021-01-31,65.4928571428571
2021-02-07,69.17
2021-02-14,69.17
2021-02-21,69.17
2021-02-28,67.38
2021-03-07,70.9542857142857
2021-03-14,71.55
2021-03-21,74.61
2021-03-28,75.12
2021-04-04,75.12
2021-04-11,79.2
2021-04-18,75.12
2021-04-25,75.12
2021-05-02,71.2885714285714
2021-05-09,70.65
2021-05-16,70.65
2021-05-23,66.13
2021-05-30,64.9042857142857
2021-06-06,64.7
2021-06-13,58.58
2021-06-20,57.56
2021-06-27,57.56
2021-07-04,57.56
2021-07-11,57.56
2021-07-18,57.56
2021-07-25,58.45
2021-08-01,56.9242857142857
2021-08-08,56.67
2021-08-15,56.67
2021-08-22,56.67
2021-08-29,56.67
2021-09-05,56.67
2021-09-12,58.71
2021-09-19,59.05
2021-09-26,61.09
2021-10-03,61.43
2021-10-10,61.43
2021-10-17,58.45
2021-10-24,52.0714285714286
2021-10-31,49.52
2021-11-07,49.52
2021-11-14,49.52
2021-11-21,49.52
2021-11-28,49.52
2021-12-05,53.59
2021-12-12,53.93
2021-12-19,53.42
2021-12-26,50.6
2022-01-02,51.28
2022-01-09,52.6157142857143
2022-01-16,53.9157142857143
2022-01-23,56.89
2022-01-30,58.93
2022-02-06,58.25
2022-02-13,54.0842857142857
2022-02-20,54.0642857142857
2022-02-27,54.03
2022-03-06,54.03
2022-03-13,54.0157142857143
2022-03-20,54.01
2022-03-27,51.6385714285714
2022-04-03,50.69
2022-04-10,51.5385714285714
2022-04-17,51.8857142857143
2022-04-24,51.9057142857143
2022-05-01,49.2142857142857
2022-05-08,48.78
2022-05-15,48.78
2022-05-22,48.78
2022-05-29,48.78
2022-06-05,48.78
2022-06-12,48.78
2022-06-19,48.78
2022-06-26,48.78
2022-07-03,48.78
2022-07-10,48.78
2022-07-17,48.78
2022-07-24,48.78
2022-07-31,48.78
2022-08-07,48.78
2022-08-14,48.78
2022-08-21,48.78
2022-08-28,48.78
2022-08-31,48.78
