"dates","strig"
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,4.08
2020-02-23,9.52
2020-03-01,9.52
2020-03-08,9.52
2020-03-15,10.5414285714286
2020-03-22,27.55
2020-03-29,60.1171428571429
2020-04-05,68.45
2020-04-12,68.45
2020-04-19,68.45
2020-04-26,68.96
2020-05-03,72.02
2020-05-10,72.02
2020-05-17,72.02
2020-05-24,72.36
2020-05-31,76.2771428571429
2020-06-07,68.45
2020-06-14,61.31
2020-06-21,61.31
2020-06-28,61.31
2020-07-05,56.21
2020-07-12,54.17
2020-07-19,54.17
2020-07-26,54.17
2020-08-02,54.17
2020-08-09,55.95
2020-08-16,55.95
2020-08-23,55.95
2020-08-30,55.95
2020-09-06,57.99
2020-09-13,58.33
2020-09-20,58.33
2020-09-27,60.12
2020-10-04,60.12
2020-10-11,60.12
2020-10-18,58.59
2020-10-25,57.8214285714286
2020-11-01,57.99
2020-11-08,55.95
2020-11-15,55.95
2020-11-22,55.95
2020-11-29,55.95
2020-12-06,55.95
2020-12-13,55.95
2020-12-20,55.95
2020-12-27,59.01
2021-01-03,59.7757142857143
2021-01-10,61.31
2021-01-17,61.31
2021-01-24,54.3742857142857
2021-01-31,55.6
2021-02-07,55.6
2021-02-14,55.6
2021-02-21,55.6
2021-02-28,55.6
2021-03-07,57.2285714285714
2021-03-14,58.45
2021-03-21,58.45
2021-03-28,48.93
2021-04-04,50.97
2021-04-11,51.31
2021-04-18,51.31
2021-04-25,51.31
2021-05-02,51.31
2021-05-09,56.75
2021-05-16,60.83
2021-05-23,60.83
2021-05-30,60.83
2021-06-06,44.4057142857143
2021-06-13,44.17
2021-06-20,44.17
2021-06-27,44.17
2021-07-04,44.17
2021-07-11,44.17
2021-07-18,44.17
2021-07-25,44.17
2021-08-01,44.17
2021-08-08,44.17
2021-08-15,44.17
2021-08-22,44.17
2021-08-29,44.17
2021-09-05,44.17
2021-09-12,44.17
2021-09-19,44.17
2021-09-26,44.17
2021-10-03,44.17
2021-10-10,44.17
2021-10-17,44.17
2021-10-24,44.17
2021-10-31,44.17
2021-11-07,44.17
2021-11-14,42.6357142857143
2021-11-21,42.38
2021-11-28,42.38
2021-12-05,43.6585714285714
2021-12-12,44.17
2021-12-19,44.17
2021-12-26,44.17
2022-01-02,44.17
2022-01-09,44.17
2022-01-16,46.21
2022-01-23,46.55
2022-01-30,46.55
2022-02-06,47.91
2022-02-13,48.93
2022-02-20,48.93
2022-02-27,48.93
2022-03-06,48.93
2022-03-13,48.93
2022-03-20,48.93
2022-03-27,48.93
2022-04-03,48.93
2022-04-10,48.93
2022-04-17,49.3328571428571
2022-04-24,49.4
2022-05-01,49.4
2022-05-08,46.6485714285714
2022-05-15,46.19
2022-05-22,44.6557142857143
2022-05-29,44.4
2022-06-05,44.4
2022-06-12,44.4
2022-06-19,43.6371428571429
2022-06-26,42.62
2022-07-03,42.62
2022-07-10,42.62
2022-07-17,42.62
2022-07-24,42.62
2022-07-31,42.62
2022-08-07,42.62
2022-08-14,42.62
2022-08-21,42.62
2022-08-28,42.62
2022-08-31,41.4266666666667
