"dates","strig"
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,1.53428571428571
2020-02-09,1.79
2020-02-16,2.81
2020-02-23,4.17
2020-03-01,4.17
2020-03-08,4.17
2020-03-15,5.7
2020-03-22,28.57
2020-03-29,40.1342857142857
2020-04-05,48.81
2020-04-12,59.0171428571429
2020-04-19,63.1
2020-04-26,63.1
2020-05-03,63.1
2020-05-10,63.1
2020-05-17,63.1
2020-05-24,63.1
2020-05-31,63.1
2020-06-07,63.1
2020-06-14,63.1
2020-06-21,63.1
2020-06-28,63.1
2020-07-05,63.1
2020-07-12,63.1
2020-07-19,63.1
2020-07-26,63.1
2020-08-02,63.1
2020-08-09,63.1
2020-08-16,63.1
2020-08-23,63.1
2020-08-30,69.22
2020-09-06,70.24
2020-09-13,69.4728571428571
2020-09-20,68.45
2020-09-27,68.45
2020-10-04,68.45
2020-10-11,60.71
2020-10-18,60.71
2020-10-25,55.95
2020-11-01,55.4442857142857
2020-11-08,55.36
2020-11-15,55.36
2020-11-22,55.36
2020-11-29,55.36
2020-12-06,55.36
2020-12-13,55.36
2020-12-20,55.36
2020-12-27,55.36
2021-01-03,55.36
2021-01-10,55.36
2021-01-17,55.36
2021-01-24,55.36
2021-01-31,55.36
2021-02-07,51.79
2021-02-14,48.21
2021-02-21,48.21
2021-02-28,48.21
2021-03-07,45.15
2021-03-14,48.2171428571429
2021-03-21,49.29
2021-03-28,49.6957142857143
2021-04-04,50.71
2021-04-11,50.71
2021-04-18,50.71
2021-04-25,50.71
2021-05-02,50.71
2021-05-09,50.71
2021-05-16,50.71
2021-05-23,50.71
2021-05-30,50.71
2021-06-06,50.71
2021-06-13,50.71
2021-06-20,50.71
2021-06-27,50.71
2021-07-04,50.71
2021-07-11,50.71
2021-07-18,51.9357142857143
2021-07-25,52.14
2021-08-01,52.14
2021-08-08,52.14
2021-08-15,52.14
2021-08-22,52.14
2021-08-29,50.9142857142857
2021-09-05,51.9357142857143
2021-09-12,52.14
2021-09-19,52.14
2021-09-26,52.14
2021-10-03,52.14
2021-10-10,52.14
2021-10-17,52.14
2021-10-24,52.14
2021-10-31,52.14
2021-11-07,52.14
2021-11-14,52.14
2021-11-21,52.14
2021-11-28,52.14
2021-12-05,52.14
2021-12-12,52.14
2021-12-19,53.57
2021-12-26,52.5528571428571
2022-01-02,51.79
2022-01-09,51.79
2022-01-16,51.79
2022-01-23,51.79
2022-01-30,51.79
2022-02-06,51.79
2022-02-13,51.79
2022-02-20,51.79
2022-02-27,51.79
2022-03-06,51.79
2022-03-13,51.79
2022-03-20,51.79
2022-03-27,51.79
2022-04-03,51.2785714285714
2022-04-10,50
2022-04-17,50
2022-04-24,50
2022-05-01,50
2022-05-08,47.8714285714286
2022-05-15,47.02
2022-05-22,47.02
2022-05-29,47.02
2022-06-05,42.77
2022-06-12,41.07
2022-06-19,41.07
2022-06-26,35.97
2022-07-03,33.93
2022-07-10,46.17
2022-07-17,48.21
2022-07-24,48.21
2022-07-31,48.21
2022-08-07,48.21
2022-08-14,48.21
2022-08-21,48.21
2022-08-28,48.21
2022-08-31,48.21
