"dates","strig"
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,2.55
2020-02-02,3.57
2020-02-09,5.86714285714286
2020-02-16,8.93
2020-02-23,8.93
2020-03-01,8.93
2020-03-08,8.93
2020-03-15,17.0071428571429
2020-03-22,41.1542857142857
2020-03-29,54.76
2020-04-05,61.9
2020-04-12,63.3471428571429
2020-04-19,67.6042857142857
2020-04-26,68.88
2020-05-03,69.05
2020-05-10,69.05
2020-05-17,71.68
2020-05-24,73.21
2020-05-31,73.21
2020-06-07,73.21
2020-06-14,73.21
2020-06-21,73.21
2020-06-28,73.21
2020-07-05,75.7671428571429
2020-07-12,76.79
2020-07-19,75.0828571428572
2020-07-26,74.4
2020-08-02,74.4
2020-08-09,74.4
2020-08-16,74.4
2020-08-23,74.4
2020-08-30,74.4
2020-09-06,74.4
2020-09-13,74.4
2020-09-20,74.4
2020-09-27,74.4
2020-10-04,74.4
2020-10-11,74.4
2020-10-18,72.87
2020-10-25,70.83
2020-11-01,70.3214285714286
2020-11-08,69.05
2020-11-15,69.05
2020-11-22,67.01
2020-11-29,66.67
2020-12-06,66.67
2020-12-13,66.67
2020-12-20,63.61
2020-12-27,66.67
2021-01-03,66.67
2021-01-10,66.67
2021-01-17,66.67
2021-01-24,66.67
2021-01-31,66.67
2021-02-07,66.67
2021-02-14,66.67
2021-02-21,66.67
2021-02-28,66.67
2021-03-07,66.67
2021-03-14,66.67
2021-03-21,60.5414285714286
2021-03-28,63.5057142857143
2021-04-04,64.17
2021-04-11,65.6957142857143
2021-04-18,65.95
2021-04-25,63.91
2021-05-02,63.57
2021-05-09,63.57
2021-05-16,63.57
2021-05-23,63.57
2021-05-30,63.57
2021-06-06,63.57
2021-06-13,63.57
2021-06-20,63.57
2021-06-27,63.57
2021-07-04,63.57
2021-07-11,63.57
2021-07-18,63.57
2021-07-25,63.57
2021-08-01,63.57
2021-08-08,63.57
2021-08-15,63.57
2021-08-22,63.57
2021-08-29,63.57
2021-09-05,59.49
2021-09-12,57.79
2021-09-19,59.1457142857143
2021-09-26,61.31
2021-10-03,59.78
2021-10-10,57.74
2021-10-17,55.36
2021-10-24,55.36
2021-10-31,55.36
2021-11-07,55.36
2021-11-14,54.17
2021-11-21,54.17
2021-11-28,53.6557142857143
2021-12-05,53.57
2021-12-12,47.45
2021-12-19,46.43
2021-12-26,46.43
2022-01-02,46.43
2022-01-09,49.0357142857143
2022-01-16,49.4485714285714
2022-01-23,49.32
2022-01-30,52.44
2022-02-06,52.96
2022-02-13,52.8171428571429
2022-02-20,50.9342857142857
2022-02-27,50.63
2022-03-06,50.63
2022-03-13,32.9585714285714
2022-03-20,25
2022-03-27,25
2022-04-03,25
2022-04-10,25
2022-04-17,25
2022-04-24,25
2022-05-01,25
2022-05-08,25
2022-05-15,25
2022-05-22,25
2022-05-29,25
2022-06-05,25
2022-06-12,25
2022-06-19,25
2022-06-26,25
2022-07-03,25
2022-07-10,25
2022-07-17,25
2022-07-24,25
2022-07-31,25
2022-08-07,25
2022-08-14,25
2022-08-21,25
2022-08-28,25
2022-08-31,25
