"dates","strig"
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0.767142857142857
2020-02-02,1.79
2020-02-09,1.79
2020-02-16,1.79
2020-02-23,1.79
2020-03-01,1.79
2020-03-08,1.79
2020-03-15,8.93
2020-03-22,41.0728571428571
2020-03-29,43.45
2020-04-05,67.94
2020-04-12,69.64
2020-04-19,68.0242857142857
2020-04-26,54.17
2020-05-03,54.9328571428571
2020-05-10,55.95
2020-05-17,55.95
2020-05-24,55.95
2020-05-31,53.1457142857143
2020-06-07,54.17
2020-06-14,54.68
2020-06-21,57.74
2020-06-28,55.36
2020-07-05,55.36
2020-07-12,55.36
2020-07-19,55.36
2020-07-26,55.36
2020-08-02,55.36
2020-08-09,55.36
2020-08-16,55.36
2020-08-23,55.36
2020-08-30,55.36
2020-09-06,50.7657142857143
2020-09-13,50
2020-09-20,50
2020-09-27,50
2020-10-04,50
2020-10-11,50
2020-10-18,50
2020-10-25,50
2020-11-01,48.47
2020-11-08,46.43
2020-11-15,46.43
2020-11-22,46.43
2020-11-29,46.43
2020-12-06,46.43
2020-12-13,46.43
2020-12-20,46.43
2020-12-27,46.43
2021-01-03,46.43
2021-01-10,46.43
2021-01-17,45.41
2021-01-24,44.05
2021-01-31,46.43
2021-02-07,46.43
2021-02-14,46.43
2021-02-21,46.43
2021-02-28,49.49
2021-03-07,52.1957142857143
2021-03-14,51.07
2021-03-21,51.07
2021-03-28,51.07
2021-04-04,50.2557142857143
2021-04-11,53.18
2021-04-18,53.69
2021-04-25,57.09
2021-05-02,58.45
2021-05-09,53.1
2021-05-16,53.1
2021-05-23,53.1
2021-05-30,53.1
2021-06-06,53.1
2021-06-13,50.71
2021-06-20,50.71
2021-06-27,50.71
2021-07-04,50.71
2021-07-11,50.71
2021-07-18,49.69
2021-07-25,43.57
2021-08-01,43.57
2021-08-08,43.57
2021-08-15,43.57
2021-08-22,51.9
2021-08-29,51.7642857142857
2021-09-05,50.95
2021-09-12,50.95
2021-09-19,50.95
2021-09-26,50.95
2021-10-03,50.95
2021-10-10,50.95
2021-10-17,50.95
2021-10-24,50.95
2021-10-31,50.95
2021-11-07,50.95
2021-11-14,50.95
2021-11-21,50.95
2021-11-28,50.65
2021-12-05,50.6
2021-12-12,51.3442857142857
2021-12-19,55.7242857142857
2021-12-26,59.1914285714286
2022-01-02,59.14
2022-01-09,59.14
2022-01-16,59.0828571428571
2022-01-23,59.01
2022-01-30,59.01
2022-02-06,59.01
2022-02-13,58.8785714285714
2022-02-20,58.78
2022-02-27,58.7585714285714
2022-03-06,63.0457142857143
2022-03-13,62.97
2022-03-20,62.9628571428571
2022-03-27,61.9
2022-04-03,54.0214285714286
2022-04-10,54.02
2022-04-17,51.64
2022-04-24,51.1142857142857
2022-05-01,51.0128571428571
2022-05-08,51.0171428571429
2022-05-15,50.87
2022-05-22,50.7871428571429
2022-05-29,50.6428571428571
2022-06-05,50.6
2022-06-12,50.6
2022-06-19,50.5271428571429
2022-06-26,50.0785714285714
2022-07-03,44.0528571428571
2022-07-10,41.6171428571429
2022-07-17,41.28
2022-07-24,41.1557142857143
2022-07-31,41.1214285714286
2022-08-07,41.07
2022-08-14,41.2171428571429
2022-08-21,42.0914285714286
2022-08-28,42.0271428571429
2022-08-31,41.95
