"dates","strig"
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,9.52
2020-02-09,11.9
2020-02-16,11.9
2020-02-23,11.9
2020-03-01,11.9
2020-03-08,12.4114285714286
2020-03-15,15.22
2020-03-22,19.3
2020-03-29,37.1585714285714
2020-04-05,58.93
2020-04-12,58.93
2020-04-19,60.97
2020-04-26,66.07
2020-05-03,66.07
2020-05-10,66.07
2020-05-17,66.07
2020-05-24,66.07
2020-05-31,66.07
2020-06-07,66.07
2020-06-14,65.22
2020-06-21,63.69
2020-06-28,63.69
2020-07-05,62.5
2020-07-12,62.5
2020-07-19,65.1371428571429
2020-07-26,65.48
2020-08-02,65.48
2020-08-09,61.01
2020-08-16,61.01
2020-08-23,61.01
2020-08-30,61.01
2020-09-06,59.99
2020-09-13,59.82
2020-09-20,59.82
2020-09-27,56.2457142857143
2020-10-04,53.1014285714286
2020-10-11,51.19
2020-10-18,46.5957142857143
2020-10-25,43.15
2020-11-01,43.15
2020-11-08,43.15
2020-11-15,43.9214285714286
2020-11-22,44.05
2020-11-29,51.1942857142857
2020-12-06,50.94
2020-12-13,47.5314285714286
2020-12-20,43.96
2020-12-27,43.45
2021-01-03,43.45
2021-01-10,48.0442857142857
2021-01-17,48.81
2021-01-24,48.81
2021-01-31,48.0471428571429
2021-02-07,47.92
2021-02-14,47.92
2021-02-21,47.92
2021-02-28,54.2971428571429
2021-03-07,65.6628571428571
2021-03-14,52.4828571428571
2021-03-21,50
2021-03-28,62.3428571428571
2021-04-04,64.4
2021-04-11,64.4
2021-04-18,64.4
2021-04-25,62.7
2021-05-02,62.02
2021-05-09,59.98
2021-05-16,67.1914285714286
2021-05-23,68.45
2021-05-30,65.6985714285714
2021-06-06,63.7057142857143
2021-06-13,63.45
2021-06-20,63.45
2021-06-27,65.49
2021-07-04,65.83
2021-07-11,65.83
2021-07-18,65.83
2021-07-25,65.83
2021-08-01,65.83
2021-08-08,71.19
2021-08-15,71.19
2021-08-22,71.19
2021-08-29,57.4157142857143
2021-09-05,59.2
2021-09-12,59.88
2021-09-19,58.69
2021-09-26,61.75
2021-10-03,62.26
2021-10-10,61.0342857142857
2021-10-17,60.83
2021-10-24,59.6042857142857
2021-10-31,59.4
2021-11-07,59.4
2021-11-14,62.16
2021-11-21,59.2514285714286
2021-11-28,61.75
2021-12-05,62.26
2021-12-12,62.26
2021-12-19,62.26
2021-12-26,58.69
2022-01-02,63.6528571428571
2022-01-09,63.5428571428571
2022-01-16,63.54
2022-01-23,63.31
2022-01-30,61.78
2022-02-06,59.74
2022-02-13,56.6714285714286
2022-02-20,56.16
2022-02-27,56.16
2022-03-06,56.16
2022-03-13,54.1842857142857
2022-03-20,51.55
2022-03-27,51.55
2022-04-03,51.55
2022-04-10,51.55
2022-04-17,51.55
2022-04-24,51.55
2022-05-01,51.55
2022-05-08,51.55
2022-05-15,51.55
2022-05-22,51.55
2022-05-29,51.55
2022-06-05,51.55
2022-06-12,50.5271428571429
2022-06-19,49.76
2022-06-26,49.76
2022-07-03,49.76
2022-07-10,49.76
2022-07-17,49.76
2022-07-24,49.76
2022-07-31,39.0457142857143
2022-08-07,37.26
2022-08-14,37.26
2022-08-21,37.26
2022-08-28,37.26
2022-08-31,37.26
