"dates","strig"
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,1.53
2020-02-16,3.57
2020-02-23,3.57
2020-03-01,5.61
2020-03-08,7.14
2020-03-15,7.14
2020-03-22,32.8228571428571
2020-03-29,53.1442857142857
2020-04-05,61.31
2020-04-12,61.31
2020-04-19,61.31
2020-04-26,61.31
2020-05-03,61.31
2020-05-10,61.31
2020-05-17,61.31
2020-05-24,60.71
2020-05-31,60.71
2020-06-07,59.35
2020-06-14,61.39
2020-06-21,61.9
2020-06-28,60.54
2020-07-05,58.63
2020-07-12,58.63
2020-07-19,58.63
2020-07-26,46.47
2020-08-02,43.75
2020-08-09,60.5842857142857
2020-08-16,71.68
2020-08-23,69.64
2020-08-30,67.6
2020-09-06,66.07
2020-09-13,66.07
2020-09-20,66.41
2020-09-27,66.07
2020-10-04,66.07
2020-10-11,66.07
2020-10-18,59.6928571428571
2020-10-25,55.95
2020-11-01,54.25
2020-11-08,53.57
2020-11-15,45.41
2020-11-22,44.05
2020-11-29,44.05
2020-12-06,44.05
2020-12-13,44.05
2020-12-20,46.09
2020-12-27,46.43
2021-01-03,46.43
2021-01-10,46.43
2021-01-17,48.47
2021-01-24,48.81
2021-01-31,48.81
2021-02-07,48.81
2021-02-14,48.81
2021-02-21,48.81
2021-02-28,48.81
2021-03-07,48.2957142857143
2021-03-14,50.2528571428571
2021-03-21,51.07
2021-03-28,48.01
2021-04-04,49.3385714285714
2021-04-11,42.5314285714286
2021-04-18,45.0885714285714
2021-04-25,48.66
2021-05-02,49.17
2021-05-09,49.17
2021-05-16,49.17
2021-05-23,49.17
2021-05-30,46.11
2021-06-06,45.6
2021-06-13,42.5314285714286
2021-06-20,42.02
2021-06-27,40.8028571428571
2021-07-04,42.0285714285714
2021-07-11,50.6
2021-07-18,50.6
2021-07-25,50.95
2021-08-01,50.95
2021-08-08,44.7428571428571
2021-08-15,48.1314285714286
2021-08-22,49.11
2021-08-29,49.11
2021-09-05,48.09
2021-09-12,46.73
2021-09-19,46.73
2021-09-26,36.07
2021-10-03,44.0328571428571
2021-10-10,45.36
2021-10-17,45.36
2021-10-24,42.3
2021-10-31,32.86
2021-11-07,32.86
2021-11-14,32.86
2021-11-21,32.86
2021-11-28,32.86
2021-12-05,32.86
2021-12-12,32.86
2021-12-19,32.86
2021-12-26,32.86
2022-01-02,32.86
2022-01-09,32.86
2022-01-16,32.86
2022-01-23,32.86
2022-01-30,32.86
2022-02-06,32.86
2022-02-13,32.86
2022-02-20,34.8957142857143
2022-02-27,35.71
2022-03-06,35.71
2022-03-13,35.71
2022-03-20,35.71
2022-03-27,35.71
2022-04-03,35.71
2022-04-10,35.71
2022-04-17,35.71
2022-04-24,35.71
2022-05-01,35.71
2022-05-08,35.71
2022-05-15,35.71
2022-05-22,35.71
2022-05-29,35.71
2022-06-05,35.71
2022-06-12,35.71
2022-06-19,35.71
2022-06-26,35.71
2022-07-03,35.71
2022-07-10,35.71
2022-07-17,29.59
2022-07-24,28.57
2022-07-31,28.57
2022-08-07,28.57
2022-08-14,28.57
2022-08-21,28.57
2022-08-28,28.57
2022-08-31,28.57
