"dates","strig"
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,2.55
2020-02-09,3.57
2020-02-16,3.57
2020-02-23,3.57
2020-03-01,3.57
2020-03-08,3.57
2020-03-15,6.63
2020-03-22,29.6785714285714
2020-03-29,57.82
2020-04-05,58.33
2020-04-12,61.8171428571429
2020-04-19,67.26
2020-04-26,69.5571428571429
2020-05-03,72.62
2020-05-10,72.62
2020-05-17,72.62
2020-05-24,71.94
2020-05-31,70.24
2020-06-07,68.8771428571429
2020-06-14,66.07
2020-06-21,66.07
2020-06-28,66.07
2020-07-05,63.69
2020-07-12,62.6671428571429
2020-07-19,60.37
2020-07-26,54.2528571428571
2020-08-02,52.98
2020-08-09,52.98
2020-08-16,52.98
2020-08-23,52.98
2020-08-30,52.98
2020-09-06,54.76
2020-09-13,54.76
2020-09-20,54.76
2020-09-27,54.76
2020-10-04,54.76
2020-10-11,51.0171428571429
2020-10-18,48.21
2020-10-25,48.21
2020-11-01,48.21
2020-11-08,48.21
2020-11-15,48.21
2020-11-22,48.21
2020-11-29,48.21
2020-12-06,47.1942857142857
2020-12-13,46.5142857142857
2020-12-20,43.45
2020-12-27,36.65
2021-01-03,33.93
2021-01-10,41.07
2021-01-17,42.26
2021-01-24,42.26
2021-01-31,45.32
2021-02-07,45.83
2021-02-14,45.83
2021-02-21,45.83
2021-02-28,47.19
2021-03-07,46.17
2021-03-14,45.83
2021-03-21,45.83
2021-03-28,45.83
2021-04-04,47.4642857142857
2021-04-11,48.69
2021-04-18,50.2242857142857
2021-04-25,50.48
2021-05-02,51.6971428571429
2021-05-09,51.9
2021-05-16,51.9
2021-05-23,51.9
2021-05-30,51.9
2021-06-06,51.9
2021-06-13,51.9
2021-06-20,55.2171428571429
2021-06-27,59.64
2021-07-04,61.68
2021-07-11,62.02
2021-07-18,62.02
2021-07-25,59.29
2021-08-01,59.29
2021-08-08,59.29
2021-08-15,59.29
2021-08-22,54.6957142857143
2021-08-29,52.3957142857143
2021-09-05,52.14
2021-09-12,54.69
2021-09-19,55.71
2021-09-26,55.71
2021-10-03,53.67
2021-10-10,53.33
2021-10-17,53.33
2021-10-24,55.37
2021-10-31,55.71
2021-11-07,55.71
2021-11-14,55.71
2021-11-21,55.71
2021-11-28,52.1442857142857
2021-12-05,51.55
2021-12-12,41.7528571428571
2021-12-19,51.9542857142857
2021-12-26,51.82
2022-01-02,51.82
2022-01-09,51.5585714285714
2022-01-16,51.21
2022-01-23,51.21
2022-01-30,51.21
2022-02-06,51.21
2022-02-13,51.21
2022-02-20,52.4357142857143
2022-02-27,51.4142857142857
2022-03-06,51.21
2022-03-13,51.21
2022-03-20,51.21
2022-03-27,51.1757142857143
2022-04-03,51.13
2022-04-10,51.13
2022-04-17,51.13
2022-04-24,51.13
2022-05-01,50.1785714285714
2022-05-08,50.02
2022-05-15,50.02
2022-05-22,52.4714285714286
2022-05-29,52.88
2022-06-05,52.88
2022-06-12,54.1057142857143
2022-06-19,54.31
2022-06-26,55.2671428571429
2022-07-03,53.8342857142857
2022-07-10,53.38
2022-07-17,53.38
2022-07-24,53.38
2022-07-31,53.38
2022-08-07,53.38
2022-08-14,53.38
2022-08-21,53.04
2022-08-28,51
2022-08-31,51
