"dates","strig"
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,4.08
2020-03-15,7.14
2020-03-22,36.3942857142857
2020-03-29,50.51
2020-04-05,61.7328571428571
2020-04-12,62.5
2020-04-19,62.5
2020-04-26,62.5
2020-05-03,62.5
2020-05-10,49.8314285714286
2020-05-17,47.62
2020-05-24,47.62
2020-05-31,47.62
2020-06-07,47.62
2020-06-14,47.62
2020-06-21,46.94
2020-06-28,42.86
2020-07-05,42.86
2020-07-12,42.86
2020-07-19,45.75
2020-07-26,53.57
2020-08-02,53.57
2020-08-09,53.57
2020-08-16,53.57
2020-08-23,53.57
2020-08-30,53.57
2020-09-06,53.57
2020-09-13,55.36
2020-09-20,55.36
2020-09-27,51.7857142857143
2020-10-04,48.6371428571429
2020-10-11,43.79
2020-10-18,43.45
2020-10-25,43.45
2020-11-01,43.45
2020-11-08,43.45
2020-11-15,43.45
2020-11-22,43.45
2020-11-29,43.45
2020-12-06,39.37
2020-12-13,38.69
2020-12-20,38.69
2020-12-27,38.69
2021-01-03,38.69
2021-01-10,55.61
2021-01-17,66.8385714285714
2021-01-24,67.86
2021-01-31,65.82
2021-02-07,63.44
2021-02-14,72.62
2021-02-21,72.62
2021-02-28,72.62
2021-03-07,56.55
2021-03-14,56.55
2021-03-21,60.8357142857143
2021-03-28,61.55
2021-04-04,58.49
2021-04-11,57.98
2021-04-18,57.98
2021-04-25,57.98
2021-05-02,56.7014285714286
2021-05-09,56.19
2021-05-16,39.88
2021-05-23,39.88
2021-05-30,45.7
2021-06-06,48.1314285714286
2021-06-13,56.9
2021-06-20,50.5742857142857
2021-06-27,49.52
2021-07-04,49.52
2021-07-11,49.52
2021-07-18,52.98
2021-07-25,56.2114285714286
2021-08-01,66.46
2021-08-08,60
2021-08-15,60
2021-08-22,60
2021-08-29,60
2021-09-05,60
2021-09-12,64.29
2021-09-19,64.29
2021-09-26,64.29
2021-10-03,58.1614285714286
2021-10-10,57.14
2021-10-17,58.63
2021-10-24,58.63
2021-10-31,58.63
2021-11-07,58.63
2021-11-14,58.63
2021-11-21,58.2014285714286
2021-11-28,58.03
2021-12-05,58.03
2021-12-12,57.9442857142857
2021-12-19,52.7757142857143
2021-12-26,51.9
2022-01-02,51.6385714285714
2022-01-09,51.1
2022-01-16,49.06
2022-01-23,48.72
2022-01-30,48.72
2022-02-06,48.72
2022-02-13,43.1914285714286
2022-02-20,40.98
2022-02-27,40.98
2022-03-06,40.98
2022-03-13,40.98
2022-03-20,45.0428571428571
2022-03-27,45.72
2022-04-03,43.68
2022-04-10,43.68
2022-04-17,45.72
2022-04-24,45.72
2022-05-01,42.1328571428571
2022-05-08,42.13
2022-05-15,42.13
2022-05-22,42.13
2022-05-29,41.11
2022-06-05,39.75
2022-06-12,39.75
2022-06-19,41.79
2022-06-26,42.0814285714286
2022-07-03,41.79
2022-07-10,41.79
2022-07-17,41.7871428571429
2022-07-24,41.77
2022-07-31,41.77
2022-08-07,41.77
2022-08-14,41.77
2022-08-21,41.77
2022-08-28,24.3357142857143
2022-08-31,21.43
