"dates","strig"
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,5.1
2020-02-02,7.14
2020-02-09,7.14
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,7.31
2020-03-15,17.2585714285714
2020-03-22,53.2342857142857
2020-03-29,71.5114285714286
2020-04-05,72.02
2020-04-12,78.1485714285714
2020-04-19,79.17
2020-04-26,79.17
2020-05-03,79.17
2020-05-10,79.17
2020-05-17,79.17
2020-05-24,79.17
2020-05-31,79.17
2020-06-07,82.74
2020-06-14,77.2942857142857
2020-06-21,72.9557142857143
2020-06-28,68.88
2020-07-05,67.86
2020-07-12,67.86
2020-07-19,67.86
2020-07-26,67.86
2020-08-02,67.6885714285714
2020-08-09,69.81
2020-08-16,70.83
2020-08-23,70.83
2020-08-30,70.83
2020-09-06,70.83
2020-09-13,69.64
2020-09-20,67.86
2020-09-27,66.67
2020-10-04,66.67
2020-10-11,64.1185714285714
2020-10-18,62.5
2020-10-25,64.03
2020-11-01,66.07
2020-11-08,65.56
2020-11-15,65.05
2020-11-22,64.88
2020-11-29,64.88
2020-12-06,64.88
2020-12-13,62.84
2020-12-20,62.5
2020-12-27,65.22
2021-01-03,66.07
2021-01-10,66.07
2021-01-17,66.07
2021-01-24,67.6042857142857
2021-01-31,68.6771428571429
2021-02-07,69.29
2021-02-14,69.8985714285714
2021-02-21,70.71
2021-02-28,70.71
2021-03-07,73.7785714285714
2021-03-14,74.29
2021-03-21,74.29
2021-03-28,74.29
2021-04-04,75.5071428571429
2021-04-11,75.71
2021-04-18,72.14
2021-04-25,69.08
2021-05-02,68.57
2021-05-09,68.57
2021-05-16,68.57
2021-05-23,68.57
2021-05-30,68.57
2021-06-06,61.7385714285714
2021-06-13,60.6
2021-06-20,60.6
2021-06-27,63.66
2021-07-04,64.17
2021-07-11,61.3071428571429
2021-07-18,60.83
2021-07-25,63.38
2021-08-01,61.0857142857143
2021-08-08,60.83
2021-08-15,60.83
2021-08-22,60.83
2021-08-29,68.21
2021-09-05,68.21
2021-09-12,68.21
2021-09-19,68.21
2021-09-26,68.21
2021-10-03,68.8928571428571
2021-10-10,70.6
2021-10-17,70.6
2021-10-24,70.3171428571429
2021-10-31,69.44
2021-11-07,69.3142857142857
2021-11-14,62.4671428571429
2021-11-21,56.7928571428571
2021-11-28,56.2771428571429
2021-12-05,58.0271428571429
2021-12-12,58.01
2021-12-19,56.9685714285714
2021-12-26,55.5857142857143
2022-01-02,57.6085714285714
2022-01-09,51.7457142857143
2022-01-16,51.0885714285714
2022-01-23,52.2585714285714
2022-01-30,52.24
2022-02-06,52.22
2022-02-13,48.1971428571429
2022-02-20,48.5142857142857
2022-02-27,46.62
2022-03-06,45.7485714285714
2022-03-13,45.74
2022-03-20,45.7328571428571
2022-03-27,45.7228571428571
2022-04-03,45.7185714285714
2022-04-10,45.71
2022-04-17,45.7042857142857
2022-04-24,45.7
2022-05-01,49.5585714285714
2022-05-08,50.2
2022-05-15,49.0685714285714
2022-05-22,48.88
2022-05-29,45.0057142857143
2022-06-05,44.36
2022-06-12,44.36
2022-06-19,44.3528571428571
2022-06-26,44.35
2022-07-03,42.2014285714286
2022-07-10,41.84
2022-07-17,41.84
2022-07-24,41.84
2022-07-31,41.8328571428571
2022-08-07,41.83
2022-08-14,41.83
2022-08-21,41.83
2022-08-28,41.82
2022-08-31,41.82
