"dates","strig"
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,0
2020-03-15,0.765714285714286
2020-03-22,23.1314285714286
2020-03-29,70.83
2020-04-05,71.17
2020-04-12,73.21
2020-04-19,73.21
2020-04-26,62.54
2020-05-03,60.42
2020-05-10,60.42
2020-05-17,61.9457142857143
2020-05-24,62.2
2020-05-31,62.2
2020-06-07,62.2
2020-06-14,62.03
2020-06-21,61.01
2020-06-28,60.7557142857143
2020-07-05,60.12
2020-07-12,60.12
2020-07-19,60.12
2020-07-26,60.12
2020-08-02,60.12
2020-08-09,60.12
2020-08-16,58.72
2020-08-23,59.8228571428571
2020-08-30,58.12
2020-09-06,54.46
2020-09-13,53.95
2020-09-20,53.27
2020-09-27,53.27
2020-10-04,50.2128571428571
2020-10-11,41.7928571428571
2020-10-18,43.2414285714286
2020-10-25,39.29
2020-11-01,36.9
2020-11-08,36.9
2020-11-15,36.9
2020-11-22,36.9
2020-11-29,36.9
2020-12-06,36.9
2020-12-13,36.9
2020-12-20,36.9
2020-12-27,36.9
2021-01-03,36.9
2021-01-10,36.9
2021-01-17,36.9
2021-01-24,36.9
2021-01-31,36.9
2021-02-07,36.9
2021-02-14,36.9
2021-02-21,36.9
2021-02-28,36.9
2021-03-07,32.3142857142857
2021-03-14,31.55
2021-03-21,31.55
2021-03-28,34.61
2021-04-04,35.12
2021-04-11,50.4285714285714
2021-04-18,52.98
2021-04-25,65.6314285714286
2021-05-02,67.74
2021-05-09,67.74
2021-05-16,67.74
2021-05-23,67.74
2021-05-30,68.5185714285714
2021-06-06,63.5228571428571
2021-06-13,75.6
2021-06-20,75.6
2021-06-27,65.1357142857143
2021-07-04,59.52
2021-07-11,59.4357142857143
2021-07-18,58.93
2021-07-25,58.93
2021-08-01,51.79
2021-08-08,51.79
2021-08-15,59.88
2021-08-22,59.88
2021-08-29,61.6671428571429
2021-09-05,53.0985714285714
2021-09-12,42.98
2021-09-19,42.98
2021-09-26,50.3257142857143
2021-10-03,54.61
2021-10-10,55.12
2021-10-17,55.12
2021-10-24,41.3457142857143
2021-10-31,43.3357142857143
2021-11-07,44.05
2021-11-14,42.8585714285714
2021-11-21,35.71
2021-11-28,36.4814285714286
2021-12-05,35.59
2021-12-12,33.04
2021-12-19,36.2257142857143
2021-12-26,37.5
2022-01-02,42.0057142857143
2022-01-09,53.27
2022-01-16,50.72
2022-01-23,49.7
2022-01-30,49.7
2022-02-06,49.4428571428571
2022-02-13,55.5285714285714
2022-02-20,56.55
2022-02-27,56.55
2022-03-06,56.55
2022-03-13,56.55
2022-03-20,56.55
2022-03-27,56.55
2022-04-03,50.4214285714286
2022-04-10,47.62
2022-04-17,44.05
2022-04-24,44.05
2022-05-01,47.62
2022-05-08,47.62
2022-05-15,36.3914285714286
2022-05-22,34.52
2022-05-29,34.52
2022-06-05,34.52
2022-06-12,34.52
2022-06-19,34.52
2022-06-26,29.42
2022-07-03,28.57
2022-07-10,28.57
2022-07-17,30.1
2022-07-24,32.14
2022-07-31,32.14
2022-08-07,32.14
2022-08-14,27.5528571428571
2022-08-21,26.79
2022-08-28,26.79
2022-08-31,26.79
