"dates","strig"
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,0
2020-03-15,1.27857142857143
2020-03-22,9.95285714285714
2020-03-29,40.2257142857143
2020-04-05,50.6
2020-04-12,50.6
2020-04-19,56.72
2020-04-26,57.74
2020-05-03,57.23
2020-05-10,56.5485714285714
2020-05-17,51.19
2020-05-24,51.19
2020-05-31,51.19
2020-06-07,49.15
2020-06-14,48.81
2020-06-21,48.81
2020-06-28,48.81
2020-07-05,48.81
2020-07-12,48.81
2020-07-19,48.81
2020-07-26,48.2985714285714
2020-08-02,46.2571428571429
2020-08-09,45.24
2020-08-16,45.24
2020-08-23,45.24
2020-08-30,45.24
2020-09-06,45.24
2020-09-13,45.24
2020-09-20,42.86
2020-09-27,42.86
2020-10-04,42.86
2020-10-11,40.82
2020-10-18,39.29
2020-10-25,39.29
2020-11-01,39.29
2020-11-08,39.29
2020-11-15,39.29
2020-11-22,39.29
2020-11-29,39.29
2020-12-06,39.29
2020-12-13,40.9871428571429
2020-12-20,49.9142857142857
2020-12-27,60.12
2021-01-03,54
2021-01-10,52.98
2021-01-17,49.4
2021-01-24,49.4
2021-01-31,48.38
2021-02-07,48.21
2021-02-14,48.21
2021-02-21,48.21
2021-02-28,48.21
2021-03-07,48.8228571428571
2021-03-14,49.64
2021-03-21,49.64
2021-03-28,49.64
2021-04-04,52.0914285714286
2021-04-11,52.5
2021-04-18,52.5
2021-04-25,54.88
2021-05-02,54.88
2021-05-09,54.88
2021-05-16,52.84
2021-05-23,52.5
2021-05-30,52.5
2021-06-06,52.5
2021-06-13,52.5
2021-06-20,52.5
2021-06-27,52.5
2021-07-04,54.88
2021-07-11,54.88
2021-07-18,54.88
2021-07-25,43.21
2021-08-01,43.21
2021-08-08,43.21
2021-08-15,53.2128571428571
2021-08-22,54.88
2021-08-29,56.67
2021-09-05,56.67
2021-09-12,53.1
2021-09-19,53.1
2021-09-26,54.29
2021-10-03,54.29
2021-10-10,55.5071428571429
2021-10-17,54.1842857142857
2021-10-24,53.93
2021-10-31,53.93
2021-11-07,53.93
2021-11-14,53.93
2021-11-21,53.93
2021-11-28,53.93
2021-12-05,53.93
2021-12-12,53.93
2021-12-19,50.3242857142857
2021-12-26,50.12
2022-01-02,52.5714285714286
2022-01-09,52.98
2022-01-16,52.98
2022-01-23,52.98
2022-01-30,52.98
2022-02-06,51.96
2022-02-13,51.79
2022-02-20,52.64
2022-02-27,52.98
2022-03-06,52.98
2022-03-13,52.98
2022-03-20,52.98
2022-03-27,52.98
2022-04-03,52.98
2022-04-10,52.98
2022-04-17,39.4285714285714
2022-04-24,37.17
2022-05-01,37.1671428571429
2022-05-08,37.15
2022-05-15,37.15
2022-05-22,37.1471428571429
2022-05-29,37.13
2022-06-05,37.1242857142857
2022-06-12,37.09
2022-06-19,37.0885714285714
2022-06-26,37.08
2022-07-03,37.0757142857143
2022-07-10,37.05
2022-07-17,37.0471428571429
2022-07-24,37.03
2022-07-31,37.03
2022-08-07,37.0271428571429
2022-08-14,28.85
2022-08-21,27.4871428571429
2022-08-28,27.4671428571429
2022-08-31,27.45
