"dates","strig"
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,4.59428571428571
2020-02-23,5.36
2020-03-01,5.36
2020-03-08,5.36
2020-03-15,5.36
2020-03-22,10.7171428571429
2020-03-29,39.88
2020-04-05,45.83
2020-04-12,48.21
2020-04-19,48.21
2020-04-26,48.21
2020-05-03,48.21
2020-05-10,52.8042857142857
2020-05-17,53.57
2020-05-24,53.57
2020-05-31,60.8842857142857
2020-06-07,67.86
2020-06-14,67.86
2020-06-21,67.86
2020-06-28,67.86
2020-07-05,70.92
2020-07-12,71.43
2020-07-19,71.43
2020-07-26,71.43
2020-08-02,59.4414285714286
2020-08-09,60.2071428571429
2020-08-16,69.05
2020-08-23,66.2428571428571
2020-08-30,64.88
2020-09-06,64.88
2020-09-13,64.88
2020-09-20,64.88
2020-09-27,64.88
2020-10-04,63.52
2020-10-11,62.5
2020-10-18,62.5
2020-10-25,58.42
2020-11-01,54.3371428571429
2020-11-08,53.0614285714286
2020-11-15,52.9342857142857
2020-11-22,53.57
2020-11-29,53.57
2020-12-06,53.57
2020-12-13,51.0185714285714
2020-12-20,48.72
2020-12-27,47.02
2021-01-03,47.02
2021-01-10,47.02
2021-01-17,49.5742857142857
2021-01-24,52.98
2021-01-31,52.98
2021-02-07,52.98
2021-02-14,54.34
2021-02-21,55.36
2021-02-28,55.36
2021-03-07,55.2914285714286
2021-03-14,54.88
2021-03-21,54.88
2021-03-28,60.83
2021-04-04,60.83
2021-04-11,60.83
2021-04-18,60.83
2021-04-25,63.81
2021-05-02,61.2557142857143
2021-05-09,60.83
2021-05-16,60.83
2021-05-23,59.88
2021-05-30,59.88
2021-06-06,59.88
2021-06-13,59.88
2021-06-20,58.45
2021-06-27,56.92
2021-07-04,56.41
2021-07-11,58.45
2021-07-18,58.03
2021-07-25,59.05
2021-08-01,58.5385714285714
2021-08-08,51.9571428571429
2021-08-15,47.98
2021-08-22,47.98
2021-08-29,47.98
2021-09-05,47.98
2021-09-12,47.98
2021-09-19,47.98
2021-09-26,47.98
2021-10-03,47.98
2021-10-10,47.98
2021-10-17,47.98
2021-10-24,47.98
2021-10-31,47.98
2021-11-07,47.98
2021-11-14,47.98
2021-11-21,47.98
2021-11-28,47.98
2021-12-05,46.9585714285714
2021-12-12,38.2785714285714
2021-12-19,36.9
2021-12-26,36.9
2022-01-02,36.9
2022-01-09,36.9
2022-01-16,36.9
2022-01-23,39.4542857142857
2022-01-30,39.88
2022-02-06,39.88
2022-02-13,39.88
2022-02-20,41.0714285714286
2022-02-27,39.29
2022-03-06,38.7785714285714
2022-03-13,37.5
2022-03-20,37.5
2022-03-27,39.29
2022-04-03,39.29
2022-04-10,37.7557142857143
2022-04-17,37.5
2022-04-24,36.65
2022-05-01,31.55
2022-05-08,31.55
2022-05-15,31.55
2022-05-22,31.55
2022-05-29,31.55
2022-06-05,31.55
2022-06-12,31.55
2022-06-19,31.55
2022-06-26,31.55
2022-07-03,31.55
2022-07-10,31.55
2022-07-17,31.55
2022-07-24,31.55
2022-07-31,31.55
2022-08-07,31.55
2022-08-14,31.55
2022-08-21,31.55
2022-08-28,31.55
2022-08-31,31.55
