"dates","strig"
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,2.55
2020-02-16,3.57
2020-02-23,3.57
2020-03-01,3.57
2020-03-08,3.57
2020-03-15,9.69428571428571
2020-03-22,35.8857142857143
2020-03-29,49.66
2020-04-05,57.14
2020-04-12,57.14
2020-04-19,57.14
2020-04-26,57.14
2020-05-03,57.14
2020-05-10,59.69
2020-05-17,60.71
2020-05-24,62.7585714285714
2020-05-31,63.1
2020-06-07,63.1
2020-06-14,63.1
2020-06-21,64.88
2020-06-28,64.88
2020-07-05,63.18
2020-07-12,47.7057142857143
2020-07-19,36.31
2020-07-26,36.31
2020-08-02,36.31
2020-08-09,36.31
2020-08-16,36.31
2020-08-23,36.31
2020-08-30,36.31
2020-09-06,34.27
2020-09-13,30.8671428571429
2020-09-20,30.95
2020-09-27,29.93
2020-10-04,28.57
2020-10-11,28.57
2020-10-18,28.57
2020-10-25,28.57
2020-11-01,28.57
2020-11-08,28.57
2020-11-15,28.57
2020-11-22,28.57
2020-11-29,28.57
2020-12-06,38.2671428571429
2020-12-13,48.2971428571429
2020-12-20,52.98
2020-12-27,52.98
2021-01-03,52.98
2021-01-10,52.4657142857143
2021-01-17,47.62
2021-01-24,47.62
2021-01-31,47.62
2021-02-07,47.62
2021-02-14,47.62
2021-02-21,47.62
2021-02-28,43.0257142857143
2021-03-07,42.26
2021-03-14,42.26
2021-03-21,40.22
2021-03-28,42.9442857142857
2021-04-04,44.17
2021-04-11,44.17
2021-04-18,44.17
2021-04-25,42.2985714285714
2021-05-02,41.55
2021-05-09,41.55
2021-05-16,41.55
2021-05-23,47.3614285714286
2021-05-30,48.33
2021-06-06,48.33
2021-06-13,48.33
2021-06-20,48.33
2021-06-27,48.33
2021-07-04,48.33
2021-07-11,48.33
2021-07-18,48.33
2021-07-25,44.93
2021-08-01,43.57
2021-08-08,43.57
2021-08-15,43.57
2021-08-22,50.2042857142857
2021-08-29,51.31
2021-09-05,51.31
2021-09-12,50.8
2021-09-19,47.74
2021-09-26,56.62
2021-10-03,52.9914285714286
2021-10-10,52.4485714285714
2021-10-17,46.38
2021-10-24,45.36
2021-10-31,52.5
2021-11-07,34.52
2021-11-14,34.52
2021-11-21,34.52
2021-11-28,34.52
2021-12-05,50.0842857142857
2021-12-12,52.0242857142857
2021-12-19,51.31
2021-12-26,42.3271428571429
2022-01-02,38.9328571428571
2022-01-09,42.3242857142857
2022-01-16,50.8285714285714
2022-01-23,50.82
2022-01-30,50.3842857142857
2022-02-06,51.85
2022-02-13,51.82
2022-02-20,51.81
2022-02-27,51.79
2022-03-06,48.2128571428571
2022-03-13,47.62
2022-03-20,47.62
2022-03-27,47.62
2022-04-03,47.62
2022-04-10,47.62
2022-04-17,47.62
2022-04-24,47.62
2022-05-01,47.62
2022-05-08,47.62
2022-05-15,47.62
2022-05-22,47.62
2022-05-29,47.62
2022-06-05,47.62
2022-06-12,46.8542857142857
2022-06-19,42.26
2022-06-26,42.26
2022-07-03,42.26
2022-07-10,42.6
2022-07-17,42.26
2022-07-24,42.26
2022-07-31,36.14
2022-08-07,35.12
2022-08-14,35.12
2022-08-21,35.12
2022-08-28,35.12
2022-08-31,35.12
