"dates","strig"
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,0
2020-03-15,0
2020-03-22,19.0485714285714
2020-03-29,55.87
2020-04-05,60.29
2020-04-12,63.69
2020-04-19,63.69
2020-04-26,65.9871428571429
2020-05-03,69.05
2020-05-10,71.09
2020-05-17,71.6
2020-05-24,70.24
2020-05-31,67.8571428571428
2020-06-07,66.67
2020-06-14,66.67
2020-06-21,43.45
2020-06-28,43.45
2020-07-05,38.35
2020-07-12,36.31
2020-07-19,36.31
2020-07-26,36.31
2020-08-02,36.31
2020-08-09,36.31
2020-08-16,36.31
2020-08-23,36.31
2020-08-30,36.31
2020-09-06,36.31
2020-09-13,36.31
2020-09-20,36.31
2020-09-27,36.31
2020-10-04,34.27
2020-10-11,32.74
2020-10-18,29.68
2020-10-25,29.17
2020-11-01,28.15
2020-11-08,26.79
2020-11-15,26.79
2020-11-22,26.79
2020-11-29,26.79
2020-12-06,26.79
2020-12-13,26.79
2020-12-20,26.79
2020-12-27,26.79
2021-01-03,26.79
2021-01-10,29.85
2021-01-17,31.8857142857143
2021-01-24,32.14
2021-01-31,37.38
2021-02-07,37.38
2021-02-14,36.1542857142857
2021-02-21,36.7671428571429
2021-02-28,38.81
2021-03-07,37.2757142857143
2021-03-14,70.5257142857143
2021-03-21,87.06
2021-03-28,89.9
2021-04-04,89.7257142857143
2021-04-11,89.64
2021-04-18,89.64
2021-04-25,82.9114285714286
2021-05-02,79.9157142857143
2021-05-09,71.67
2021-05-16,75.1885714285714
2021-05-23,78.45
2021-05-30,78.45
2021-06-06,79.6757142857143
2021-06-13,81.1057142857143
2021-06-20,79.88
2021-06-27,79.88
2021-07-04,71.5485714285714
2021-07-11,66.43
2021-07-18,63.3671428571429
2021-07-25,61.07
2021-08-01,61.07
2021-08-08,61.07
2021-08-15,61.07
2021-08-22,60.7614285714286
2021-08-29,60.71
2021-09-05,60.71
2021-09-12,60.71
2021-09-19,60.71
2021-09-26,54.8571428571429
2021-10-03,55.4171428571429
2021-10-10,55.3657142857143
2021-10-17,53.9457142857143
2021-10-24,50.5142857142857
2021-10-31,49.4842857142857
2021-11-07,49.2728571428571
2021-11-14,54.3528571428571
2021-11-21,55.1428571428571
2021-11-28,55.1
2021-12-05,55.1
2021-12-12,55.1
2021-12-19,56.6428571428571
2021-12-26,56.8371428571429
2022-01-02,55.9214285714286
2022-01-09,53.75
2022-01-16,50.6814285714286
2022-01-23,50.17
2022-01-30,50.17
2022-02-06,51.8771428571429
2022-02-13,52.56
2022-02-20,52.56
2022-02-27,50.77
2022-03-06,50.77
2022-03-13,50.77
2022-03-20,50.77
2022-03-27,50.77
2022-04-03,50.77
2022-04-10,46.1242857142857
2022-04-17,45.35
2022-04-24,47.8528571428571
2022-05-01,43.2357142857143
2022-05-08,39.46
2022-05-15,39.46
2022-05-22,39.46
2022-05-29,39.4357142857143
2022-06-05,39.29
2022-06-12,39.29
2022-06-19,33.9285714285714
2022-06-26,33.92
2022-07-03,30.6071428571429
2022-07-10,26.19
2022-07-17,25.85
2022-07-24,23.81
2022-07-31,23.81
2022-08-07,23.81
2022-08-14,23.81
2022-08-21,23.81
2022-08-28,23.81
2022-08-31,23.81
