"dates","strig"
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,3.06
2020-02-23,3.57
2020-03-01,3.57
2020-03-08,4.59
2020-03-15,7.14
2020-03-22,15.5614285714286
2020-03-29,33.93
2020-04-05,38.6914285714286
2020-04-12,47.28
2020-04-19,48.3
2020-04-26,50
2020-05-03,50
2020-05-10,50
2020-05-17,50
2020-05-24,50
2020-05-31,50
2020-06-07,50
2020-06-14,50
2020-06-21,50
2020-06-28,50
2020-07-05,50
2020-07-12,50
2020-07-19,50
2020-07-26,50
2020-08-02,50
2020-08-09,52.3814285714286
2020-08-16,56.55
2020-08-23,56.55
2020-08-30,56.55
2020-09-06,53.49
2020-09-13,50.6
2020-09-20,48.8128571428571
2020-09-27,46.43
2020-10-04,46.43
2020-10-11,46.43
2020-10-18,49.49
2020-10-25,50
2020-11-01,50
2020-11-08,50
2020-11-15,50
2020-11-22,50
2020-11-29,50
2020-12-06,50
2020-12-13,50
2020-12-20,50
2020-12-27,50
2021-01-03,50
2021-01-10,46.3414285714286
2021-01-17,48.04
2021-01-24,47.02
2021-01-31,47.02
2021-02-07,47.02
2021-02-14,47.02
2021-02-21,47.02
2021-02-28,39.88
2021-03-07,39.88
2021-03-14,49.4714285714286
2021-03-21,52.5
2021-03-28,57.26
2021-04-04,57.26
2021-04-11,58.4857142857143
2021-04-18,60.48
2021-04-25,58.44
2021-05-02,53.1971428571429
2021-05-09,52.38
2021-05-16,52.38
2021-05-23,49.8328571428571
2021-05-30,43.45
2021-06-06,43.45
2021-06-13,43.45
2021-06-20,42.8414285714286
2021-06-27,51.0028571428571
2021-07-04,52.38
2021-07-11,52.38
2021-07-18,57.48
2021-07-25,58.33
2021-08-01,56.8042857142857
2021-08-08,56.55
2021-08-15,54.85
2021-08-22,54.17
2021-08-29,52.6357142857143
2021-09-05,52.38
2021-09-12,52.38
2021-09-19,41.6657142857143
2021-09-26,39.88
2021-10-03,39.88
2021-10-10,42.94
2021-10-17,43.45
2021-10-24,36.31
2021-10-31,35.12
2021-11-07,46.8542857142857
2021-11-14,48.81
2021-11-21,48.81
2021-11-28,43.1971428571429
2021-12-05,42.56
2021-12-12,42.56
2021-12-19,45.24
2021-12-26,45.24
2022-01-02,45.24
2022-01-09,45.24
2022-01-16,45.24
2022-01-23,45.24
2022-01-30,45.24
2022-02-06,45.24
2022-02-13,45.24
2022-02-20,46.26
2022-02-27,46.43
2022-03-06,46.43
2022-03-13,46.43
2022-03-20,46.43
2022-03-27,46.43
2022-04-03,46.43
2022-04-10,46.43
2022-04-17,46.43
2022-04-24,46.43
2022-05-01,49.4214285714286
2022-05-08,49.92
2022-05-15,49.92
2022-05-22,49.9171428571429
2022-05-29,49.9
2022-06-05,41.5528571428571
2022-06-12,39.88
2022-06-19,39.88
2022-06-26,39.88
2022-07-03,39.88
2022-07-10,39.88
2022-07-17,40.73
2022-07-24,45.83
2022-07-31,45.83
2022-08-07,45.83
2022-08-14,45.83
2022-08-21,45.83
2022-08-28,45.83
2022-08-31,45.83
