"dates","strig"
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0.255714285714286
2020-03-08,1.79
2020-03-15,5.53
2020-03-22,37.8428571428571
2020-03-29,50.0871428571429
2020-04-05,57.74
2020-04-12,57.74
2020-04-19,59.5228571428571
2020-04-26,61.9
2020-05-03,61.9
2020-05-10,59.18
2020-05-17,58.33
2020-05-24,58.33
2020-05-31,58.33
2020-06-07,57.1442857142857
2020-06-14,57.74
2020-06-21,57.74
2020-06-28,53.1457142857143
2020-07-05,50.6
2020-07-12,50.6
2020-07-19,55.4857142857143
2020-07-26,56.2914285714286
2020-08-02,49.4
2020-08-09,50.55
2020-08-16,56.2042857142857
2020-08-23,58.33
2020-08-30,57.8242857142857
2020-09-06,61.9071428571429
2020-09-13,61.9
2020-09-20,61.9
2020-09-27,59.01
2020-10-04,58.33
2020-10-11,46.09
2020-10-18,44.05
2020-10-25,44.3871428571429
2020-11-01,41.0728571428571
2020-11-08,39.29
2020-11-15,39.29
2020-11-22,39.29
2020-11-29,41.67
2020-12-06,39.63
2020-12-13,40.31
2020-12-20,37.4142857142857
2020-12-27,43.62
2021-01-03,47.02
2021-01-10,47.02
2021-01-17,46.5985714285714
2021-01-24,48.9757142857143
2021-01-31,47.11
2021-02-07,46.9357142857143
2021-02-14,52.6342857142857
2021-02-21,52.0442857142857
2021-02-28,51.79
2021-03-07,48.7214285714286
2021-03-14,48.21
2021-03-21,52.0928571428571
2021-03-28,52.74
2021-04-04,52.74
2021-04-11,52.74
2021-04-18,55.0371428571429
2021-04-25,55.42
2021-05-02,55.42
2021-05-09,55.42
2021-05-16,55.42
2021-05-23,46.5914285714286
2021-05-30,56.4428571428571
2021-06-06,52.74
2021-06-13,60.9
2021-06-20,66.85
2021-06-27,74.52
2021-07-04,76.56
2021-07-11,76.9
2021-07-18,76.9
2021-07-25,84.64
2021-08-01,82.09
2021-08-08,61.6828571428571
2021-08-15,58.62
2021-08-22,57.26
2021-08-29,57.26
2021-09-05,55.7342857142857
2021-09-12,55.48
2021-09-19,54.4571428571429
2021-09-26,53.69
2021-10-03,52.4114285714286
2021-10-10,51.9
2021-10-17,51.9
2021-10-24,51.9
2021-10-31,51.9
2021-11-07,49.86
2021-11-14,49.52
2021-11-21,46.12
2021-11-28,44.76
2021-12-05,44.76
2021-12-12,46.3942857142857
2021-12-19,47.62
2021-12-26,47.62
2022-01-02,47.62
2022-01-09,47.62
2022-01-16,47.62
2022-01-23,47.62
2022-01-30,47.62
2022-02-06,47.62
2022-02-13,47.62
2022-02-20,47.62
2022-02-27,47.62
2022-03-06,47.62
2022-03-13,47.62
2022-03-20,46.5971428571429
2022-03-27,45.83
2022-04-03,45.83
2022-04-10,42.5385714285714
2022-04-17,41.7742857142857
2022-04-24,40.48
2022-05-01,40.48
2022-05-08,40.48
2022-05-15,40.48
2022-05-22,40.48
2022-05-29,40.48
2022-06-05,40.48
2022-06-12,44.05
2022-06-19,44.05
2022-06-26,44.05
2022-07-03,44.05
2022-07-10,37.9214285714286
2022-07-17,29.5028571428571
2022-07-24,19.64
2022-07-31,19.64
2022-08-07,19.64
2022-08-14,19.64
2022-08-21,19.64
2022-08-28,18.1142857142857
2022-08-31,17.86
