"dates","strig"
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,0
2020-03-15,3.82714285714286
2020-03-22,25.5957142857143
2020-03-29,39.3714285714286
2020-04-05,45.24
2020-04-12,45.24
2020-04-19,45.24
2020-04-26,48.3028571428571
2020-05-03,50.6
2020-05-10,50.6
2020-05-17,37.8428571428571
2020-05-24,32.74
2020-05-31,32.74
2020-06-07,27.98
2020-06-14,27.98
2020-06-21,27.98
2020-06-28,27.98
2020-07-05,27.98
2020-07-12,27.98
2020-07-19,27.98
2020-07-26,27.98
2020-08-02,27.98
2020-08-09,26.4485714285714
2020-08-16,22.62
2020-08-23,22.62
2020-08-30,22.62
2020-09-06,22.3642857142857
2020-09-13,20.83
2020-09-20,20.83
2020-09-27,20.83
2020-10-04,18.96
2020-10-11,16.07
2020-10-18,18.8814285714286
2020-10-25,20.3671428571429
2020-11-01,21.13
2020-11-08,27.08
2020-11-15,27.08
2020-11-22,27.08
2020-11-29,27.08
2020-12-06,27.08
2020-12-13,27.08
2020-12-20,31.1685714285714
2020-12-27,31.85
2021-01-03,31.85
2021-01-10,31.85
2021-01-17,31.85
2021-01-24,31.85
2021-01-31,31.85
2021-02-07,30.3157142857143
2021-02-14,32.3571428571429
2021-02-21,32.74
2021-02-28,32.74
2021-03-07,32.74
2021-03-14,32.74
2021-03-21,32.74
2021-03-28,32.74
2021-04-04,32.74
2021-04-11,32.74
2021-04-18,32.74
2021-04-25,37.1285714285714
2021-05-02,37.86
2021-05-09,37.86
2021-05-16,37.86
2021-05-23,37.86
2021-05-30,37.86
2021-06-06,30.1028571428571
2021-06-13,28.81
2021-06-20,28.81
2021-06-27,28.81
2021-07-04,28.81
2021-07-11,28.81
2021-07-18,28.81
2021-07-25,28.81
2021-08-01,28.81
2021-08-08,28.81
2021-08-15,32.4871428571429
2021-08-22,33.1
2021-08-29,33.1
2021-09-05,36.67
2021-09-12,33.61
2021-09-19,33.1
2021-09-26,33.1
2021-10-03,33.1
2021-10-10,34.12
2021-10-17,38.37
2021-10-24,41.43
2021-10-31,41.43
2021-11-07,38.0614285714286
2021-11-14,37.5
2021-11-21,36.61
2021-11-28,36.61
2021-12-05,36.61
2021-12-12,36.61
2021-12-19,36.61
2021-12-26,36.61
2022-01-02,36.61
2022-01-09,36.61
2022-01-16,36.61
2022-01-23,36.61
2022-01-30,36.61
2022-02-06,36.61
2022-02-13,30.4814285714286
2022-02-20,29.46
2022-02-27,29.46
2022-03-06,30.2314285714286
2022-03-13,30.36
2022-03-20,30.2342857142857
2022-03-27,29.4628571428571
2022-04-03,29.35
2022-04-10,34.71
2022-04-17,34.8042857142857
2022-04-24,34.82
2022-05-01,35.0428571428571
2022-05-08,35.6
2022-05-15,38.2485714285714
2022-05-22,38.69
2022-05-29,38.69
2022-06-05,29.4685714285714
2022-06-12,25.78
2022-06-19,25.78
2022-06-26,25.77
2022-07-03,24.4357142857143
2022-07-10,23.91
2022-07-17,23.91
2022-07-24,23.91
2022-07-31,23.91
2022-08-07,23.91
2022-08-14,23.91
2022-08-21,23.91
2022-08-28,23.9085714285714
2022-08-31,23.9
