"dates","strig"
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,2.55
2020-02-02,5.44
2020-02-09,9.52
2020-02-16,9.52
2020-02-23,9.52
2020-03-01,12.5842857142857
2020-03-08,16.67
2020-03-15,16.67
2020-03-22,30.6557142857143
2020-03-29,52.34
2020-04-05,69.94
2020-04-12,69.94
2020-04-19,70.7071428571429
2020-04-26,73.5128571428571
2020-05-03,76.19
2020-05-10,76.19
2020-05-17,76.19
2020-05-24,76.19
2020-05-31,76.19
2020-06-07,76.19
2020-06-14,76.19
2020-06-21,73.8928571428572
2020-06-28,73.51
2020-07-05,70.7057142857143
2020-07-12,70.54
2020-07-19,70.54
2020-07-26,70.54
2020-08-02,69.9014285714286
2020-08-09,67.01
2020-08-16,65.65
2020-08-23,64.29
2020-08-30,64.29
2020-09-06,64.29
2020-09-13,62.7557142857143
2020-09-20,60.71
2020-09-27,59.18
2020-10-04,57.14
2020-10-11,57.14
2020-10-18,54.76
2020-10-25,54.76
2020-11-01,54.76
2020-11-08,54.76
2020-11-15,54.76
2020-11-22,54.76
2020-11-29,54.76
2020-12-06,54.76
2020-12-13,54.76
2020-12-20,54.76
2020-12-27,58.84
2021-01-03,59.52
2021-01-10,54.9342857142857
2021-01-17,54.17
2021-01-24,54.17
2021-01-31,54.17
2021-02-07,54.17
2021-02-14,54.17
2021-02-21,54.17
2021-02-28,54.17
2021-03-07,54.17
2021-03-14,47.5357142857143
2021-03-21,46.43
2021-03-28,44.39
2021-04-04,44.05
2021-04-11,44.05
2021-04-18,55.71
2021-04-25,55.71
2021-05-02,55.71
2021-05-09,55.71
2021-05-16,52.65
2021-05-23,52.14
2021-05-30,53.9828571428571
2021-06-06,54.29
2021-06-13,47.14
2021-06-20,47.14
2021-06-27,48.3657142857143
2021-07-04,48.57
2021-07-11,48.57
2021-07-18,51.63
2021-07-25,52.14
2021-08-01,52.14
2021-08-08,54.18
2021-08-15,42.0714285714286
2021-08-22,42.38
2021-08-29,53.5057142857143
2021-09-05,55.36
2021-09-12,55.36
2021-09-19,49.2314285714286
2021-09-26,48.21
2021-10-03,48.21
2021-10-10,57.14
2021-10-17,57.14
2021-10-24,55.6142857142857
2021-10-31,57.1185714285714
2021-11-07,51.16
2021-11-14,51.16
2021-11-21,54.73
2021-11-28,54.73
2021-12-05,45.55
2021-12-12,44.02
2021-12-19,41.98
2021-12-26,41.6328571428571
2022-01-02,43.67
2022-01-09,48.77
2022-01-16,48.77
2022-01-23,48.77
2022-01-30,48.7671428571429
2022-02-06,48.76
2022-02-13,48.76
2022-02-20,48.76
2022-02-27,47.7285714285714
2022-03-06,47.55
2022-03-13,47.55
2022-03-20,48.5657142857143
2022-03-27,48.73
2022-04-03,47.7942857142857
2022-04-10,46.3328571428571
2022-04-17,46.32
2022-04-24,46.32
2022-05-01,46.3114285714286
2022-05-08,46.3085714285714
2022-05-15,47.3185714285714
2022-05-22,47.48
2022-05-29,57.1742857142857
2022-06-05,58.79
2022-06-12,58.79
2022-06-19,58.7842857142857
2022-06-26,58.75
2022-07-03,48.9714285714286
2022-07-10,45.0571428571429
2022-07-17,45.0385714285714
2022-07-24,45.03
2022-07-31,45.03
2022-08-07,45.03
2022-08-14,45.0257142857143
2022-08-21,45
2022-08-28,42.62
2022-08-31,42.62
