"dates","strig"
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,5.1
2020-02-02,8.93
2020-02-09,8.93
2020-02-16,13.01
2020-02-23,13.69
2020-03-01,13.69
2020-03-08,15.8585714285714
2020-03-15,29.55
2020-03-22,50.3385714285714
2020-03-29,79.76
2020-04-05,79.76
2020-04-12,79.76
2020-04-19,79.76
2020-04-26,79.76
2020-05-03,82.8228571428571
2020-05-10,71.43
2020-05-17,71.43
2020-05-24,71.43
2020-05-31,71.43
2020-06-07,72.9557142857143
2020-06-14,73.21
2020-06-21,68.6242857142857
2020-06-28,72.5314285714286
2020-07-05,74.4
2020-07-12,72.7
2020-07-19,72.02
2020-07-26,72.02
2020-08-02,73.04
2020-08-09,73.21
2020-08-16,73.21
2020-08-23,73.21
2020-08-30,74.4885714285714
2020-09-06,75
2020-09-13,75
2020-09-20,75
2020-09-27,73.47
2020-10-04,71.43
2020-10-11,71.43
2020-10-18,65.99
2020-10-25,65.48
2020-11-01,65.48
2020-11-08,65.48
2020-11-15,65.48
2020-11-22,65.48
2020-11-29,69.3014285714286
2020-12-06,70.83
2020-12-13,65.73
2020-12-20,57.44
2020-12-27,58.2071428571429
2021-01-03,58.93
2021-01-10,58.93
2021-01-17,43.1157142857143
2021-01-24,65.48
2021-01-31,65.48
2021-02-07,65.48
2021-02-14,63.4171428571429
2021-02-21,63.57
2021-02-28,68.67
2021-03-07,69.7771428571429
2021-03-14,70.12
2021-03-21,70.12
2021-03-28,70.12
2021-04-04,68.5857142857143
2021-04-11,68.33
2021-04-18,68.33
2021-04-25,68.33
2021-05-02,68.33
2021-05-09,68.33
2021-05-16,63.7442857142857
2021-05-23,62.98
2021-05-30,62.98
2021-06-06,56.3457142857143
2021-06-13,55.24
2021-06-20,57.28
2021-06-27,57.62
2021-07-04,60
2021-07-11,60
2021-07-18,60
2021-07-25,60
2021-08-01,60
2021-08-08,60
2021-08-15,60
2021-08-22,60
2021-08-29,60
2021-09-05,57.6171428571429
2021-09-12,55.83
2021-09-19,55.83
2021-09-26,55.83
2021-10-03,58.2814285714286
2021-10-10,58.69
2021-10-17,58.69
2021-10-24,58.69
2021-10-31,58.69
2021-11-07,58.69
2021-11-14,58.69
2021-11-21,58.69
2021-11-28,58.9457142857143
2021-12-05,59.4085714285714
2021-12-12,59.23
2021-12-19,59.23
2021-12-26,75.67
2022-01-02,72.7985714285714
2022-01-09,72.32
2022-01-16,72.32
2022-01-23,72.32
2022-01-30,71.2671428571429
2022-02-06,68.8557142857143
2022-02-13,68.6
2022-02-20,72.0971428571429
2022-02-27,72.2742857142857
2022-03-06,67.5185714285714
2022-03-13,56.39
2022-03-20,46.87
2022-03-27,46.87
2022-04-03,46.7071428571429
2022-04-10,47.7642857142857
2022-04-17,47.95
2022-04-24,45.8157142857143
2022-05-01,45.1742857142857
2022-05-08,49.0828571428571
2022-05-15,49.71
2022-05-22,49.63
2022-05-29,49.5057142857143
2022-06-05,49.48
2022-06-12,49.48
2022-06-19,49.4714285714286
2022-06-26,49.3928571428571
2022-07-03,43.3242857142857
2022-07-10,42.3157142857143
2022-07-17,41.0742857142857
2022-07-24,40.75
2022-07-31,39.03
2022-08-07,37.74
2022-08-14,37.74
2022-08-21,37.74
2022-08-28,35.6171428571429
2022-08-31,35.18
