"dates","strig"
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,3.06
2020-02-09,3.57
2020-02-16,3.57
2020-02-23,3.57
2020-03-01,3.57
2020-03-08,3.57
2020-03-15,13.4342857142857
2020-03-22,44.64
2020-03-29,59.44
2020-04-05,62.5
2020-04-12,62.5
2020-04-19,65.31
2020-04-26,67.86
2020-05-03,67.86
2020-05-10,67.0928571428571
2020-05-17,66.07
2020-05-24,66.07
2020-05-31,66.07
2020-06-07,66.07
2020-06-14,66.07
2020-06-21,66.07
2020-06-28,66.07
2020-07-05,66.07
2020-07-12,61.3914285714286
2020-07-19,57.74
2020-07-26,57.74
2020-08-02,57.74
2020-08-09,57.1042857142857
2020-08-16,56.85
2020-08-23,59.4
2020-08-30,60.42
2020-09-06,53.5285714285714
2020-09-13,53.91
2020-09-20,48.81
2020-09-27,43.88
2020-10-04,41.67
2020-10-11,39.7985714285714
2020-10-18,35.71
2020-10-25,28.57
2020-11-01,28.57
2020-11-08,28.23
2020-11-15,26.19
2020-11-22,26.19
2020-11-29,26.19
2020-12-06,26.19
2020-12-13,25.17
2020-12-20,21.94
2020-12-27,25
2021-01-03,26.19
2021-01-10,23.13
2021-01-17,24.4014285714286
2021-01-24,24.4
2021-01-31,24.4
2021-02-07,24.4
2021-02-14,24.4
2021-02-21,24.4
2021-02-28,17.26
2021-03-07,15.7342857142857
2021-03-14,16.3971428571429
2021-03-21,26.2442857142857
2021-03-28,33.4714285714286
2021-04-04,41.9657142857143
2021-04-11,50.33
2021-04-18,49.99
2021-04-25,51.01
2021-05-02,51.01
2021-05-09,58.15
2021-05-16,58.15
2021-05-23,59.0014285714286
2021-05-30,64.2342857142857
2021-06-06,65
2021-06-13,65
2021-06-20,34.0828571428571
2021-06-27,28.93
2021-07-04,28.93
2021-07-11,28.93
2021-07-18,28.93
2021-07-25,37.26
2021-08-01,37.26
2021-08-08,37.26
2021-08-15,37.26
2021-08-22,37.26
2021-08-29,37.26
2021-09-05,37.26
2021-09-12,37.77
2021-09-19,40.83
2021-09-26,40.83
2021-10-03,40.83
2021-10-10,40.83
2021-10-17,40.83
2021-10-24,40.83
2021-10-31,40.83
2021-11-07,40.83
2021-11-14,40.83
2021-11-21,40.83
2021-11-28,40.83
2021-12-05,40.83
2021-12-12,32.5985714285714
2021-12-19,32.02
2021-12-26,32.02
2022-01-02,31
2022-01-09,26.07
2022-01-16,28.0114285714286
2022-01-23,25.36
2022-01-30,30.6614285714286
2022-02-06,32.14
2022-02-13,32.4485714285714
2022-02-20,32.5
2022-02-27,24.5371428571429
2022-03-06,21.6842857142857
2022-03-13,21.9385714285714
2022-03-20,23.21
2022-03-27,23.21
2022-04-03,23.21
2022-04-10,23.21
2022-04-17,23.21
2022-04-24,21.17
2022-05-01,16.07
2022-05-08,16.07
2022-05-15,16.07
2022-05-22,16.07
2022-05-29,16.07
2022-06-05,16.07
2022-06-12,16.07
2022-06-19,16.07
2022-06-26,16.07
2022-07-03,16.07
2022-07-10,16.07
2022-07-17,16.07
2022-07-24,16.07
2022-07-31,16.07
2022-08-07,13.01
2022-08-14,12.5
2022-08-21,12.5
2022-08-28,12.5
2022-08-31,12.5
