"dates","strig"
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,4.08
2020-03-15,14.8785714285714
2020-03-22,39.6271428571429
2020-03-29,62.5871428571429
2020-04-05,66.67
2020-04-12,67.35
2020-04-19,69.05
2020-04-26,69.05
2020-05-03,69.05
2020-05-10,69.05
2020-05-17,65.48
2020-05-24,65.48
2020-05-31,65.48
2020-06-07,64.4585714285714
2020-06-14,58.33
2020-06-21,58.33
2020-06-28,56.97
2020-07-05,43.71
2020-07-12,41.67
2020-07-19,41.9228571428571
2020-07-26,42.26
2020-08-02,42.26
2020-08-09,43.28
2020-08-16,43.96
2020-08-23,47.02
2020-08-30,47.02
2020-09-06,43.96
2020-09-13,39.88
2020-09-20,42.1771428571429
2020-09-27,45.24
2020-10-04,43.45
2020-10-11,43.45
2020-10-18,44.2171428571429
2020-10-25,44.39
2020-11-01,41.67
2020-11-08,41.67
2020-11-15,38.9442857142857
2020-11-22,36.9
2020-11-29,36.9
2020-12-06,36.9
2020-12-13,41.6657142857143
2020-12-20,45.24
2020-12-27,45.24
2021-01-03,45.24
2021-01-10,53.6571428571429
2021-01-17,52.8457142857143
2021-01-24,52.08
2021-01-31,52.08
2021-02-07,52.08
2021-02-14,55.14
2021-02-21,55.65
2021-02-28,55.9942857142857
2021-03-07,56.7057142857143
2021-03-14,56.96
2021-03-21,47.3942857142857
2021-03-28,40.6
2021-04-04,40.6
2021-04-11,40.6
2021-04-18,40.6
2021-04-25,40.6
2021-05-02,40.6
2021-05-09,40.6
2021-05-16,40.6
2021-05-23,40.6
2021-05-30,41.8171428571429
2021-06-06,42.02
2021-06-13,42.02
2021-06-20,42.02
2021-06-27,42.02
2021-07-04,42.02
2021-07-11,43.81
2021-07-18,43.81
2021-07-25,43.81
2021-08-01,39.64
2021-08-08,39.64
2021-08-15,39.64
2021-08-22,42.1942857142857
2021-08-29,42.62
2021-09-05,41.9085714285714
2021-09-12,41.79
2021-09-19,41.79
2021-09-26,41.79
2021-10-03,42.26
2021-10-10,36.67
2021-10-17,42.62
2021-10-24,36.5
2021-10-31,35.48
2021-11-07,35.48
2021-11-14,35.48
2021-11-21,35.48
2021-11-28,39.05
2021-12-05,39.05
2021-12-12,42.11
2021-12-19,42.62
2021-12-26,42.62
2022-01-02,42.62
2022-01-09,42.62
2022-01-16,42.62
2022-01-23,42.62
2022-01-30,42.62
2022-02-06,36.5
2022-02-13,35.48
2022-02-20,35.48
2022-02-27,41.6
2022-03-06,42.62
2022-03-13,42.62
2022-03-20,42.62
2022-03-27,42.62
2022-04-03,42.62
2022-04-10,42.62
2022-04-17,42.62
2022-04-24,42.62
2022-05-01,42.62
2022-05-08,42.62
2022-05-15,42.62
2022-05-22,42.62
2022-05-29,42.62
2022-06-05,42.62
2022-06-12,42.62
2022-06-19,42.62
2022-06-26,42.62
2022-07-03,42.62
2022-07-10,45.68
2022-07-17,46.19
2022-07-24,46.19
2022-07-31,46.19
2022-08-07,46.19
2022-08-14,46.19
2022-08-21,46.19
2022-08-28,46.19
2022-08-31,46.19
