"dates","strig"
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,3.4
2020-03-08,4.76
2020-03-15,4.76
2020-03-22,12.4114285714286
2020-03-29,30.5285714285714
2020-04-05,53.74
2020-04-12,67.86
2020-04-19,66.5
2020-04-26,72.5314285714286
2020-05-03,73.3814285714286
2020-05-10,71.3428571428571
2020-05-17,67.26
2020-05-24,67.26
2020-05-31,67.26
2020-06-07,67.26
2020-06-14,56.55
2020-06-21,56.55
2020-06-28,56.55
2020-07-05,53.83
2020-07-12,51.79
2020-07-19,48.21
2020-07-26,44.3885714285714
2020-08-02,42.86
2020-08-09,42.86
2020-08-16,43.88
2020-08-23,43.7057142857143
2020-08-30,43.45
2020-09-06,43.45
2020-09-13,43.45
2020-09-20,41.41
2020-09-27,41.07
2020-10-04,41.07
2020-10-11,38.69
2020-10-18,41.24
2020-10-25,42.26
2020-11-01,39.88
2020-11-08,39.88
2020-11-15,39.88
2020-11-22,45.83
2020-11-29,45.83
2020-12-06,43.79
2020-12-13,43.45
2020-12-20,43.45
2020-12-27,43.45
2021-01-03,43.45
2021-01-10,37.33
2021-01-17,42.43
2021-01-24,43.45
2021-01-31,60.71
2021-02-07,60.71
2021-02-14,55.36
2021-02-21,55.36
2021-02-28,55.36
2021-03-07,52.3
2021-03-14,52.81
2021-03-21,55.6
2021-03-28,51.1357142857143
2021-04-04,49.52
2021-04-11,53.1
2021-04-18,54.3171428571429
2021-04-25,54.52
2021-05-02,54.52
2021-05-09,54.52
2021-05-16,54.52
2021-05-23,54.52
2021-05-30,54.52
2021-06-06,50.9542857142857
2021-06-13,50.36
2021-06-20,54.7828571428571
2021-06-27,61.6657142857143
2021-07-04,62.26
2021-07-11,62.26
2021-07-18,55.3771428571429
2021-07-25,54.23
2021-08-01,54.23
2021-08-08,54.23
2021-08-15,51.4185714285714
2021-08-22,50.95
2021-08-29,50.95
2021-09-05,50.95
2021-09-12,46.87
2021-09-19,52.68
2021-09-26,52.68
2021-10-03,52.67
2021-10-10,52.67
2021-10-17,52.6357142857143
2021-10-24,52.56
2021-10-31,49.5
2021-11-07,51.9185714285714
2021-11-14,52.2728571428571
2021-11-21,52.25
2021-11-28,52.2071428571429
2021-12-05,52.15
2021-12-12,52.15
2021-12-19,52.15
2021-12-26,52.15
2022-01-02,52.15
2022-01-09,52.15
2022-01-16,52.1157142857143
2022-01-23,52.11
2022-01-30,51.7528571428571
2022-02-06,51.61
2022-02-13,51.54
2022-02-20,51.4028571428571
2022-02-27,51.22
2022-03-06,51.1985714285714
2022-03-13,51.17
2022-03-20,50.9642857142857
2022-03-27,50.93
2022-04-03,50.9128571428571
2022-04-10,50.91
2022-04-17,49.46
2022-04-24,48.88
2022-05-01,48.5871428571429
2022-05-08,48.53
2022-05-15,48.53
2022-05-22,48.49
2022-05-29,48.25
2022-06-05,48.2
2022-06-12,47.9
2022-06-19,49.1342857142857
2022-06-26,49.2714285714286
2022-07-03,48.86
2022-07-10,48.8528571428571
2022-07-17,47.5842857142857
2022-07-24,48.6057142857143
2022-07-31,48.81
2022-08-07,48.7357142857143
2022-08-14,48.29
2022-08-21,48.29
2022-08-28,48.2842857142857
2022-08-31,48.25
