"dates","strig"
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,0
2020-03-15,1.53142857142857
2020-03-22,19.9
2020-03-29,35.63
2020-04-05,36.31
2020-04-12,39.71
2020-04-19,48.21
2020-04-26,48.21
2020-05-03,48.21
2020-05-10,48.21
2020-05-17,48.21
2020-05-24,51.0171428571429
2020-05-31,47.8285714285714
2020-06-07,42.86
2020-06-14,42.86
2020-06-21,42.86
2020-06-28,39.5428571428571
2020-07-05,30.6971428571429
2020-07-12,27.38
2020-07-19,27.38
2020-07-26,27.38
2020-08-02,27.38
2020-08-09,22.02
2020-08-16,21
2020-08-23,20.7471428571429
2020-08-30,24.83
2020-09-06,30.95
2020-09-13,33.7571428571429
2020-09-20,37.5
2020-09-27,41.3271428571429
2020-10-04,46.43
2020-10-11,44.39
2020-10-18,39.1157142857143
2020-10-25,35.71
2020-11-01,35.9657142857143
2020-11-08,37.67
2020-11-15,38.69
2020-11-22,38.69
2020-11-29,38.69
2020-12-06,38.69
2020-12-13,36.65
2020-12-20,36.31
2020-12-27,36.31
2021-01-03,34.78
2021-01-10,25.6
2021-01-17,25.6
2021-01-24,20.83
2021-01-31,21.5114285714286
2021-02-07,25.6
2021-02-14,15.3914285714286
2021-02-21,13.69
2021-02-28,28.4842857142857
2021-03-07,48.7242857142857
2021-03-14,42.18
2021-03-21,44.1128571428571
2021-03-28,41.8042857142857
2021-04-04,40.5285714285714
2021-04-11,38.4885714285714
2021-04-18,39.17
2021-04-25,39.17
2021-05-02,36.79
2021-05-09,36.79
2021-05-16,36.79
2021-05-23,36.79
2021-05-30,41.0757142857143
2021-06-06,41.79
2021-06-13,41.79
2021-06-20,41.79
2021-06-27,41.79
2021-07-04,41.79
2021-07-11,41.79
2021-07-18,41.79
2021-07-25,44.85
2021-08-01,45.36
2021-08-08,45.36
2021-08-15,45.36
2021-08-22,45.36
2021-08-29,45.36
2021-09-05,45.36
2021-09-12,45.36
2021-09-19,45.36
2021-09-26,46.1228571428571
2021-10-03,47.14
2021-10-10,47.14
2021-10-17,47.14
2021-10-24,47.14
2021-10-31,47.14
2021-11-07,50.2
2021-11-14,50.71
2021-11-21,50.71
2021-11-28,50.71
2021-12-05,52.4171428571429
2021-12-12,53.1
2021-12-19,53.1
2021-12-26,49.52
2022-01-02,49.52
2022-01-09,45.95
2022-01-16,45.95
2022-01-23,45.95
2022-01-30,45.95
2022-02-06,45.95
2022-02-13,49.01
2022-02-20,49.52
2022-02-27,49.52
2022-03-06,49.52
2022-03-13,49.52
2022-03-20,49.52
2022-03-27,49.52
2022-04-03,45.44
2022-04-10,40
2022-04-17,28.1
2022-04-24,29.0171428571429
2022-05-01,29.17
2022-05-08,29.17
2022-05-15,29.17
2022-05-22,29.17
2022-05-29,29.17
2022-06-05,29.17
2022-06-12,29.17
2022-06-19,29.17
2022-06-26,29.17
2022-07-03,29.17
2022-07-10,29.17
2022-07-17,29.17
2022-07-24,29.17
2022-07-31,29.17
2022-08-07,29.17
2022-08-14,29.17
2022-08-21,29.17
2022-08-28,29.17
2022-08-31,29.17
