"dates","strig"
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,3.57
2020-03-08,5.95
2020-03-15,6.71714285714286
2020-03-22,30.44
2020-03-29,41.6642857142857
2020-04-05,50.2514285714286
2020-04-12,56.38
2020-04-19,62.84
2020-04-26,63.69
2020-05-03,63.69
2020-05-10,65.6471428571429
2020-05-17,64.8
2020-05-24,64.29
2020-05-31,67.6028571428571
2020-06-07,72.02
2020-06-14,72.02
2020-06-21,69.98
2020-06-28,69.64
2020-07-05,69.64
2020-07-12,67.5185714285714
2020-07-19,66.67
2020-07-26,66.67
2020-08-02,66.67
2020-08-09,67.0071428571429
2020-08-16,67.26
2020-08-23,65.56
2020-08-30,64.88
2020-09-06,60.2857142857143
2020-09-13,57.48
2020-09-20,54.25
2020-09-27,42.35
2020-10-04,40.48
2020-10-11,38.44
2020-10-18,38.1
2020-10-25,38.1
2020-11-01,38.1
2020-11-08,38.1
2020-11-15,38.1
2020-11-22,44.22
2020-11-29,45.24
2020-12-06,50.34
2020-12-13,49.83
2020-12-20,47.2757142857143
2020-12-27,42.4342857142857
2021-01-03,41.67
2021-01-10,42.1757142857143
2021-01-17,39.2
2021-01-24,39.71
2021-01-31,39.88
2021-02-07,53.4871428571429
2021-02-14,60.71
2021-02-21,60.71
2021-02-28,60.71
2021-03-07,60.71
2021-03-14,60.71
2021-03-21,64.88
2021-03-28,64.88
2021-04-04,64.88
2021-04-11,63.2514285714286
2021-04-18,62.98
2021-04-25,62.98
2021-05-02,62.98
2021-05-09,62.98
2021-05-16,62.98
2021-05-23,62.98
2021-05-30,62.98
2021-06-06,42.2114285714286
2021-06-13,36.4528571428571
2021-06-20,36.07
2021-06-27,36.07
2021-07-04,36.07
2021-07-11,36.07
2021-07-18,36.07
2021-07-25,36.07
2021-08-01,36.07
2021-08-08,36.07
2021-08-15,36.07
2021-08-22,36.07
2021-08-29,36.07
2021-09-05,36.07
2021-09-12,36.07
2021-09-19,36.07
2021-09-26,36.07
2021-10-03,39.64
2021-10-10,39.64
2021-10-17,39.64
2021-10-24,39.64
2021-10-31,40.24
2021-11-07,40.24
2021-11-14,40.24
2021-11-21,40.24
2021-11-28,40.24
2021-12-05,42.1771428571429
2021-12-12,42.5
2021-12-19,42.5
2021-12-26,47.6
2022-01-02,48.45
2022-01-09,41.43
2022-01-16,41.43
2022-01-23,44.49
2022-01-30,45
2022-02-06,45
2022-02-13,45
2022-02-20,45
2022-02-27,45
2022-03-06,43.4657142857143
2022-03-13,43.21
2022-03-20,43.21
2022-03-27,42.53
2022-04-03,38.45
2022-04-10,38.45
2022-04-17,38.45
2022-04-24,38.45
2022-05-01,38.45
2022-05-08,38.45
2022-05-15,31.4757142857143
2022-05-22,30.71
2022-05-29,30.71
2022-06-05,30.71
2022-06-12,30.71
2022-06-19,23.9628571428571
2022-06-26,21.24
2022-07-03,24.81
2022-07-10,24.8071428571429
2022-07-17,27.1785714285714
2022-07-24,27.1671428571429
2022-07-31,27.15
2022-08-07,27.1485714285714
2022-08-14,28.6642857142857
2022-08-21,27.89
2022-08-28,25.3385714285714
2022-08-31,25.33
