"dates","strig"
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,1.27857142857143
2020-02-09,1.79
2020-02-16,3.49
2020-02-23,7.74
2020-03-01,9.78
2020-03-08,14.88
2020-03-15,17.43
2020-03-22,41.9228571428571
2020-03-29,53.6571428571429
2020-04-05,65.9
2020-04-12,67.26
2020-04-19,65.22
2020-04-26,61.65
2020-05-03,60.12
2020-05-10,62.16
2020-05-17,62.5
2020-05-24,62.5
2020-05-31,62.5
2020-06-07,62.5
2020-06-14,62.5
2020-06-21,62.5
2020-06-28,62.5
2020-07-05,62.5
2020-07-12,60.8
2020-07-19,60.12
2020-07-26,60.12
2020-08-02,60.12
2020-08-09,60.12
2020-08-16,60.12
2020-08-23,57.5657142857143
2020-08-30,57.14
2020-09-06,57.14
2020-09-13,57.14
2020-09-20,57.14
2020-09-27,57.14
2020-10-04,55.61
2020-10-11,52.04
2020-10-18,50
2020-10-25,45.4057142857143
2020-11-01,44.64
2020-11-08,44.64
2020-11-15,44.64
2020-11-22,44.64
2020-11-29,37.7514285714286
2020-12-06,36.9
2020-12-13,44.64
2020-12-20,44.64
2020-12-27,53.57
2021-01-03,53.57
2021-01-10,60.0328571428571
2021-01-17,63.69
2021-01-24,63.69
2021-01-31,60.63
2021-02-07,63.18
2021-02-14,67.77
2021-02-21,68.45
2021-02-28,68.45
2021-03-07,63.1
2021-03-14,64.12
2021-03-21,63.0128571428572
2021-03-28,62.3314285714286
2021-04-04,60.36
2021-04-11,64.3371428571429
2021-04-18,65
2021-04-25,65
2021-05-02,59.3857142857143
2021-05-09,58.45
2021-05-16,58.45
2021-05-23,58.45
2021-05-30,58.11
2021-06-06,56.07
2021-06-13,65.1557142857143
2021-06-20,66.67
2021-06-27,66.67
2021-07-04,75.3442857142857
2021-07-11,76.79
2021-07-18,76.79
2021-07-25,76.79
2021-08-01,72.38
2021-08-08,70.85
2021-08-15,70.51
2021-08-22,72.4157142857143
2021-08-29,71.5985714285714
2021-09-05,72.62
2021-09-12,71.77
2021-09-19,71.43
2021-09-26,71.43
2021-10-03,68.37
2021-10-10,67.86
2021-10-17,69.22
2021-10-24,72.62
2021-10-31,70.58
2021-11-07,72.11
2021-11-14,72.62
2021-11-21,72.62
2021-11-28,71.0857142857143
2021-12-05,70.83
2021-12-12,66.6428571428571
2021-12-19,62.8171428571429
2021-12-26,62.7985714285714
2022-01-02,63.81
2022-01-09,66.34
2022-01-16,66.3185714285714
2022-01-23,66.31
2022-01-30,66.31
2022-02-06,66.31
2022-02-13,66.31
2022-02-20,66.31
2022-02-27,66.31
2022-03-06,66.31
2022-03-13,66.31
2022-03-20,59.17
2022-03-27,59.17
2022-04-03,44.17
2022-04-10,41.67
2022-04-17,41.67
2022-04-24,41.67
2022-05-01,43.1957142857143
2022-05-08,43.45
2022-05-15,43.45
2022-05-22,43.45
2022-05-29,43.45
2022-06-05,43.45
2022-06-12,43.45
2022-06-19,43.45
2022-06-26,43.45
2022-07-03,43.45
2022-07-10,43.45
2022-07-17,43.45
2022-07-24,38.1
2022-07-31,38.1
2022-08-07,35.0314285714286
2022-08-14,34.52
2022-08-21,34.52
2022-08-28,34.52
2022-08-31,34.52
