"dates","strig"
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,5.1
2020-02-09,8.67
2020-02-16,10.71
2020-02-23,10.71
2020-03-01,10.71
2020-03-08,10.71
2020-03-15,15.1357142857143
2020-03-22,34.44
2020-03-29,38.69
2020-04-05,45.83
2020-04-12,68.6228571428571
2020-04-19,79.17
2020-04-26,79.17
2020-05-03,79.17
2020-05-10,61.9
2020-05-17,59.52
2020-05-24,57.14
2020-05-31,57.14
2020-06-07,26.79
2020-06-14,26.79
2020-06-21,28.57
2020-06-28,28.57
2020-07-05,28.57
2020-07-12,28.57
2020-07-19,28.57
2020-07-26,28.57
2020-08-02,28.57
2020-08-09,28.57
2020-08-16,28.57
2020-08-23,28.57
2020-08-30,28.57
2020-09-06,28.57
2020-09-13,28.57
2020-09-20,32.14
2020-09-27,35.2
2020-10-04,35.71
2020-10-11,35.71
2020-10-18,37.5
2020-10-25,35.71
2020-11-01,35.71
2020-11-08,35.71
2020-11-15,35.71
2020-11-22,34.4385714285714
2020-11-29,33.93
2020-12-06,33.93
2020-12-13,33.93
2020-12-20,33.93
2020-12-27,33.93
2021-01-03,34.1842857142857
2021-01-10,51.65
2021-01-17,57.13
2021-01-24,69.7914285714286
2021-01-31,76.3071428571428
2021-02-07,74.88
2021-02-14,74.88
2021-02-21,76.07
2021-02-28,78.5214285714286
2021-03-07,74.51
2021-03-14,72.98
2021-03-21,74.76
2021-03-28,75.9857142857143
2021-04-04,76.19
2021-04-11,76.19
2021-04-18,60.8814285714286
2021-04-25,57.31
2021-05-02,55.6142857142857
2021-05-09,65.0542857142857
2021-05-16,66.67
2021-05-23,73.81
2021-05-30,70.24
2021-06-06,72.28
2021-06-13,72.62
2021-06-20,75.68
2021-06-27,76.19
2021-07-04,76.19
2021-07-11,76.19
2021-07-18,83.8442857142857
2021-07-25,85.12
2021-08-01,85.12
2021-08-08,85.12
2021-08-15,83.8414285714286
2021-08-22,83.33
2021-08-29,83.33
2021-09-05,83.33
2021-09-12,83.33
2021-09-19,83.33
2021-09-26,83.33
2021-10-03,74.15
2021-10-10,66.5
2021-10-17,70.58
2021-10-24,70.41
2021-10-31,70.24
2021-11-07,61.6685714285714
2021-11-14,71.8714285714286
2021-11-21,73.81
2021-11-28,70.75
2021-12-05,70.24
2021-12-12,70.24
2021-12-19,70.24
2021-12-26,68.2
2022-01-02,67.86
2022-01-09,67.86
2022-01-16,67.86
2022-01-23,72.96
2022-01-30,73.81
2022-02-06,73.81
2022-02-13,73.81
2022-02-20,61.5614285714286
2022-02-27,59.52
2022-03-06,59.52
2022-03-13,59.52
2022-03-20,59.52
2022-03-27,59.52
2022-04-03,59.52
2022-04-10,63.1
2022-04-17,63.1
2022-04-24,63.1
2022-05-01,59.5257142857143
2022-05-08,58.93
2022-05-15,56.89
2022-05-22,56.55
2022-05-29,56.55
2022-06-05,52.3
2022-06-12,50.6
2022-06-19,50.6
2022-06-26,52.1257142857143
2022-07-03,52.38
2022-07-10,52.38
2022-07-17,44.3014285714286
2022-07-24,41.07
2022-07-31,41.07
2022-08-07,41.07
2022-08-14,36.63
2022-08-21,30.71
2022-08-28,30.71
2022-08-31,28.0966666666667
