"dates","strig"
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,2.55
2020-03-15,10.71
2020-03-22,18.4514285714286
2020-03-29,23.81
2020-04-05,25.85
2020-04-12,27.38
2020-04-19,63.1
2020-04-26,63.1
2020-05-03,63.1
2020-05-10,66.1571428571429
2020-05-17,67.43
2020-05-24,58.93
2020-05-31,58.93
2020-06-07,58.93
2020-06-14,58.93
2020-06-21,58.93
2020-06-28,56.5471428571429
2020-07-05,54.76
2020-07-12,54.76
2020-07-19,54.76
2020-07-26,57.31
2020-08-02,58.8442857142857
2020-08-09,56.55
2020-08-16,56.55
2020-08-23,56.55
2020-08-30,56.55
2020-09-06,56.55
2020-09-13,58.0757142857143
2020-09-20,62.6671428571429
2020-09-27,66.07
2020-10-04,64.71
2020-10-11,63.69
2020-10-18,63.9471428571429
2020-10-25,64.29
2020-11-01,63.6071428571429
2020-11-08,61.9
2020-11-15,61.9
2020-11-22,61.9
2020-11-29,61.9
2020-12-06,61.9
2020-12-13,61.9
2020-12-20,61.9
2020-12-27,56.8
2021-01-03,55.95
2021-01-10,57.44
2021-01-17,60.2428571428571
2021-01-24,60.71
2021-01-31,60.71
2021-02-07,38.7757142857143
2021-02-14,36.82
2021-02-21,35.12
2021-02-28,35.12
2021-03-07,36.9
2021-03-14,33.84
2021-03-21,33.33
2021-03-28,30.27
2021-04-04,29.76
2021-04-11,28.4885714285714
2021-04-18,29
2021-04-25,35.12
2021-05-02,35.12
2021-05-09,35.12
2021-05-16,35.12
2021-05-23,35.12
2021-05-30,35.12
2021-06-06,35.12
2021-06-13,35.12
2021-06-20,35.12
2021-06-27,40.83
2021-07-04,42.3642857142857
2021-07-11,42.62
2021-07-18,42.62
2021-07-25,42.62
2021-08-01,34.3571428571429
2021-08-08,32.98
2021-08-15,36.6485714285714
2021-08-22,37.26
2021-08-29,36.6485714285714
2021-09-05,32.98
2021-09-12,32.98
2021-09-19,37.1628571428571
2021-09-26,37.86
2021-10-03,37.86
2021-10-10,37.86
2021-10-17,37.86
2021-10-24,37.86
2021-10-31,37.86
2021-11-07,37.86
2021-11-14,37.86
2021-11-21,37.86
2021-11-28,37.86
2021-12-05,37.86
2021-12-12,37.86
2021-12-19,37.86
2021-12-26,37.86
2022-01-02,42.96
2022-01-09,43.81
2022-01-16,43.81
2022-01-23,43.13
2022-01-30,39.05
2022-02-06,39.05
2022-02-13,39.05
2022-02-20,39.05
2022-02-27,39.04
2022-03-06,39.0357142857143
2022-03-13,39.03
2022-03-20,39.03
2022-03-27,40.5557142857143
2022-04-03,40.7585714285714
2022-04-10,40.7128571428571
2022-04-17,41.1914285714286
2022-04-24,42.62
2022-05-01,42.62
2022-05-08,42.62
2022-05-15,42.62
2022-05-22,42.62
2022-05-29,42.62
2022-06-05,42.62
2022-06-12,42.3657142857143
2022-06-19,41.73
2022-06-26,40.1957142857143
2022-07-03,27.6928571428571
2022-07-10,27.14
2022-07-17,27.14
2022-07-24,28.57
2022-07-31,28.57
2022-08-07,28.57
2022-08-14,28.57
2022-08-21,28.57
2022-08-28,28.57
2022-08-31,28.57
