"dates","strig"
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,1.02
2020-03-15,2.38
2020-03-22,29.4228571428571
2020-03-29,47.02
2020-04-05,48.38
2020-04-12,49.4
2020-04-19,49.4
2020-04-26,51.19
2020-05-03,51.19
2020-05-10,51.19
2020-05-17,51.19
2020-05-24,51.19
2020-05-31,57.31
2020-06-07,59.35
2020-06-14,50.8457142857143
2020-06-21,49.4
2020-06-28,49.4
2020-07-05,49.4
2020-07-12,49.4
2020-07-19,48.6371428571429
2020-07-26,47.62
2020-08-02,47.11
2020-08-09,44.05
2020-08-16,44.05
2020-08-23,45.5757142857143
2020-08-30,44.9814285714286
2020-09-06,42.86
2020-09-13,42.86
2020-09-20,42.86
2020-09-27,42.86
2020-10-04,48.4657142857143
2020-10-11,49.4
2020-10-18,49.4
2020-10-25,49.4
2020-11-01,49.4
2020-11-08,47.02
2020-11-15,47.02
2020-11-22,46.51
2020-11-29,47.02
2020-12-06,47.02
2020-12-13,53.66
2020-12-20,56.9742857142857
2020-12-27,61.9
2021-01-03,61.9
2021-01-10,54.76
2021-01-17,44.8085714285714
2021-01-24,43.15
2021-01-31,43.15
2021-02-07,47.4871428571429
2021-02-14,46.51
2021-02-21,45.83
2021-02-28,33.33
2021-03-07,58.93
2021-03-14,65.36
2021-03-21,65.12
2021-03-28,65.12
2021-04-04,63.57
2021-04-11,66.43
2021-04-18,53.6757142857143
2021-04-25,56.3071428571429
2021-05-02,58.21
2021-05-09,54.64
2021-05-16,54.64
2021-05-23,55.1
2021-05-30,57.86
2021-06-06,57.86
2021-06-13,57.86
2021-06-20,57.86
2021-06-27,57.86
2021-07-04,57.86
2021-07-11,57.86
2021-07-18,57.86
2021-07-25,57.86
2021-08-01,57.86
2021-08-08,58.3657142857143
2021-08-15,58.45
2021-08-22,58.45
2021-08-29,58.9942857142857
2021-09-05,62.26
2021-09-12,62.26
2021-09-19,53.5857142857143
2021-09-26,52.14
2021-10-03,52.14
2021-10-10,53.3657142857143
2021-10-17,53.57
2021-10-24,53.57
2021-10-31,53.57
2021-11-07,53.57
2021-11-14,53.57
2021-11-21,26.4757142857143
2021-11-28,21.96
2021-12-05,39.86
2021-12-12,47.02
2021-12-19,47.02
2021-12-26,41.1571428571429
2022-01-02,40.18
2022-01-09,40.18
2022-01-16,40.18
2022-01-23,52.1714285714286
2022-01-30,54.17
2022-02-06,54.17
2022-02-13,54.17
2022-02-20,54.34
2022-02-27,55.36
2022-03-06,55.36
2022-03-13,55.36
2022-03-20,55.36
2022-03-27,55.36
2022-04-03,54.85
2022-04-10,55.4414285714286
2022-04-17,55.8471428571429
2022-04-24,55.71
2022-05-01,52.31
2022-05-08,50.95
2022-05-15,49.42
2022-05-22,47.38
2022-05-29,47.38
2022-06-05,44.0628571428571
2022-06-12,35.77
2022-06-19,35.77
2022-06-26,35.77
2022-07-03,39.05
2022-07-10,39.05
2022-07-17,39.05
2022-07-24,39.05
2022-07-31,42.62
2022-08-07,42.62
2022-08-14,42.6114285714286
2022-08-21,42.56
2022-08-28,43.9614285714286
2022-08-31,45.83
