"dates","strig"
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,12.3285714285714
2020-03-15,22.28
2020-03-22,45.5757142857143
2020-03-29,71.43
2020-04-05,71.43
2020-04-12,71.43
2020-04-19,71.43
2020-04-26,71.43
2020-05-03,71.43
2020-05-10,71.09
2020-05-17,71.6
2020-05-24,70.24
2020-05-31,68.88
2020-06-07,63.7742857142857
2020-06-14,28.57
2020-06-21,28.57
2020-06-28,28.0614285714286
2020-07-05,26.79
2020-07-12,26.79
2020-07-19,26.79
2020-07-26,26.79
2020-08-02,26.79
2020-08-09,26.0228571428571
2020-08-16,25
2020-08-23,30.36
2020-08-30,29.8485714285714
2020-09-06,28.57
2020-09-13,28.57
2020-09-20,26.53
2020-09-27,26.19
2020-10-04,30.9528571428571
2020-10-11,44.9
2020-10-18,46.43
2020-10-25,46.43
2020-11-01,56.63
2020-11-08,61.9042857142857
2020-11-15,60.12
2020-11-22,60.12
2020-11-29,61.3914285714286
2020-12-06,61.9
2020-12-13,61.9
2020-12-20,61.9
2020-12-27,63.69
2021-01-03,63.69
2021-01-10,63.69
2021-01-17,64.0328571428571
2021-01-24,64.29
2021-01-31,63.69
2021-02-07,63.69
2021-02-14,63.69
2021-02-21,63.69
2021-02-28,63.69
2021-03-07,63.69
2021-03-14,61.8557142857143
2021-03-21,65.6
2021-03-28,61.0057142857143
2021-04-04,60.24
2021-04-11,60.24
2021-04-18,61.6
2021-04-25,65
2021-05-02,67.2142857142857
2021-05-09,71.8857142857143
2021-05-16,75.97
2021-05-23,61.51
2021-05-30,60.83
2021-06-06,64.0642857142857
2021-06-13,65
2021-06-20,68.5742857142857
2021-06-27,69.51
2021-07-04,72.4
2021-07-11,71.89
2021-07-18,70.0157142857143
2021-07-25,69.76
2021-08-01,76.31
2021-08-08,76.5142857142857
2021-08-15,77.74
2021-08-22,77.74
2021-08-29,77.74
2021-09-05,77.74
2021-09-12,68.5514285714286
2021-09-19,70.0885714285714
2021-09-26,65.4928571428571
2021-10-03,53.4814285714286
2021-10-10,46.1142857142857
2021-10-17,45.9085714285714
2021-10-24,45.72
2021-10-31,45.4914285714286
2021-11-07,45.3
2021-11-14,45.1328571428571
2021-11-21,46.39
2021-11-28,48.5328571428571
2021-12-05,43.8528571428571
2021-12-12,42.96
2021-12-19,42.8042857142857
2021-12-26,42.5871428571429
2022-01-02,42.0571428571429
2022-01-09,40.6814285714286
2022-01-16,46.7114285714286
2022-01-23,58.3714285714286
2022-01-30,58.3371428571429
2022-02-06,58.3071428571429
2022-02-13,54.08
2022-02-20,51.0442857142857
2022-02-27,51.2842857142857
2022-03-06,53.82
2022-03-13,54.1514285714286
2022-03-20,54.15
2022-03-27,53.6585714285714
2022-04-03,53.29
2022-04-10,53.29
2022-04-17,52.4757142857143
2022-04-24,52.34
2022-05-01,52.33
2022-05-08,52.33
2022-05-15,52.33
2022-05-22,52.33
2022-05-29,51.31
2022-06-05,49.95
2022-06-12,49.95
2022-06-19,49.95
2022-06-26,49.95
2022-07-03,49.95
2022-07-10,49.95
2022-07-17,49.95
2022-07-24,49.95
2022-07-31,49.95
2022-08-07,49.95
2022-08-14,49.95
2022-08-21,49.95
2022-08-28,49.95
2022-08-31,49.95
