"dates","strig"
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,1.02285714285714
2020-02-09,1.79
2020-02-16,1.79
2020-02-23,1.79
2020-03-01,1.79
2020-03-08,1.79
2020-03-15,1.79
2020-03-22,23.13
2020-03-29,30.87
2020-04-05,33.93
2020-04-12,34.44
2020-04-19,37.5
2020-04-26,40.18
2020-05-03,40.18
2020-05-10,40.18
2020-05-17,40.18
2020-05-24,33.04
2020-05-31,33.04
2020-06-07,27.08
2020-06-14,27.08
2020-06-21,27.08
2020-06-28,27.08
2020-07-05,24.7
2020-07-12,24.7
2020-07-19,24.7
2020-07-26,23.43
2020-08-02,22.92
2020-08-09,22.92
2020-08-16,22.92
2020-08-23,19.86
2020-08-30,20.3671428571429
2020-09-06,21.13
2020-09-13,21.13
2020-09-20,16.37
2020-09-27,12.8
2020-10-04,12.8
2020-10-11,12.8
2020-10-18,14.84
2020-10-25,16.37
2020-11-01,16.37
2020-11-08,16.37
2020-11-15,16.37
2020-11-22,16.37
2020-11-29,16.37
2020-12-06,16.37
2020-12-13,16.37
2020-12-20,9.23
2020-12-27,9.23
2021-01-03,9.23
2021-01-10,9.23
2021-01-17,9.23
2021-01-24,9.23
2021-01-31,9.23
2021-02-07,9.99285714285714
2021-02-14,10.12
2021-02-21,9.60571428571428
2021-02-28,7.48
2021-03-07,7.14
2021-03-14,7.14
2021-03-21,7.74
2021-03-28,7.74
2021-04-04,9.01142857142857
2021-04-11,9.52
2021-04-18,4.93428571428571
2021-04-25,4.17
2021-05-02,4.17
2021-05-09,10.29
2021-05-16,11.31
2021-05-23,11.31
2021-05-30,11.31
2021-06-06,15.39
2021-06-13,14.5442857142857
2021-06-20,14.29
2021-06-27,14.29
2021-07-04,14.29
2021-07-11,14.29
2021-07-18,14.29
2021-07-25,22.5528571428571
2021-08-01,23.93
2021-08-08,23.93
2021-08-15,21.79
2021-08-22,21.79
2021-08-29,21.79
2021-09-05,23.25
2021-09-12,26.9
2021-09-19,26.9
2021-09-26,26.9
2021-10-03,27.38
2021-10-10,27.38
2021-10-17,38.7114285714286
2021-10-24,40.6
2021-10-31,40.6
2021-11-07,24.1685714285714
2021-11-14,21.43
2021-11-21,23.47
2021-11-28,23.81
2021-12-05,23.81
2021-12-12,21.77
2021-12-19,21.43
2021-12-26,21.43
2022-01-02,21.43
2022-01-09,21.43
2022-01-16,21.43
2022-01-23,21.43
2022-01-30,24.49
2022-02-06,21.94
2022-02-13,24.49
2022-02-20,23.21
2022-02-27,24.7442857142857
2022-03-06,25
2022-03-13,25
2022-03-20,25
2022-03-27,25
2022-04-03,25
2022-04-10,25
2022-04-17,25
2022-04-24,25
2022-05-01,23.4657142857143
2022-05-08,23.21
2022-05-15,23.21
2022-05-22,23.21
2022-05-29,23.21
2022-06-05,23.21
2022-06-12,19.64
2022-06-19,14.88
2022-06-26,14.88
2022-07-03,14.88
2022-07-10,14.88
2022-07-17,14.88
2022-07-24,14.88
2022-07-31,14.88
2022-08-07,14.88
2022-08-14,14.88
2022-08-21,14.88
2022-08-28,14.88
2022-08-31,14.88
