"dates","strig"
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,1.27857142857143
2020-02-02,6.89
2020-02-09,9.94714285714286
2020-02-16,12.7585714285714
2020-02-23,13.1
2020-03-01,13.1
2020-03-08,13.1
2020-03-15,13.1
2020-03-22,24.0657142857143
2020-03-29,45.4971428571429
2020-04-05,70.83
2020-04-12,70.83
2020-04-19,70.83
2020-04-26,70.83
2020-05-03,70.83
2020-05-10,74.2371428571429
2020-05-17,75.6
2020-05-24,75.6
2020-05-31,72.5314285714286
2020-06-07,72.02
2020-06-14,72.02
2020-06-21,72.02
2020-06-28,73.81
2020-07-05,73.81
2020-07-12,73.81
2020-07-19,73.81
2020-07-26,73.81
2020-08-02,72.9585714285714
2020-08-09,70.83
2020-08-16,77.38
2020-08-23,77.38
2020-08-30,77.38
2020-09-06,77.38
2020-09-13,76.6142857142857
2020-09-20,70.49
2020-09-27,61.8214285714286
2020-10-04,62.0771428571429
2020-10-11,58.25
2020-10-18,56.38
2020-10-25,57.14
2020-11-01,57.14
2020-11-08,57.14
2020-11-15,45.83
2020-11-22,45.83
2020-11-29,42.0071428571429
2020-12-06,41.37
2020-12-13,41.37
2020-12-20,43.75
2020-12-27,43.75
2021-01-03,43.75
2021-01-10,43.75
2021-01-17,45.0271428571429
2021-01-24,44.22
2021-01-31,44.05
2021-02-07,47.6157142857143
2021-02-14,48.21
2021-02-21,48.21
2021-02-28,50.7642857142857
2021-03-07,50.9842857142857
2021-03-14,50.83
2021-03-21,50.83
2021-03-28,50.83
2021-04-04,50.3242857142857
2021-04-11,50.24
2021-04-18,50.24
2021-04-25,46.3285714285714
2021-05-02,37.0585714285714
2021-05-09,38.33
2021-05-16,38.33
2021-05-23,39.5557142857143
2021-05-30,50.37
2021-06-06,51.9
2021-06-13,51.9
2021-06-20,51.9
2021-06-27,51.9
2021-07-04,51.9
2021-07-11,77.5
2021-07-18,77.5
2021-07-25,77.5
2021-08-01,77.5
2021-08-08,71.38
2021-08-15,70.36
2021-08-22,70.36
2021-08-29,70.36
2021-09-05,70.36
2021-09-12,70.36
2021-09-19,70.36
2021-09-26,70.36
2021-10-03,67.02
2021-10-10,67.02
2021-10-17,67.02
2021-10-24,71.1085714285714
2021-10-31,70.5114285714286
2021-11-07,70
2021-11-14,70
2021-11-21,70
2021-11-28,70
2021-12-05,68.8071428571428
2021-12-12,68.33
2021-12-19,68.33
2021-12-26,70.7814285714286
2022-01-02,71.19
2022-01-09,66.09
2022-01-16,58.1
2022-01-23,58.1
2022-01-30,45.5428571428571
2022-02-06,43.45
2022-02-13,48.55
2022-02-20,49.4
2022-02-27,49.4
2022-03-06,49.4
2022-03-13,46.34
2022-03-20,45.83
2022-03-27,45.83
2022-04-03,45.83
2022-04-10,42.77
2022-04-17,42.26
2022-04-24,42.26
2022-05-01,43.39
2022-05-08,44.2228571428571
2022-05-15,36.0957142857143
2022-05-22,34.83
2022-05-29,34.83
2022-06-05,34.8257142857143
2022-06-12,37.8685714285714
2022-06-19,38.3742857142857
2022-06-26,35.5485714285714
2022-07-03,28.57
2022-07-10,28.57
2022-07-17,28.57
2022-07-24,28.57
2022-07-31,28.09
2022-08-07,28.09
2022-08-14,28.09
2022-08-21,28.0885714285714
2022-08-28,28.08
2022-08-31,28.08
