"dates","strig"
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,1.02285714285714
2020-02-02,1.79
2020-02-09,1.79
2020-02-16,1.79
2020-02-23,1.79
2020-03-01,1.79
2020-03-08,7.91
2020-03-15,16.58
2020-03-22,43.8771428571429
2020-03-29,62.9257142857143
2020-04-05,76.8714285714286
2020-04-12,77.38
2020-04-19,77.38
2020-04-26,77.38
2020-05-03,78.91
2020-05-10,80.95
2020-05-17,80.95
2020-05-24,80.95
2020-05-31,80.95
2020-06-07,78.57
2020-06-14,76.19
2020-06-21,76.19
2020-06-28,76.19
2020-07-05,76.19
2020-07-12,76.53
2020-07-19,78.57
2020-07-26,78.57
2020-08-02,78.91
2020-08-09,75
2020-08-16,75
2020-08-23,73.4657142857143
2020-08-30,73.21
2020-09-06,73.21
2020-09-13,73.21
2020-09-20,71.85
2020-09-27,63.69
2020-10-04,61.3071428571429
2020-10-11,59.52
2020-10-18,59.52
2020-10-25,57.9942857142857
2020-11-01,56.89
2020-11-08,51.79
2020-11-15,50.5114285714286
2020-11-22,53.06
2020-11-29,53.57
2020-12-06,55.36
2020-12-13,55.8657142857143
2020-12-20,55.95
2020-12-27,59.01
2021-01-03,59.52
2021-01-10,70.24
2021-01-17,67.6857142857143
2021-01-24,72.7
2021-01-31,73.21
2021-02-07,70.56
2021-02-14,69.88
2021-02-21,59.9342857142857
2021-02-28,59.17
2021-03-07,59.17
2021-03-14,59.17
2021-03-21,59.17
2021-03-28,59.17
2021-04-04,59.17
2021-04-11,53.7614285714286
2021-04-18,52.86
2021-04-25,53.54
2021-05-02,55.24
2021-05-09,50.48
2021-05-16,50.48
2021-05-23,52.86
2021-05-30,39.52
2021-06-06,56.3628571428571
2021-06-13,59.17
2021-06-20,64.6128571428572
2021-06-27,64.4871428571429
2021-07-04,75.88
2021-07-11,75.3742857142857
2021-07-18,75.12
2021-07-25,75.12
2021-08-01,64.4
2021-08-08,61.07
2021-08-15,61.07
2021-08-22,64.0628571428571
2021-08-29,64.88
2021-09-05,64.88
2021-09-12,64.2842857142857
2021-09-19,60.71
2021-09-26,60.71
2021-10-03,61.4771428571429
2021-10-10,62.5
2021-10-17,62.5
2021-10-24,62.5
2021-10-31,62.5
2021-11-07,62.5
2021-11-14,62.5
2021-11-21,62.5
2021-11-28,63.35
2021-12-05,68.45
2021-12-12,68.45
2021-12-19,68.45
2021-12-26,64.37
2022-01-02,58.93
2022-01-09,55.36
2022-01-16,55.36
2022-01-23,55.36
2022-01-30,55.36
2022-02-06,55.36
2022-02-13,55.36
2022-02-20,55.02
2022-02-27,52.98
2022-03-06,52.98
2022-03-13,52.98
2022-03-20,51.7014285714286
2022-03-27,47.5214285714286
2022-04-03,46.8928571428571
2022-04-10,48.2828571428571
2022-04-17,48.2557142857143
2022-04-24,48.2357142857143
2022-05-01,48.2085714285714
2022-05-08,48.1885714285714
2022-05-15,48.1614285714286
2022-05-22,48.1328571428571
2022-05-29,48.1028571428571
2022-06-05,48.08
2022-06-12,48.0585714285714
2022-06-19,48.0428571428571
2022-06-26,34.1314285714286
2022-07-03,28.57
2022-07-10,28.57
2022-07-17,28.57
2022-07-24,28.57
2022-07-31,22.45
2022-08-07,21.43
2022-08-14,21.43
2022-08-21,21.43
2022-08-28,21.43
2022-08-31,21.43
