"dates","strig"
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,4.59
2020-03-01,10.71
2020-03-08,10.71
2020-03-15,10.71
2020-03-22,15.4771428571429
2020-03-29,29.4228571428571
2020-04-05,39.88
2020-04-12,41.24
2020-04-19,52.1714285714286
2020-04-26,56.85
2020-05-03,57.87
2020-05-10,52.8942857142857
2020-05-17,42.86
2020-05-24,42.86
2020-05-31,42.86
2020-06-07,40.48
2020-06-14,40.48
2020-06-21,40.48
2020-06-28,44.56
2020-07-05,47.62
2020-07-12,47.62
2020-07-19,47.62
2020-07-26,47.62
2020-08-02,47.62
2020-08-09,47.62
2020-08-16,47.62
2020-08-23,46.94
2020-08-30,46.43
2020-09-06,47.45
2020-09-13,47.62
2020-09-20,45.24
2020-09-27,45.4085714285714
2020-10-04,45.83
2020-10-11,44.3042857142857
2020-10-18,44.05
2020-10-25,44.05
2020-11-01,44.05
2020-11-08,44.05
2020-11-15,44.05
2020-11-22,48.81
2020-11-29,48.81
2020-12-06,48.81
2020-12-13,48.81
2020-12-20,51.19
2020-12-27,51.19
2021-01-03,51.19
2021-01-10,51.19
2021-01-17,51.19
2021-01-24,47.11
2021-01-31,45.41
2021-02-07,34.52
2021-02-14,34.52
2021-02-21,34.52
2021-02-28,34.52
2021-03-07,32.9942857142857
2021-03-14,34.2657142857143
2021-03-21,34.52
2021-03-28,40.2371428571429
2021-04-04,40.3757142857143
2021-04-11,39.29
2021-04-18,40.3042857142857
2021-04-25,40.71
2021-05-02,43.1
2021-05-09,43.1
2021-05-16,42.8271428571429
2021-05-23,41.9571428571429
2021-05-30,42.98
2021-06-06,42.98
2021-06-13,42.98
2021-06-20,47.1114285714286
2021-06-27,46.5
2021-07-04,45.48
2021-07-11,39.6128571428571
2021-07-18,49.0271428571429
2021-07-25,51.9
2021-08-01,51.9
2021-08-08,50.95
2021-08-15,50.95
2021-08-22,46.87
2021-08-29,46.19
2021-09-05,46.19
2021-09-12,46.19
2021-09-19,46.19
2021-09-26,46.19
2021-10-03,40.41
2021-10-10,34.6257142857143
2021-10-17,39.4742857142857
2021-10-24,40.24
2021-10-31,44.32
2021-11-07,45
2021-11-14,45
2021-11-21,48.06
2021-11-28,48.57
2021-12-05,43.47
2021-12-12,42.62
2021-12-19,42.62
2021-12-26,42.62
2022-01-02,42.62
2022-01-09,42.62
2022-01-16,42.62
2022-01-23,42.62
2022-01-30,29.3514285714286
2022-02-06,27.14
2022-02-13,27.14
2022-02-20,27.14
2022-02-27,27.14
2022-03-06,27.14
2022-03-13,28.3657142857143
2022-03-20,28.57
2022-03-27,28.57
2022-04-03,28.57
2022-04-10,28.57
2022-04-17,28.57
2022-04-24,28.57
2022-05-01,28.57
2022-05-08,28.57
2022-05-15,28.57
2022-05-22,28.57
2022-05-29,25.51
2022-06-05,25
2022-06-12,25
2022-06-19,21.94
2022-06-26,21.43
2022-07-03,21.43
2022-07-10,21.43
2022-07-17,21.43
2022-07-24,21.43
2022-07-31,21.43
2022-08-07,21.43
2022-08-14,21.43
2022-08-21,21.43
2022-08-28,21.43
2022-08-31,21.43
