"dates","strig"
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,5.10428571428571
2020-02-09,5.36
2020-02-16,5.36
2020-02-23,5.36
2020-03-01,5.36
2020-03-08,5.36
2020-03-15,5.36
2020-03-22,16.0742857142857
2020-03-29,39.88
2020-04-05,64.88
2020-04-12,66.24
2020-04-19,67.26
2020-04-26,67.26
2020-05-03,67.26
2020-05-10,74.4
2020-05-17,74.4
2020-05-24,74.4
2020-05-31,74.4
2020-06-07,67.5128571428571
2020-06-14,58.33
2020-06-21,58.33
2020-06-28,58.33
2020-07-05,58.33
2020-07-12,59.6085714285714
2020-07-19,60.12
2020-07-26,62.84
2020-08-02,64.88
2020-08-09,64.88
2020-08-16,64.88
2020-08-23,64.88
2020-08-30,64.88
2020-09-06,64.1171428571429
2020-09-13,63.1
2020-09-20,60.71
2020-09-27,60.71
2020-10-04,55.61
2020-10-11,53.57
2020-10-18,53.57
2020-10-25,53.57
2020-11-01,57.14
2020-11-08,57.14
2020-11-15,54.76
2020-11-22,54.76
2020-11-29,54.76
2020-12-06,54.76
2020-12-13,54.76
2020-12-20,55.27
2020-12-27,55.95
2021-01-03,55.95
2021-01-10,67.1785714285714
2021-01-17,69.05
2021-01-24,69.64
2021-01-31,69.64
2021-02-07,69.64
2021-02-14,69.64
2021-02-21,74.3328571428572
2021-02-28,75.83
2021-03-07,48.6928571428571
2021-03-14,51.31
2021-03-21,55.56
2021-03-28,54.03
2021-04-04,55.12
2021-04-11,55.8
2021-04-18,59.88
2021-04-25,56.31
2021-05-02,56.31
2021-05-09,56.31
2021-05-16,55.36
2021-05-23,55.36
2021-05-30,55.36
2021-06-06,55.36
2021-06-13,55.36
2021-06-20,55.95
2021-06-27,60.5442857142857
2021-07-04,61.31
2021-07-11,61.31
2021-07-18,59.7757142857143
2021-07-25,59.52
2021-08-01,59.52
2021-08-08,67.6885714285714
2021-08-15,69.05
2021-08-22,69.05
2021-08-29,71.09
2021-09-05,71.43
2021-09-12,61.9014285714286
2021-09-19,59.0128571428571
2021-09-26,58.3514285714286
2021-10-03,57.74
2021-10-10,57.74
2021-10-17,54.1657142857143
2021-10-24,53.57
2021-10-31,53.57
2021-11-07,58.1642857142857
2021-11-14,58.93
2021-11-21,57.9942857142857
2021-11-28,52.38
2021-12-05,63.5228571428571
2021-12-12,66.67
2021-12-19,66.67
2021-12-26,59.5214285714286
2022-01-02,58.33
2022-01-09,57.14
2022-01-16,54.76
2022-01-23,54.76
2022-01-30,54.5142857142857
2022-02-06,62.2357142857143
2022-02-13,62.23
2022-02-20,62.2228571428571
2022-02-27,62.22
2022-03-06,58.1242857142857
2022-03-13,57.44
2022-03-20,57.4357142857143
2022-03-27,53.1728571428571
2022-04-03,52.4542857142857
2022-04-10,52.4471428571429
2022-04-17,55.5
2022-04-24,56.01
2022-05-01,56.0057142857143
2022-05-08,53.9514285714286
2022-05-15,53.5657142857143
2022-05-22,53.5114285714286
2022-05-29,53.5
2022-06-05,53.4957142857143
2022-06-12,53.49
2022-06-19,53.49
2022-06-26,53.49
2022-07-03,54.5028571428571
2022-07-10,57.05
2022-07-17,57.05
2022-07-24,57.0457142857143
2022-07-31,57.04
2022-08-07,57.04
2022-08-14,57.04
2022-08-21,57.04
2022-08-28,58.82
2022-08-31,58.82
