"Dates","cc","pr","tdew","tmin","tmoy","tmax","wspd","wspd10","rh","ah","insol","ps"
2020-04-05,16,28.56,17.095,16.15,19.42,24.1533333333333,0.413333333333333,1.38166666666667,87.6766666666667,14.6478205275835,19.8933333333333,83.395
2020-04-12,25,19.23,16.8414285714286,15.7085714285714,19.3342857142857,24.4985714285714,0.478571428571429,1.86714285714286,86.99,14.453344277687,18.3742857142857,83.4157142857143
2020-04-19,35,54.2,17.0028571428571,15.9471428571429,19.1014285714286,23.7,0.438571428571429,1.65714285714286,88.9114285714286,14.5661570473172,14.7542857142857,83.4071428571429
2020-04-26,65,98.92,16.2385714285714,15.2128571428571,18.9571428571429,23.9742857142857,0.295714285714286,1.04714285714286,86.0171428571429,13.9646936814771,15.2185714285714,83.4328571428571
2020-05-03,85,53.11,16.3014285714286,15.23,18.4571428571429,23.5114285714286,0.555714285714286,2.12857142857143,88.4457142857143,13.9563235409993,15.3771428571429,83.5857142857143
2020-05-10,105,36.66,15.99,14.98,18.3157142857143,23.4442857142857,0.578571428571429,2.16714285714286,87.5357142857143,13.6962321449408,17.7785714285714,83.5014285714286
2020-05-17,113,49.95,16.2571428571429,15.2671428571429,18.28,23.1385714285714,0.491428571428571,1.85285714285714,89.0728571428571,13.909723008773,16.3428571428571,83.5614285714286
2020-05-24,294,2.1,14.3585714285714,13.0414285714286,17.1914285714286,23.2314285714286,0.612857142857143,2.08714285714286,85.0171428571429,12.450853371214,19.0057142857143,83.67
2020-05-31,336,1.82,14.7571428571429,13.3957142857143,17.9471428571429,24.2457142857143,0.575714285714286,1.93428571428571,83.5428571428571,12.8107181057346,21.4857142857143,83.58
2020-06-07,481,0.61,13.91,12.0642857142857,16.9071428571429,23.1428571428571,0.604285714285714,2.06285714285714,84.3371428571429,12.1320586403604,20.1342857142857,83.6442857142857
2020-06-14,589,23.82,14.4085714285714,12.8957142857143,16.8885714285714,22.2457142857143,0.521428571428571,1.80142857142857,86.8028571428571,12.4733461853573,15.3757142857143,83.54
2020-06-21,749,1.36,12.7471428571429,11.3142857142857,15.8071428571429,22.0057142857143,0.604285714285714,1.96285714285714,83.8128571428571,11.2890646598052,14.59,83.66
2020-06-28,1060,2.65,13.41,12.1285714285714,16.5,22.76,0.687142857142857,2.15714285714286,83.8371428571429,11.7673233308156,15.4914285714286,83.53
2020-07-05,1253,0.01,12.9185714285714,11.6842857142857,16.1328571428571,22.6685714285714,0.76,2.35857142857143,83.1271428571429,11.4143629493206,18.9857142857143,83.5171428571429
2020-07-12,1337,9.36,13.3242857142857,11.7714285714286,16.4957142857143,22.8657142857143,0.811428571428571,2.39857142857143,83.2585714285714,11.6932132643475,17.4,83.4971428571429
2020-07-19,2040,1.98,11.2785714285714,10.72,15.2157142857143,21.58,0.894285714285714,2.58714285714286,79.4442857142857,10.3542602009082,17.6885714285714,83.5528571428571
2020-07-26,2390,24.19,11.8557142857143,10.0728571428571,15.23,21.9214285714286,0.761428571428571,2.19857142857143,82.47,10.7219575500691,18.1814285714286,83.4785714285714
2020-08-02,2707,0,11.89,10.9471428571429,16.2257142857143,23.2614285714286,0.875714285714286,2.30285714285714,78.0428571428571,10.7807104635164,20.1628571428571,83.5842857142857
2020-08-09,2798,0.01,11.9057142857143,11.0185714285714,16.8742857142857,23.84,0.861428571428571,2.24,75.1071428571429,10.7913860247321,20.6814285714286,83.6314285714286
2020-08-16,2872,0.05,12.28,12.8242857142857,18.5442857142857,25.3585714285714,0.77,1.79428571428571,69.5357142857143,11.0221451577387,18.0671428571429,83.4371428571429
2020-08-23,2958,0.33,12.6914285714286,12.7885714285714,18.2114285714286,24.9957142857143,1.00142857142857,2.47,72.94,11.3325261395671,20.2028571428571,83.3728571428571
2020-08-30,3044,7.89,12.3014285714286,12.6585714285714,18.8085714285714,25.54,0.96,2.19428571428571,68.5442857142857,11.0315045163632,20.4385714285714,83.4228571428571
2020-09-06,3159,1.36,11.5271428571429,12.0871428571429,18.4871428571429,25.52,0.907142857142857,2.20142857142857,66.9914285714286,10.6083988058657,20.2642857142857,83.4228571428571
2020-09-13,3279,3.14,13.0742857142857,13.42,18.3371428571429,24.7028571428571,1.01142857142857,2.49285714285714,73.7757142857143,11.5540642389851,16.4871428571429,83.45
2020-09-20,3308,0.68,12.8371428571429,14.1628571428571,20.4971428571429,27.31,1.01285714285714,2.39142857142857,64.5628571428571,11.4852456312946,22.7371428571429,83.4271428571429
2020-09-27,3354,7.03,13.9357142857143,15.1342857142857,20.1242857142857,26.4828571428571,0.858571428571429,2.14857142857143,70.6685714285714,12.2785417690407,19.2,83.3942857142857
2020-10-04,3565,26.32,14.58,14.2785714285714,19.4857142857143,25.5114285714286,0.785714285714286,2.03714285714286,76.1514285714286,12.6918065555039,18.7385714285714,83.3471428571429
2020-10-11,3614,7.49,13.7614285714286,14.3485714285714,20.2785714285714,27.0542857142857,0.68,1.77142857142857,70.0271428571429,12.2683424746351,21.4742857142857,83.3928571428571
2020-10-18,3721,35.41,15.2914285714286,15.3342857142857,19.8228571428571,25.38,0.8,2.03714285714286,77.1857142857143,13.194960552042,17.4814285714286,83.3828571428571
2020-10-25,3865,57.55,15.37,15.4385714285714,19.5242857142857,24.9585714285714,0.654285714285714,1.74142857142857,78.9828571428571,13.249229637773,15.3842857142857,83.3557142857143
2020-11-01,3990,28.39,14.7814285714286,14.1842857142857,18.42,24.0228571428571,0.702857142857143,2.06,81.4185714285714,12.803027643685,12.0742857142857,83.3542857142857
2020-11-08,4228,23.38,15.5557142857143,14.7185714285714,18.9814285714286,24.4228571428571,0.618571428571429,1.89142857142857,82.2171428571429,13.3591469550899,17.3828571428571,83.39
2020-11-15,4351,119.05,15.8871428571429,14.8085714285714,18.8271428571429,24.2985714285714,0.47,1.52142857142857,85.0728571428571,13.7086741503618,14.7857142857143,83.3485714285714
2020-11-22,4510,672.83,15.7985714285714,15.0057142857143,18.9328571428571,24.5171428571429,0.434285714285714,1.28857142857143,83.91,13.6167733254564,17.6114285714286,83.2785714285714
2020-11-29,4730,193.2,16.57,15.1028571428571,19.1557142857143,24.1242857142857,0.535714285714286,1.67428571428571,86.3757142857143,14.1925150522818,17.7342857142857,83.3485714285714
2020-12-06,4838,108.79,16.0271428571429,14.6228571428571,18.8357142857143,23.9671428571429,0.401428571428571,1.28714285714286,85.4985714285714,13.7872693155909,16.23,83.3885714285714
