"Dates","cc","pr","tdew","tmin","tmoy","tmax","wspd","wspd10","rh","ah","insol","ps"
2020-03-15,1,0,15.56,24.36,30.15,37.67,1.32,2.09,43,13.1588135323898,17.55,93.99
2020-03-22,13,1.04,17.5828571428571,23.7614285714286,30.0471428571429,37.5528571428571,1.86857142857143,2.74,51.2142857142857,15.5408319707689,20.2471428571429,94.0514285714286
2020-03-29,21,88.97,20.9685714285714,22.6871428571429,26.9471428571429,32.1371428571429,2.28857142857143,3.32,72.2671428571429,18.4265419299805,21.6257142857143,94.1342857142857
2020-04-05,36,45.97,22.3757142857143,22.1428571428571,25.7185714285714,29.9985714285714,1.71428571428571,2.63142857142857,82.9014285714286,19.8540464737442,21.4314285714286,94.1685714285714
2020-04-12,56,81.59,22.1014285714286,21.9271428571429,25.4228571428571,29.8314285714286,1.42428571428571,2.24428571428571,82.9285714285714,19.5533851696941,17.0657142857143,94.2271428571429
2020-04-19,82,4.06,19.4857142857143,20.0342857142857,24.9742857142857,30.9242857142857,1.59285714285714,2.58428571428571,73.8714285714286,16.9769087509712,22.2314285714286,94.2171428571429
2020-04-26,107,44.72,21.8,21.3485714285714,25.5757142857143,30.5671428571429,1.79,2.73,81.0357142857143,19.2627454183241,22.1142857142857,94.2171428571429
2020-05-03,385,49.58,22.08,21.4485714285714,25.0042857142857,29.0071428571429,1.67857142857143,2.60142857142857,84.6514285714286,19.4898154762737,20.7357142857143,94.3871428571429
2020-05-10,787,81.49,21.9571428571429,21.7571428571429,25.4985714285714,29.6557142857143,1.35285714285714,2.11714285714286,81.7785714285714,19.352584784618,17.2328571428571,94.3042857142857
2020-05-17,1527,19.15,22.29,21.76,25.2457142857143,29.4085714285714,1.62857142857143,2.55142857142857,84.42,19.7079536561831,21.4628571428571,94.3714285714286
2020-05-24,3182,60.76,21.8542857142857,21.0528571428571,24.77,29.0457142857143,1.58,2.5,84.6814285714286,19.2455638153111,18.45,94.4642857142857
2020-05-31,5627,93.91,22.5042857142857,21.8257142857143,25.3571428571429,29.4814285714286,1.42571428571429,2.26,85,19.9653526016566,21.4128571428571,94.3542857142857
2020-06-07,9254,38.94,21.5371428571429,20.6742857142857,24.2785714285714,28.3142857142857,1.50428571428571,2.38571428571429,85.3914285714286,18.8696210983789,20.7742857142857,94.4514285714286
2020-06-14,13698,26.48,21.0514285714286,20.5071428571429,24.2342857142857,28.4228571428571,1.52857142857143,2.43571428571429,83.3028571428571,18.3686177106905,18.2385714285714,94.3957142857143
2020-06-21,17900,54.16,21.0814285714286,20.4885714285714,23.5228571428571,27.3957142857143,1.67857142857143,2.64714285714286,86.7857142857143,18.3802448991323,16.9685714285714,94.5071428571429
2020-06-28,22555,35.53,20.9457142857143,20.2385714285714,24.07,28.3728571428571,1.41857142857143,2.27285714285714,83.6885714285714,18.2639899975601,18.3628571428571,94.3442857142857
2020-07-05,26747,27.27,21.1914285714286,20.6385714285714,24.3257142857143,28.36,1.21,1.94714285714286,83.4471428571429,18.4969473242031,17.0785714285714,94.3214285714286
2020-07-12,29248,103.11,20.6828571428571,20.3414285714286,23.4242857142857,27.0514285714286,1.09571428571429,1.74428571428571,85.2128571428571,17.9413089561204,16.0871428571429,94.3742857142857
2020-07-19,30771,47.88,20.5142857142857,19.88,22.6971428571429,26.1957142857143,1.43,2.29,88.0271428571429,17.7773767210021,15.3785714285714,94.4042857142857
2020-07-26,32063,50.6,20.85,19.8157142857143,23.2142857142857,27.1514285714286,1.69,2.65857142857143,87.2414285714286,18.1496849438815,16.1957142857143,94.3128571428571
2020-08-02,32244,63.7,20.8528571428571,20.0714285714286,23.6357142857143,27.8,1.36857142857143,2.20571428571429,85.3128571428571,18.1840038729076,15.6242857142857,94.3928571428571
2020-08-09,32393,209.91,20.5528571428571,19.8057142857143,22.91,26.7371428571429,1.56428571428571,2.50428571428571,87.1942857142857,17.8260313188757,13.3285714285714,94.5414285714286
2020-08-16,32546,40.91,21.3114285714286,20.7771428571429,24.1171428571429,28.0914285714286,1.08714285714286,1.76714285714286,85.0814285714286,18.6315214985158,17.2342857142857,94.3057142857143
2020-08-23,32741,126.79,21.0471428571429,20.4157142857143,23.35,26.7985714285714,1.32571428571429,2.14428571428571,87.4485714285714,18.3398413496633,17.3571428571429,94.22
2020-08-30,32866,39.76,20.9814285714286,20.0442857142857,22.9342857142857,26.3685714285714,1.59285714285714,2.54285714285714,89.2957142857143,18.2735963233858,16.0057142857143,94.3542857142857
2020-09-06,33050,54.99,20.5157142857143,19.7985714285714,23.2228571428571,26.9142857142857,1.35571428571429,2.16428571428571,85.5371428571429,17.790607715161,17.0042857142857,94.3685714285714
2020-09-13,33194,57.07,21.15,20.2114285714286,23.1342857142857,27.02,1.55142857142857,2.47,89.0542857142857,18.4478333808667,17.2857142857143,94.3157142857143
2020-09-20,33466,114.06,21.3857142857143,20.5385714285714,23.8142857142857,27.4842857142857,1.08428571428571,1.81,86.9828571428571,18.7130681200745,17.94,94.3728571428571
2020-09-27,33612,53.95,20.9071428571429,20.1385714285714,23.3642857142857,27.0314285714286,1.13142857142857,1.85,86.7757142857143,18.2042986191669,18.6285714285714,94.3928571428571
2020-10-04,33789,45.45,21.1128571428571,20.2971428571429,23.72,27.4114285714286,1.18571428571429,1.89285714285714,86.1257142857143,18.4077555825316,18.1528571428571,94.3128571428571
2020-10-11,33963,19.69,20.9814285714286,20.6742857142857,24.4957142857143,28.24,0.944285714285714,1.46857142857143,81.5642857142857,18.2302064901552,19.5414285714286,94.3914285714286
2020-10-18,33983,25.2,21.14,20.6714285714286,24.2128571428571,28.0185714285714,1.04285714285714,1.68,83.66,18.4186271374188,18.8928571428571,94.3414285714286
2020-10-25,34020,74.64,21.3742857142857,20.9442857142857,24.51,28.23,0.955714285714286,1.52714285714286,83.4557142857143,18.6617988061992,18.3271428571429,94.2871428571429
