"Dates","cc","pr","tdew","tmin","tmoy","tmax","wspd","wspd10","rh","ah","insol","ps"
2020-03-08,4,10.9,21.1133333333333,21.56,25.4466666666667,30.4466666666667,1.35666666666667,2.22,79.29,18.7153216158429,14.5066666666667,94.4533333333333
2020-03-15,14,40.4,21.8414285714286,22.2285714285714,25.5728571428571,30.5528571428571,1.22142857142857,1.99,82.2228571428571,19.5314479384365,17.2528571428571,94.3842857142857
2020-03-22,124,148.3,22.2814285714286,22.2328571428571,24.9385714285714,28.9714285714286,1.23714285714286,2.01285714285714,86.5457142857143,19.8255126701892,15.6428571428571,94.4242857142857
2020-03-29,593,48.93,21.8985714285714,21.1985714285714,24.0114285714286,27.4485714285714,0.981428571428571,1.63,88.5528571428571,19.2824622434808,15.9571428571429,94.4585714285714
2020-04-05,2585,71,22.52,21.9057142857143,24.7514285714286,28.2071428571429,0.707142857142857,1.26,88.1157142857143,19.9966163081243,18.0742857142857,94.4185714285714
2020-04-12,5236,60.25,21.9585714285714,21.6714285714286,24.1757142857143,27.4071428571429,0.898571428571429,1.55714285714286,88.2057142857143,19.3951626324079,16.3371428571429,94.5142857142857
2020-04-19,6542,19.73,21.8542857142857,21.1471428571429,24.6042857142857,28.4414285714286,0.97,1.65142857142857,85.51,19.2380424658086,18.1557142857143,94.47
2020-04-26,9392,15.73,21.92,21.3871428571429,24.3228571428571,28.0885714285714,0.965714285714286,1.63428571428571,87.2342857142857,19.3409052215115,18.73,94.49
2020-05-03,13060,56.84,22.3142857142857,21.6842857142857,24.6971428571429,28.5028571428571,0.748571428571429,1.33285714285714,87.3928571428571,19.7807125987159,17.4442857142857,94.6471428571429
2020-05-10,15860,54.52,22.1271428571429,21.8242857142857,24.7814285714286,28.1828571428571,0.677142857142857,1.12428571428571,85.8757142857143,19.5272829970522,17.0442857142857,94.5271428571429
2020-05-17,20447,40.01,21.9771428571429,21.3442857142857,24.2371428571429,27.84,0.724285714285714,1.28428571428571,87.8757142857143,19.3837226164101,17.16,94.64
2020-05-24,28769,29.99,22.1385714285714,21.4014285714286,23.93,27.2828571428571,0.994285714285714,1.70285714285714,90.18,19.5444722642769,15.8028571428571,94.6828571428571
2020-05-31,38442,22.99,22.3528571428571,22.0857142857143,24.8128571428571,28.04,0.568571428571429,0.997142857142857,86.8814285714286,19.7884711501893,15.0528571428571,94.5771428571429
2020-06-07,49255,27.59,21.8242857142857,21.2871428571429,24.2971428571429,27.9757142857143,0.718571428571429,1.29,86.8585714285714,19.2177109744602,16.7571428571429,94.6828571428571
2020-06-14,59777,14.23,21.2228571428571,20.4685714285714,23.5071428571429,27.3214285714286,1.11,1.85714285714286,87.7757142857143,18.5670180599187,14.5071428571429,94.6628571428571
2020-06-21,73596,54.43,21.3457142857143,20.8114285714286,23.3214285714286,26.7485714285714,0.851428571428571,1.49142857142857,89.2685714285714,18.6903509673476,15.2414285714286,94.7328571428571
2020-06-28,87271,42.79,21.4914285714286,20.6785714285714,23.4457142857143,27.0814285714286,1.00142857142857,1.7,89.4028571428571,18.8487021365259,14.83,94.5614285714286
2020-07-05,88144,39.77,21.2185714285714,20.5071428571429,23.0385714285714,26.4528571428571,0.944285714285714,1.63285714285714,90.0728571428571,18.548916535105,12.3185714285714,94.5757142857143
2020-07-12,102602,27.9,20.7742857142857,19.9728571428571,22.6485714285714,26.2385714285714,1.14857142857143,1.96142857142857,89.7871428571429,18.0828958572877,13.2771428571429,94.58
2020-07-19,110147,42,20.55,19.8185714285714,22.2128571428571,25.3985714285714,1.17285714285714,1.99714285714286,90.7614285714286,17.8306604397806,13.5685714285714,94.6528571428571
2020-07-26,115847,40.51,20.6342857142857,19.6828571428571,22.4542857142857,26.2114285714286,1.32857142857143,2.21714285714286,90.0357142857143,17.9375236335843,14.13,94.5742857142857
2020-08-02,120564,18.96,20.4957142857143,19.5757142857143,22.2428571428571,26,1.55857142857143,2.55142857142857,90.3371428571429,17.775185361011,11.41,94.67
2020-08-09,124211,17.23,19.9871428571429,18.99,22.0814285714286,26.4585714285714,1.78857142857143,2.89714285714286,88.66,17.2894117899042,12.49,94.8185714285714
2020-08-16,128233,13.87,20.9428571428571,19.7385714285714,23.14,27.74,1.73714285714286,2.81,88.2228571428571,18.2848620728587,15.0757142857143,94.5614285714286
2020-08-23,130853,102.86,21.08,20.2014285714286,22.5157142857143,25.7885714285714,1.46,2.43142857142857,91.92,18.3733129827393,13.4557142857143,94.4642857142857
2020-08-30,133276,35.01,20.7642857142857,19.9057142857143,22.4971428571429,25.8628571428571,1.15,1.94285714285714,90.42,18.0513063394953,14.9514285714286,94.6071428571429
2020-09-06,136427,58.33,20.8914285714286,19.98,22.5814285714286,26.1814285714286,1.31142857142857,2.18142857142857,90.6685714285714,18.1940180328473,13.8928571428571,94.6085714285714
2020-09-13,139494,43.96,20.9842857142857,19.9685714285714,22.6785714285714,26.3314285714286,1.36,2.26428571428571,90.6728571428571,18.2951722232867,13.5828571428571,94.5614285714286
2020-09-20,142338,62.92,21.1714285714286,20.2471428571429,22.7571428571429,26.2514285714286,1.10714285714286,1.88857142857143,91.2328571428571,18.4909876340945,14.7928571428571,94.64
2020-09-27,144780,42.2,20.5257142857143,19.7671428571429,22.3185714285714,25.93,1.19142857142857,2.01857142857143,90.1442857142857,17.820177394682,15.06,94.6842857142857
2020-10-04,146124,34.47,20.8842857142857,19.9185714285714,22.7257142857143,26.1585714285714,0.934285714285714,1.61428571428571,89.9214285714286,18.1888162286352,16.1771428571429,94.5614285714286
2020-10-11,147584,16.44,20.7571428571429,20.1314285714286,22.7685714285714,26.4228571428571,0.992857142857143,1.71714285714286,89.0714285714286,18.0680792875356,16.8371428571429,94.6914285714286
2020-10-18,149611,49.9,20.93,20.2028571428571,22.5085714285714,25.62,1.06142857142857,1.81857142857143,91.1714285714286,18.2183790511581,16.0171428571429,94.5871428571429
2020-10-25,150926,45.82,21.2528571428571,20.56,23.2785714285714,26.8828571428571,0.792857142857143,1.4,89.0342857142857,18.591900289182,15.4357142857143,94.5257142857143
2020-11-01,152861,39.87,21.22,20.4028571428571,23.1971428571429,26.6771428571429,0.88,1.49,89.1885714285714,18.5329882885214,15.9257142857143,94.4571428571429
2020-11-08,155278,25.05,21.5314285714286,20.8657142857143,23.6614285714286,27.3757142857143,0.901428571428571,1.59142857142857,88.56,18.9002530792331,16.7557142857143,94.5371428571429
2020-11-15,157789,14.17,20.8228571428571,20.3785714285714,23.6757142857143,27.4685714285714,1.08857142857143,1.78714285714286,84.9385714285714,18.1173212790708,16.8857142857143,94.5528571428571
