"Dates","cc","pr","tdew","tmin","tmoy","tmax","wspd","wspd10","rh","ah","insol","ps"
2020-03-15,8,13.18,21.828,22.598,26.468,31.308,0.234,0.814,78.062,19.4353630824759,16.514,95.52
2020-03-22,94,26.69,21.2928571428571,22.9028571428571,26.2957142857143,30.5071428571429,0.274285714285714,0.887142857142857,76.0271428571429,18.6707561794743,15.7171428571429,95.5471428571429
2020-03-29,361,9.07,20.28,22.7485714285714,27.3228571428571,32.3942857142857,0.29,0.83,67.4442857142857,17.6810426116297,19.8857142857143,95.5371428571429
2020-04-05,864,20.85,20.9671428571429,23.33,27.6328571428571,32.53,0.288571428571429,0.777142857142857,69.5971428571429,18.4138644334378,18.7328571428571,95.51
2020-04-12,1373,10.03,21.2442857142857,23.7114285714286,27.7142857142857,32.1528571428571,0.228571428571429,0.762857142857143,70.49,18.7042334917477,18.8828571428571,95.5142857142857
2020-04-19,1918,26.59,21.1557142857143,23.27,27.3014285714286,32.3914285714286,0.242857142857143,0.792857142857143,71.4557142857143,18.6487171516413,19.0614285714286,95.5642857142857
2020-04-26,2670,21.58,20.9485714285714,22.5328571428571,26.6342857142857,31.0757142857143,0.288571428571429,0.751428571428571,73.3128571428571,18.3669816990772,19.5714285714286,95.5885714285714
2020-05-03,3945,9.93,20.8228571428571,22.8471428571429,26.9442857142857,31.5257142857143,0.26,0.9,70.9757142857143,18.2007633889292,18.2314285714286,95.7357142857143
2020-05-10,5912,35.54,21.91,23.0728571428571,26.6328571428571,31.2071428571429,0.285714285714286,0.855714285714286,77.3385714285714,19.4906727158725,17.8685714285714,95.6042857142857
2020-05-17,8745,40.21,22.0685714285714,22.4628571428571,25.4771428571429,29.3314285714286,0.237142857142857,0.745714285714286,82.6357142857143,19.5202188786026,14.8328571428571,95.7571428571429
2020-05-24,12844,9.09,20.2557142857143,21.8771428571429,26.3771428571429,31.5714285714286,0.272857142857143,0.86,71.7328571428571,17.8350557497525,16.2214285714286,95.7914285714286
2020-05-31,18775,14.6,21.0371428571429,22.7057142857143,27.3357142857143,32.6828571428571,0.225714285714286,0.778571428571429,71.4185714285714,18.6626800633203,17.4414285714286,95.6428571428571
2020-06-07,25318,8.71,20.2585714285714,22.5342857142857,27.3685714285714,33.1357142857143,0.23,0.822857142857143,68.3842857142857,17.9554796959204,17.0442857142857,95.7271428571429
2020-06-14,31409,7.44,19.63,22.0785714285714,26.4128571428571,31.8028571428571,0.282857142857143,0.954285714285714,69.6885714285714,17.2948515092544,13.5371428571429,95.6942857142857
2020-06-21,37169,0.02,12.5414285714286,18.3542857142857,26.0885714285714,33.7228571428571,0.431428571428571,1.16285714285714,46.8742857142857,11.5072655007054,19.7985714285714,95.8028571428571
2020-06-28,44644,1.92,16.1871428571429,22.2728571428571,27.5642857142857,33.3571428571429,0.318571428571429,0.928571428571428,52.1357142857143,13.8434102538891,16.2171428571429,95.6028571428571
2020-07-05,50390,3.42,16.0771428571429,22.8185714285714,28.0742857142857,34.1242857142857,0.314285714285714,0.995714285714286,52.2957142857143,14.2666289879147,14.49,95.57
2020-07-12,54051,3.97,16.13,22.59,27.8128571428571,33.5257142857143,0.264285714285714,0.902857142857143,52.02,13.960168718762,14.1542857142857,95.56
2020-07-19,57548,22.92,15.94,21.6742857142857,25.9728571428571,31.1971428571429,0.371428571428571,1.24714285714286,58.5885714285714,14.105223109133,15.4071428571429,95.6842857142857
2020-07-26,60722,2.62,14.84,20.2471428571429,26.5585714285714,33.25,0.332857142857143,1.06571428571429,52.0442857142857,13.0893822616259,15.0985714285714,95.5942857142857
2020-08-02,62927,0.85,14.9628571428571,21.6814285714286,27.7885714285714,34.6642857142857,0.328571428571429,1.09857142857143,48.2142857142857,13.0115307025025,13.8185714285714,95.6
2020-08-09,65118,15.32,17.3871428571429,21.5385714285714,26.8257142857143,32.9157142857143,0.31,1.04857142857143,60.5614285714286,15.3689285987425,13.31,95.7657142857143
2020-08-16,67034,3,19.6214285714286,23.6285714285714,28.0257142857143,33.0342857142857,0.242857142857143,0.885714285714286,62.4214285714286,16.955960648368,13.1414285714286,95.5342857142857
2020-08-23,68368,91.23,21.1657142857143,23.0142857142857,26.5228571428571,30.7385714285714,0.231428571428571,0.917142857142857,74.8214285714286,18.5652250667773,12.7471428571429,95.4442857142857
2020-08-30,69606,28.37,21.3585714285714,21.6185714285714,24.5714285714286,28.6057142857143,0.28,1.05142857142857,83.42,18.7362877958479,16.4171428571429,95.6171428571429
2020-09-06,70977,25.87,21.2385714285714,21.51,25.3171428571429,29.5528571428571,0.278571428571429,0.932857142857143,79.4642857142857,18.5854390317106,16.0828571428571,95.59
2020-09-13,72328,39.72,21.8785714285714,21.7671428571429,25.2871428571429,29.5228571428571,0.241428571428571,0.89,82.6785714285714,19.3287333901871,13.8871428571429,95.57
2020-09-20,73106,26.78,22.1242857142857,22.0214285714286,24.6042857142857,28.3171428571429,0.267142857142857,0.998571428571429,86.9485714285714,19.5669806498675,17.0042857142857,95.6157142857143
2020-09-27,73917,41.04,21.7528571428571,21.3271428571429,23.8142857142857,27.09,0.26,0.924285714285714,88.9185714285714,19.1276603747212,16.7514285714286,95.6657142857143
2020-10-04,74840,40.91,22.3814285714286,21.94,24.65,28.06,0.258571428571429,0.91,87.9185714285714,19.8401741365423,18.3185714285714,95.6
