"Dates","cc","pr","tdew","tmin","tmoy","tmax","wspd","wspd10","rh","ah","insol","ps"
2020-03-15,1,1.76,23.77,23.75,27.12,31.15,0.2,0.59,82.81,21.4652679140116,23.16,96.73
2020-03-22,15,67.58,23.4271428571429,22.69,24.8485714285714,27.72,0.127142857142857,0.682857142857143,92.2785714285714,21.0619712780429,15.0771428571429,96.8714285714286
2020-03-29,43,21.76,22.9585714285714,22.0328571428571,25.36,29.3342857142857,0.164285714285714,0.792857142857143,87.4385714285714,20.5401568560015,21.0071428571429,96.87
2020-04-05,168,25.19,23.5914285714286,22.8285714285714,25.68,29.23,0.187142857142857,0.768571428571429,88.8842857142857,21.2619226526495,19.9042857142857,96.8428571428571
2020-04-12,375,23.31,23.41,22.6557142857143,25.6228571428571,29.0985714285714,0.187142857142857,0.754285714285714,88.34,21.052186467822,18.5414285714286,96.8814285714286
2020-04-19,783,7.45,23.2557142857143,22.7785714285714,25.79,29.1314285714286,0.172857142857143,0.668571428571429,86.6242857142857,20.845912512979,17.6942857142857,96.89
2020-04-26,1297,31.44,23.1357142857143,22.4185714285714,25.3085714285714,28.9357142857143,0.175714285714286,0.702857142857143,88.5357142857143,20.7355292097844,17.8985714285714,96.8985714285714
2020-05-03,1521,51.45,23.1771428571429,22.3957142857143,25.0885714285714,28.2371428571429,0.234285714285714,0.711428571428571,89.6342857142857,20.7294032963635,20.5585714285714,97.09
2020-05-10,1822,56.79,23.4271428571429,22.6871428571429,25.2157142857143,28.4242857142857,0.19,0.655714285714286,90.5357142857143,21.0840730114473,17.4014285714286,96.9557142857143
2020-05-17,2563,19.51,22.7742857142857,22.1142857142857,25.1485714285714,28.8042857142857,0.215714285714286,0.695714285714286,87.4185714285714,20.2962679994259,19.4957142857143,97.0771428571429
2020-05-24,3164,35.85,23.0871428571429,22.2857142857143,25.2914285714286,28.7342857142857,0.198571428571429,0.717142857142857,88.2314285714286,20.6506589638264,15.8485714285714,97.1085714285714
2020-05-31,3869,40.17,22.94,22.8028571428571,25.8471428571429,29.2757142857143,0.188571428571429,0.538571428571429,84.82,20.4625507686601,14.8357142857143,97.0014285714286
2020-06-07,4445,28.39,22.3857142857143,21.7171428571429,24.9542857142857,28.7242857142857,0.211428571428571,0.657142857142857,86.4542857142857,19.852829314022,16.4685714285714,97.1271428571429
2020-06-14,5051,43.33,22.3342857142857,21.4628571428571,24.7114285714286,28.5085714285714,0.221428571428571,0.785714285714286,87.3757142857143,19.787512787557,15.8028571428571,97.0642857142857
2020-06-21,6181,7.77,21.82,21.3914285714286,25.1157142857143,29.0985714285714,0.211428571428571,0.66,82.9457142857143,19.2199301208399,17.5957142857143,97.1457142857143
2020-06-28,7609,26.07,21.9214285714286,21.4014285714286,24.7028571428571,28.7614285714286,0.195714285714286,0.754285714285714,85.59,19.370780752275,17.26,96.9671428571429
2020-07-05,9609,33.97,22.0728571428571,21.4,24.6228571428571,28.1685714285714,0.234285714285714,0.704285714285714,86.5985714285714,19.4860912435885,14.4271428571429,96.9771428571429
2020-07-12,12840,34.3,21.7657142857143,21.1271428571429,24.2771428571429,27.9257142857143,0.22,0.811428571428571,86.8214285714286,19.1689155763214,14.2957142857143,96.9828571428571
2020-07-19,16535,68,21.7714285714286,21.1428571428571,23.6414285714286,26.8457142857143,0.214285714285714,0.695714285714286,89.8485714285714,19.1500428307866,11.5914285714286,97.06
2020-07-26,20518,4.79,21.3571428571429,20.35,24.0285714285714,28.1714285714286,0.232857142857143,0.945714285714286,85.9371428571429,18.7252615781537,15.3842857142857,96.9742857142857
2020-08-02,22400,19.07,22.1171428571429,21.1814285714286,25.0357142857143,29.0928571428571,0.241428571428571,0.871428571428571,84.8571428571429,19.5741866201707,16.2342857142857,97.0142857142857
2020-08-09,25149,4.45,21.8357142857143,21.3771428571429,24.6057142857143,28.64,0.187142857142857,0.955714285714286,85.5885714285714,19.2688872694678,16.4214285714286,97.1757142857143
2020-08-16,26220,6.99,22.5971428571429,22.3085714285714,25.7114285714286,29.7771428571429,0.207142857142857,0.847142857142857,84.0357142857143,20.1346504100675,15.6642857142857,96.9128571428571
2020-08-23,26912,70.89,22.7728571428571,22.3514285714286,24.9928571428571,28.3485714285714,0.214285714285714,0.747142857142857,88.2242857142857,20.2954890384445,14.03,96.83
2020-08-30,27853,61.71,22.0085714285714,20.9557142857143,24.0257142857143,27.7142857142857,0.222857142857143,0.837142857142857,89.2214285714286,19.4390330064503,13.5771428571429,97
2020-09-06,31098,35.76,22.4357142857143,21.45,24.6042857142857,28.3171428571429,0.227142857142857,0.798571428571429,88.4542857142857,19.9139705344105,16.3728571428571,96.9714285714286
2020-09-13,34348,48.04,22.7685714285714,21.72,24.16,27.0185714285714,0.211428571428571,0.74,92.2514285714286,20.2512319348992,13.2928571428571,96.9471428571429
2020-09-20,34688,52.05,22.6542857142857,21.7,24.5542857142857,28.0171428571429,0.21,0.827142857142857,89.8028571428571,20.1617988557525,16.32,97.0057142857143
2020-09-27,35032,57.61,22.2285714285714,21.3771428571429,23.7985714285714,26.7471428571429,0.248571428571429,0.87,91.3914285714286,19.65399062609,14.1014285714286,97.0628571428571
2020-10-04,35461,54.38,22.4342857142857,21.3614285714286,24.0814285714286,27.1085714285714,0.257142857142857,0.712857142857143,90.8471428571429,19.8571799099101,17.5228571428571,96.97
2020-10-11,35710,99.27,22.3328571428571,21.2785714285714,24,27.3157142857143,0.211428571428571,0.78,90.9357142857143,19.7886465260527,17.1628571428571,97.0614285714286
2020-10-18,36016,77.08,22.5685714285714,21.4685714285714,24.3028571428571,27.5785714285714,0.217142857142857,0.73,90.51,20.038110621891,17.9857142857143,96.9828571428571
2020-10-25,36286,41.21,22.6271428571429,21.8057142857143,24.3428571428571,27.2471428571429,0.205714285714286,0.677142857142857,90.5985714285714,20.0942604494329,16.3714285714286,96.9485714285714
2020-11-01,36919,92.46,22.6471428571429,21.6814285714286,24.3571428571429,27.6142857142857,0.187142857142857,0.727142857142857,90.7142857142857,20.1385258466544,16.61,96.8814285714286
2020-11-08,37471,51.38,22.83,21.6585714285714,24.4742857142857,27.6542857142857,0.208571428571429,0.732857142857143,91.0085714285714,20.3351127570557,16.5514285714286,96.97
2020-11-15,38061,38.94,22.4042857142857,21.8471428571429,24.3285714285714,27.0885714285714,0.251428571428571,0.692857142857143,89.5357142857143,19.8411272963544,16.6242857142857,97.0071428571429
2020-11-22,39073,22.2,22.7557142857143,22.1171428571429,24.88,28.21,0.194285714285714,0.62,88.6442857142857,20.2672144786424,15.3042857142857,96.85
2020-11-29,39850,56.25,22.8957142857143,22.1014285714286,24.8542857142857,28.0385714285714,0.221428571428571,0.67,89.3842857142857,20.4016632912419,15.2971428571429,96.92
2020-12-06,40418,35.99,22.59,21.8042857142857,25.2014285714286,28.6185714285714,0.26,0.744285714285714,86.16,20.0635210035704,18.8857142857143,96.9514285714286
2020-12-13,41793,64.61,22.4285714285714,21.8957142857143,24.85,28.3828571428571,0.238571428571429,0.707142857142857,87.1085714285714,19.8759413390773,16.8785714285714,96.9871428571429
2020-12-20,43400,33.05,22.3142857142857,21.6314285714286,25.0542857142857,28.89,0.254285714285714,0.717142857142857,85.6614285714286,19.7762283091788,17.3528571428571,96.8828571428571
2020-12-27,46300,17.9,22.4028571428571,21.7085714285714,25.3014285714286,29.1271428571429,0.244285714285714,0.735714285714286,84.9914285714286,19.8818380063564,17.03,96.8228571428571
2021-01-03,49152,44.18,22.4957142857143,21.93,24.5571428571429,27.85,0.24,0.697142857142857,88.84,19.9524861290965,14.5057142857143,96.8614285714286
2021-01-10,49849,25.88,22.1171428571429,21.7585714285714,24.9971428571429,28.7657142857143,0.225714285714286,0.781428571428571,85.0185714285714,19.5460049970365,17.0528571428571,96.8385714285714
2021-01-17,51734,35.93,21.9785714285714,21.7557142857143,25.4571428571429,29.8142857142857,0.221428571428571,0.751428571428571,82.34,19.4496034413392,18.0871428571429,96.8328571428571
2021-01-24,54303,12.47,22.2542857142857,22.2914285714286,25.7857142857143,30.0614285714286,0.201428571428571,0.74,82.1342857142857,19.7517059119303,16.9957142857143,96.8314285714286
2021-01-31,55209,87.54,22.1742857142857,21.33,24.8971428571429,29.0771428571429,0.231428571428571,0.917142857142857,85.98,19.6701997094831,16.7171428571429,96.8857142857143
2021-02-07,55901,18.45,22.7371428571429,22.6642857142857,26.09,29.8557142857143,0.225714285714286,0.657142857142857,82.7328571428571,20.2370668824079,18.92,96.8828571428571
2021-02-14,58085,6.61,22.2014285714286,22.2671428571429,26.7242857142857,31.0528571428571,0.232857142857143,0.74,77.5971428571429,19.6523340501454,19.1828571428571,96.7542857142857
2021-02-21,59139,11.77,21.8228571428571,21.5428571428571,25.4628571428571,29.8942857142857,0.2,0.725714285714286,81.6442857142857,19.3175306609703,17.1285714285714,96.8542857142857
2021-02-28,61350,17.68,22.5114285714286,21.8542857142857,24.7942857142857,28.4328571428571,0.175714285714286,0.752857142857143,87.8828571428571,19.9956119724328,19.6857142857143,96.8342857142857
2021-03-07,63176,54.21,23.3714285714286,22.4542857142857,25.3971428571429,28.9214285714286,0.204285714285714,0.8,89.0614285714286,20.967898170948,18.67,96.7314285714286
2021-03-14,65003,63.03,22.5114285714286,21.64,24.7414285714286,28.1514285714286,0.207142857142857,0.805714285714286,88.1357142857143,19.9917076251107,19.01,96.7585714285714
2021-03-21,66243,58.56,22.5014285714286,21.76,24.2914285714286,27.5542857142857,0.184285714285714,0.682857142857143,90.2685714285714,19.9603175319807,16.9485714285714,96.7585714285714
2021-03-28,67533,40.67,22.6185714285714,21.8,24.7785714285714,28.4228571428571,0.208571428571429,0.745714285714286,88.5342857142857,20.1275104264512,18.5671428571429,96.8885714285714
2021-04-04,67767,50.75,22.9085714285714,21.8728571428571,24.66,28.0071428571429,0.224285714285714,0.832857142857143,90.5185714285714,20.4410370704033,19.6242857142857,96.8928571428571
2021-04-11,70185,5.95,23.2171428571429,22.7571428571429,25.6685714285714,28.9757142857143,0.251428571428571,0.732857142857143,86.8657142857143,20.7656223173645,21.0828571428571,96.8128571428571
2021-04-18,70588,19.08,22.9285714285714,22.1442857142857,25.1942857142857,28.8342857142857,0.211428571428571,0.792857142857143,88.0085714285714,20.483125336012,20.7614285714286,96.8671428571429
2021-04-25,71182,52.11,23.29,22.1685714285714,24.6942857142857,27.9171428571429,0.192857142857143,0.757142857142857,92.2228571428571,20.8715321309421,17.7871428571429,96.8757142857143
2021-05-02,74746,26.98,23.1728571428571,22.3042857142857,25.1557142857143,28.5542857142857,0.212857142857143,0.674285714285714,89.34,20.744206987718,17.4357142857143,96.8
2021-05-09,77505,49.25,22.4628571428571,21.5771428571429,24.0842857142857,27.1057142857143,0.2,0.748571428571429,91.1685714285714,19.924257454046,15.52,96.9742857142857
2021-05-16,79401,5,22.5442857142857,21.7785714285714,24.9257142857143,28.4728571428571,0.211428571428571,0.745714285714286,87.3828571428571,20.0344201231983,18.6228571428571,96.9971428571429
2021-05-23,80066,74.03,23.1542857142857,22.2585714285714,25.05,28.4557142857143,0.221428571428571,0.702857142857143,89.7771428571429,20.7242729452448,14.1671428571429,97.0371428571429
2021-05-30,81424,3.05,22.7514285714286,21.9971428571429,25.4214285714286,29.4028571428571,0.208571428571429,0.832857142857143,86.1428571428571,20.3080406991465,19.0242857142857,96.9828571428571
2021-06-06,82766,12.81,22.79,22.0771428571429,25.2685714285714,28.8114285714286,0.235714285714286,0.774285714285714,86.7871428571429,20.2876754057311,16.2357142857143,96.9485714285714
2021-06-13,84372,9.89,22.4585714285714,21.6042857142857,25.3142857142857,29.7885714285714,0.224285714285714,0.89,85.4214285714286,20.0223617838834,17.3885714285714,96.95
2021-06-20,85555,19.38,22.1128571428571,21.4314285714286,24.95,29.0028571428571,0.242857142857143,0.835714285714286,85.2057142857143,19.5633313263912,15.6628571428571,97.1185714285714
2021-06-27,86965,32.13,21.8071428571429,21.3071428571429,24.5714285714286,28.4757142857143,0.2,0.725714285714286,85.66,19.2400086618065,12.8857142857143,97.0071428571429
2021-07-04,88457,34.06,21.6757142857143,20.8357142857143,24.4657142857143,27.9942857142857,0.24,0.765714285714286,85.33,19.0405044950501,14.2542857142857,97.14
2021-07-11,89530,13.77,21.2714285714286,20.29,24.3357142857143,28.7314285714286,0.201428571428571,0.837142857142857,84.2128571428571,18.6624369724262,14.9414285714286,97.1542857142857
2021-07-18,90102,20.09,21.3,20.4914285714286,24.34,28.6757142857143,0.177142857142857,0.792857142857143,84.3128571428571,18.6967499216117,15.9428571428571,97.0842857142857
2021-07-25,91499,2.15,21.5414285714286,20.9971428571429,24.8914285714286,29.3385714285714,0.198571428571429,0.924285714285714,82.8571428571429,18.9583677981065,14.2871428571429,97.1671428571428
2021-08-01,92182,5.55,20.9857142857143,20.45,24.6314285714286,29.0857142857143,0.202857142857143,0.824285714285714,81.4642857142857,18.3783884142181,15.6757142857143,97.1014285714286
2021-08-08,92512,32.83,22.1042857142857,21.3914285714286,24.2542857142857,27.6342857142857,0.177142857142857,0.812857142857143,88.6514285714286,19.5426003601338,12.6885714285714,97.2228571428571
2021-08-15,93303,4.47,21.8371428571429,21.3185714285714,25.3185714285714,29.6228571428571,0.215714285714286,0.838571428571429,82.3228571428571,19.2840544373722,17.1828571428571,97.09
2021-08-22,93786,52.31,22.1642857142857,21.5228571428571,24.2271428571429,27.6614285714286,0.185714285714286,0.887142857142857,89.0428571428571,19.6178307383605,15.3742857142857,97.0057142857143
2021-08-29,94611,51.42,22.6871428571429,21.7257142857143,25.0171428571429,29.0414285714286,0.208571428571429,0.84,87.7771428571429,20.2280865734062,18.0057142857143,96.8771428571429
2021-09-05,95116,67.48,22.5214285714286,21.45,24.5528571428571,27.7914285714286,0.22,0.814285714285714,89.1057142857143,19.996091515326,15.5114285714286,96.91
2021-09-12,95568,23.63,22.1871428571429,21.5485714285714,24.5285714285714,27.9571428571429,0.205714285714286,0.76,87.5342857142857,19.6212240969307,16.5,97.0785714285714
2021-09-19,95907,47.33,22.1885714285714,20.8828571428571,23.9971428571429,27.8228571428571,0.198571428571429,0.852857142857143,90.3128571428571,19.6457217690021,15.61,97.0471428571429
2021-09-26,98082,30.35,22.1857142857143,21.4528571428571,24.4528571428571,28.3057142857143,0.22,0.771428571428571,88.0285714285714,19.6445448642257,16.7642857142857,97.0185714285714
2021-10-03,100053,51.57,22.8085714285714,21.85,24.7571428571429,28.0742857142857,0.218571428571429,0.757142857142857,89.4714285714286,20.3149996254036,16.5614285714286,96.9014285714286
2021-10-10,103015,98.3,23.1171428571429,22.0014285714286,24.72,28.09,0.194285714285714,0.741428571428571,91.3485714285714,20.7016932083422,18.9771428571429,96.8957142857143
2021-10-17,107140,81.57,22.86,21.7442857142857,24.8128571428571,28.2142857142857,0.208571428571429,0.695714285714286,89.4657142857143,20.3813437678818,16.5528571428571,96.8971428571429
2021-10-24,113518,46.63,22.8585714285714,21.9228571428571,24.3714285714286,27.4585714285714,0.172857142857143,0.681428571428571,91.67,20.3681239830817,16.7014285714286,96.9857142857143
2021-10-31,119896,87.75,22.3828571428571,21.2657142857143,24.3042857142857,27.7985714285714,0.217142857142857,0.71,89.6171428571429,19.8370328402152,17.2542857142857,96.9814285714286
2021-11-07,124786,48.33,22.5157142857143,21.79,24.7185714285714,28.1871428571429,0.224285714285714,0.64,88.2657142857143,19.991602970258,16.48,96.9542857142857
2021-11-14,127071,59.63,22.8971428571429,21.8585714285714,24.7328571428571,28.2714285714286,0.215714285714286,0.725714285714286,90.1785714285714,20.4423190230478,17.5085714285714,96.8285714285714
