"Dates","cc","pr","tdew","tmin","tmoy","tmax","wspd","wspd10","rh","ah","insol","ps"
2020-03-22,2,0.05,18.89,22.775,26.605,31.98,3.4,4.285,64.625,16.2801904066272,22.215,98.4
2020-03-29,36,0.03,15.2428571428571,23.2414285714286,28.7485714285714,35.1214285714286,2.87571428571429,3.85714285714286,48.83,13.6084980700576,24.5242857142857,98.25
2020-04-05,144,0.03,20.3614285714286,24.6914285714286,29.4228571428571,35.5328571428571,3.16428571428571,4.00428571428571,61.7328571428571,18.1320828804917,22.7142857142857,98.3628571428572
2020-04-12,230,1.8,15.9971428571429,26.3285714285714,31.3242857142857,36.9985714285714,4.07857142857143,5.40428571428571,45.1714285714286,14.1111369840306,22.38,98.2328571428571
2020-04-19,251,22.1,19.72,24.5785714285714,28.3871428571429,33.5128571428571,3.14285714285714,3.93142857142857,61.34,17.1522375387554,22.9271428571429,98.3242857142857
2020-04-26,273,16.24,20.8371428571429,27.1442857142857,31.1285714285714,36.8714285714286,2.12285714285714,2.78428571428571,57.0885714285714,18.398340203216,23.7085714285714,98.2514285714286
2020-05-03,273,38.82,22.4128571428571,26.9357142857143,30.7885714285714,35.5628571428571,2.55571428571429,3.24,63.3471428571429,20.0299440461375,23.6,98.28
2020-05-10,273,0.64,20.8157142857143,28.2371428571429,32.8542857142857,38.49,2.44142857142857,3.16857142857143,52.5271428571429,18.4888985537545,23.5742857142857,98.2385714285714
2020-05-17,273,4.45,19.9857142857143,29.0342857142857,33.9457142857143,39.7542857142857,2.08571428571429,2.80571428571429,47.7028571428571,17.7465947742065,23.2257142857143,98.1642857142857
2020-05-24,273,3.68,17.7314285714286,29.4871428571429,33.8757142857143,38.9171428571429,3.00571428571429,4.06571428571429,40.6628571428571,15.1608301947502,20.7171428571429,98.1928571428571
2020-05-31,273,0.29,16.4157142857143,28.4557142857143,33.3214285714286,39.09,3.52,4.64571428571429,39.76,14.395797451867,26.2714285714286,98.1414285714286
2020-06-07,273,0.99,14.5642857142857,29.3014285714286,33.9485714285714,39.47,3.37857142857143,4.47857142857143,35.3642857142857,13.247514722605,23.5842857142857,98.0771428571429
2020-06-14,362,0.72,15.57,31.0142857142857,35.3714285714286,40.5771428571429,3.17142857142857,4.27857142857143,33.25,13.3814250408668,23.0385714285714,97.8542857142857
2020-06-21,931,1.23,19.1471428571429,31.7414285714286,35.2157142857143,39.7442857142857,3.84857142857143,5.02142857142857,40.8128571428571,16.3014985313027,22.92,97.8628571428571
2020-06-28,1123,0.4,16.0328571428571,31.1085714285714,35.3271428571429,40.5457142857143,3.77714285714286,5.02,34.4642857142857,13.8888034049143,23.8057142857143,97.7742857142857
2020-07-05,1457,1.02,17.5257142857143,32.1414285714286,36.1628571428571,41.8228571428571,4.43714285714286,5.78142857142857,36.0171428571429,15.1537858019683,21.4542857142857,97.6271428571429
2020-07-12,1573,1.49,18.2714285714286,31.9142857142857,35.4028571428571,40.2242857142857,4.01714285714286,5.22571428571429,38.4671428571429,15.5459863243856,21.83,97.77
2020-07-19,1700,9.84,18.8928571428571,31.48,35.4657142857143,40.5,3.95857142857143,5.13571428571429,39.9014285714286,16.1698787804108,21.74,97.7185714285714
