"Dates","cc","pr","tdew","tmin","tmoy","tmax","wspd","wspd10","rh","ah","insol","ps"
2020-03-15,2,8.85,22.25,22.63,27.04,32.53,0.14,0.645,77.185,19.9202721258356,18.71,95.65
2020-03-22,16,111.97,22.5914285714286,22.35,24.8528571428571,28.47,0.0814285714285714,0.601428571428571,88.3028571428571,20.1543185321825,15.7685714285714,95.73
2020-03-29,45,12.4,22.0171428571429,21.5414285714286,24.7971428571429,28.8528571428571,0.105714285714286,0.732857142857143,85.6242857142857,19.489719864165,19.0471428571429,95.7428571428571
2020-04-05,125,18.92,22.6728571428571,22.4085714285714,25.5228571428571,29.55,0.0728571428571429,0.65,85.5471428571429,20.2712366066436,17.6185714285714,95.6971428571429
2020-04-12,271,9.22,21.5528571428571,22.2614285714286,25.7557142857143,30.1157142857143,0.0828571428571429,0.588571428571429,79.1242857142857,18.9965114850485,15.7842857142857,95.7542857142857
2020-04-19,599,3.55,21.3142857142857,22.8971428571429,26.6771428571429,31.5814285714286,0.0671428571428571,0.58,74.2571428571429,18.7794519931697,18.1157142857143,95.7314285714286
2020-04-26,1133,8.16,20.6285714285714,22.3185714285714,26.53,31.6014285714286,0.0314285714285714,0.542857142857143,72.2214285714286,18.117057013059,16.5057142857143,95.7471428571429
2020-05-03,1947,28.58,21.6757142857143,22.3614285714286,25.9014285714286,30.7414285714286,0.0885714285714286,0.607142857142857,79.7142857142857,19.2569703163069,18.1942857142857,95.9214285714286
2020-05-10,3607,25.73,21.8714285714286,22.4214285714286,25.6714285714286,30.16,0.0742857142857143,0.63,81.42,19.4350321329578,13.7757142857143,95.7857142857143
2020-05-17,7622,8.64,21.3257142857143,22.1671428571429,26.2314285714286,31.1685714285714,0.1,0.652857142857143,76.4471428571429,18.8578608929576,17.7442857142857,95.89
2020-05-24,11664,20.61,21.6485714285714,22.3128571428571,25.6771428571429,30.07,0.0742857142857143,0.521428571428571,80.0985714285714,19.1302759077016,12.8914285714286,95.9457142857143
2020-05-31,17046,9.23,21.22,22.9557142857143,26.6442857142857,31.3985714285714,0.0814285714285714,0.577142857142857,74.1685714285714,18.7021242280191,13.9757142857143,95.83
2020-06-07,20618,12.94,20.6514285714286,21.69,25.5485714285714,30.7128571428571,0.0871428571428571,0.71,76.6785714285714,18.1826086469902,13.9642857142857,95.9514285714286
2020-06-14,23575,4.42,19.64,21.7571428571429,25.8285714285714,30.8742857142857,0.0385714285714286,0.561428571428571,70.8285714285714,17.0408033105037,12.11,95.9071428571429
2020-06-21,30000,17.43,20.0985714285714,22.0514285714286,25.5814285714286,30.3414285714286,0.0342857142857143,0.55,74.18,17.5222977755929,12.5628571428571,95.9714285714286
2020-06-28,35258,9.31,20.0028571428571,21.1571428571429,25.4614285714286,30.7428571428571,0.0242857142857143,0.557142857142857,74.2614285714286,17.5494013129466,12.78,95.8
2020-07-05,38674,13.74,20.0828571428571,21.4142857142857,25.5328571428571,30.9842857142857,0.0171428571428571,0.56,74.3385714285714,17.6287788330471,10.9342857142857,95.83
2020-07-12,41054,0.84,18.4257142857143,21.4042857142857,26.0657142857143,31.9585714285714,0.0157142857142857,0.707142857142857,65.1685714285714,15.9188498638332,11.9842857142857,95.8271428571429
2020-07-19,43239,2.88,18.7214285714286,21.3528571428571,25.2371428571429,30.5042857142857,0.00857142857142857,0.584285714285714,69.1871428571429,16.1268332671819,11.3385714285714,95.8985714285714
2020-07-26,46994,0.07,17.2585714285714,21.0485714285714,25.8014285714286,31.6871428571429,0.01,0.738571428571429,61.7857142857143,14.8363770590071,12.65,95.8342857142857
