"Dates","cc","pr","tdew","tmin","tmoy","tmax","wspd","wspd10","rh","ah","insol","ps"
2020-03-22,29,21.46,23.6616666666667,23.275,26.37,30.3616666666667,1.575,2.44666666666667,86.1033333333333,21.4102488238989,17.5183333333333,98.5783333333333
2020-03-29,29,41.34,22.66,22.3957142857143,25.5814285714286,29.5485714285714,1.17714285714286,1.82285714285714,84.84,20.1947405372818,17.73,98.6342857142857
2020-04-05,41,35.87,24.0028571428571,23.6314285714286,26.52,30.3371428571429,1.17857142857143,1.87571428571429,86.9385714285714,21.7865588205947,18.1442857142857,98.5285714285714
2020-04-12,188,46.93,23.9128571428571,23.22,26.02,29.2457142857143,1.09571428571429,1.80571428571429,88.7685714285714,21.6404300122596,16.47,98.6357142857143
2020-04-19,449,3.88,23.8728571428571,23.5171428571429,26.4785714285714,30.19,1.32571428571429,2.10857142857143,86.4371428571429,21.619398341578,17.0242857142857,98.5971428571429
2020-04-26,730,28.16,22.8628571428571,22.53,25.8,29.6671428571429,1.25857142857143,1.97,84.8742857142857,20.4417146383811,18.3485714285714,98.6785714285714
2020-05-03,986,44.79,23.6842857142857,23.0342857142857,26.3985714285714,30.5585714285714,1.24142857142857,1.95857142857143,86.0457142857143,21.4240204741559,18.8371428571429,98.7885714285714
2020-05-10,1259,23.93,24.1057142857143,23.5942857142857,26.4114285714286,30.2828571428571,1.50714285714286,2.33285714285714,87.8742857142857,21.901521029551,17.44,98.6285714285714
2020-05-17,1497,57.84,24.0814285714286,23.5114285714286,26.1414285714286,29.6014285714286,1.17,1.87714285714286,89,21.8486325031622,16.6585714285714,98.7257142857143
2020-05-24,1670,35.6,23.6528571428571,22.6585714285714,25.9571428571429,30.03,1.45428571428571,2.27142857142857,87.8842857142857,21.3521926016039,16.82,98.8514285714286
2020-05-31,1884,80.75,23.6271428571429,22.8342857142857,25.4942857142857,28.9657142857143,1.31428571428571,2.05428571428571,90.0257142857143,21.2992347713518,16.0742857142857,98.7257142857143
2020-06-07,2211,88.95,23.3742857142857,22.6071428571429,25.2914285714286,28.6714285714286,1.22571428571429,1.94857142857143,89.6785714285714,20.9905888476403,18.1142857142857,98.8471428571429
2020-06-14,2786,141.3,22.9342857142857,22.1957142857143,24.7957142857143,28.3057142857143,1.47,2.29,89.95,20.4703332912442,18.1071428571429,98.8142857142857
2020-06-21,3705,19.93,23.0957142857143,22.1885714285714,25.0028571428571,28.8171428571429,1.57142857142857,2.41285714285714,89.66,20.6536713575978,17.4928571428571,98.8685714285714
2020-06-28,4639,109.84,22.9328571428571,22.0528571428571,24.7385714285714,28.7185714285714,1.87428571428571,2.79714285714286,90.1442857142857,20.4529640915631,14.0514285714286,98.6957142857143
2020-07-05,5607,35.78,22.2442857142857,21.3,24.05,28.03,2.09714285714286,3.14,90.1257142857143,19.6662361977381,13.1071428571429,98.7285714285714
