"Dates","cc","pr","tdew","tmin","tmoy","tmax","wspd","wspd10","rh","ah","insol","ps"
2020-05-17,5,0.86,-3.644,-0.454,4.844,12.09,1.826,2.806,57.388,3.84287972903583,15.492,77.66
2020-05-24,10,0.02,-1.53,1.78571428571429,6.77857142857143,14.0628571428571,1.21571428571429,1.85571428571429,57.9371428571429,4.41753742829195,14.9028571428571,77.9957142857143
2020-05-31,14,0.22,-3.38714285714286,-2.38857142857143,2.56428571428571,9.59,2.35714285714286,3.46714285714286,68.08,3.99955573560047,13.6871428571429,77.3742857142857
2020-06-07,24,0,-5.02714285714286,2.31428571428571,7.23571428571429,14.9742857142857,1.15857142857143,1.72714285714286,42.9371428571429,3.36868996599213,14.76,77.9985714285714
2020-06-14,28,0.3,-6.39428571428571,-3.14571428571429,1.36142857142857,7.89,2.62285714285714,3.83571428571429,59.9628571428571,3.21054549592692,14.0828571428571,77.5528571428571
2020-06-21,28,0.47,-5.17571428571429,-2.48571428571429,1.91142857142857,8.87571428571429,1.17285714285714,1.78428571428571,62.4285714285714,3.4833395013945,13.4542857142857,78.0071428571429
2020-06-28,138,0.11,-5.04142857142857,-1.3,3.26142857142857,10.6842857142857,1.85285714285714,2.76,58.0171428571429,3.43260555166845,14.6385714285714,77.5714285714286
2020-07-05,273,0.01,-6.18142857142857,-0.935714285714286,4.00285714285714,12.1071428571429,1.43714285714286,2.14,50.9014285714286,3.22527531801406,14.65,77.8585714285714
2020-07-12,1008,1.53,-4.38714285714286,-2.14714285714286,3.22142857142857,10.58,3.68428571428571,5.47285714285714,63.7757142857143,3.85785487320144,12.7728571428571,77.4728571428571
2020-07-19,2042,0.34,-10.0385714285714,-2.22,2.96857142857143,10.7342857142857,2.19571428571429,3.21285714285714,42.2685714285714,2.34921624309363,15.3742857142857,77.9814285714286
2020-07-26,2719,0,-9.68,0.238571428571429,4.96714285714286,12.8828571428571,1.44142857142857,2.10142857142857,35.85,2.37855994345917,16.2157142857143,77.9185714285714
2020-08-02,4214,0.01,-5.95285714285714,-0.445714285714286,5.07,13.2257142857143,1.93285714285714,2.87285714285714,50.0885714285714,3.29462552753033,16.71,77.9342857142857
2020-08-09,5138,0.19,-5.16285714285714,-2.63285714285714,3.93285714285714,12.47,3.19571428571429,4.75571428571429,56.9471428571429,3.5598883884768,16.6757142857143,77.6671428571428
2020-08-16,5934,0.48,-8.76714285714286,-3.11285714285714,3.52142857142857,12.6085714285714,2.79714285714286,4.17285714285714,45.3757142857143,2.75378445221178,19.2542857142857,77.3242857142857
2020-08-23,6879,2.78,-9.39142857142857,-4.15714285714286,2.49285714285714,10.6542857142857,2.46428571428571,3.54428571428571,45.1785714285714,2.56438419440751,19.4085714285714,77.4257142857143
2020-08-30,7353,1.13,-4.15857142857143,0.00571428571428563,5.91142857142857,13.6257142857143,3.45428571428571,5.01857142857143,52.2942857142857,3.83460511391664,18.2528571428571,77.1514285714286
2020-09-06,7784,22.53,-0.0142857142857142,1.32714285714286,8.02,16.06,3.01857142857143,4.29142857142857,62.8328571428571,5.34494521572572,16.79,77.7628571428571
2020-09-13,8359,1.39,-0.417142857142857,5.34,11.7471428571429,20.0257142857143,2.43,3.51,47.4642857142857,4.95410428319275,22.9585714285714,77.87
2020-09-20,9430,0.26,-7.32428571428571,2.35285714285714,9.72428571428572,18.54,3.32,4.89142857142857,33.2328571428571,3.05582051020357,23.2157142857143,77.3971428571429
2020-09-27,10583,0.18,-5.58,1.79428571428571,9.60857142857143,18.2342857142857,2.82428571428571,4.11857142857143,37.8742857142857,3.59133393105493,25.1428571428571,77.3985714285714
2020-10-04,11418,17.4,-4.47428571428571,0.441428571428571,7.97142857142857,16.0828571428571,3.09285714285714,4.42142857142857,48.5085714285714,4.17397951914032,23.9928571428571,77.3157142857143
2020-10-11,12324,1.31,0.372857142857143,3.91285714285714,11.7085714285714,19.9671428571429,2.28714285714286,3.26714285714286,51.8057142857143,5.47106405283016,23.1114285714286,77.3542857142857
2020-10-18,12792,0.07,-3.13142857142857,6.73571428571429,14.69,23.6028571428571,2.77142857142857,3.97714285714286,33.0442857142857,4.067421827201,28.3657142857143,77.66
2020-10-25,13406,4.51,3.38571428571429,9.60571428571428,17.7557142857143,26.3771428571429,2.71857142857143,3.94,43.9642857142857,6.63392970649232,24.8271428571429,77.64
2020-11-01,13643,89.12,8.08,8.34,14.0871428571429,20.2342857142857,2.8,3.93714285714286,71.3114285714286,8.57888559627947,16.6542857142857,77.6028571428571
2020-11-08,13749,24.73,6.26714285714286,6.77142857142857,13.5085714285714,20.4671428571429,3.15142857142857,4.54428571428571,65.8114285714286,7.65585699912912,25.1728571428571,77.3185714285714
2020-11-15,14168,37.31,7.60285714285714,8.25714285714286,13.88,20.0271428571429,2.23857142857143,3.21,68.6871428571429,8.19520167776349,22.79,77.59
2020-11-22,14453,27.93,9.47571428571429,9.15857142857143,14.3871428571429,20.0042857142857,2.95571428571429,4.23857142857143,75.4914285714286,9.31135838806874,22.9385714285714,77.2914285714286
2020-11-29,14706,34.62,3.57,6.24714285714286,12.8885714285714,19.2885714285714,3.45142857142857,5.02285714285714,58.1771428571429,6.57051637832046,27.4914285714286,77.2985714285714
2020-12-06,14983,13.15,4.73142857142857,5.72714285714286,12.5857142857143,19.4757142857143,2.81285714285714,4.18142857142857,64.0071428571429,7.04451095919787,27.8985714285714,77.2928571428571
2020-12-13,15356,55.14,9.63142857142857,8.81142857142857,14.5028571428571,20.1057142857143,2.93,4.30714285714286,75.1171428571429,9.33338433947317,21.2728571428571,77.3914285714286
2020-12-20,16987,9.99,10.2642857142857,10.5828571428571,16.3257142857143,21.6428571428571,1.91285714285714,2.77571428571429,69.5914285714286,9.64712769394033,26.7542857142857,77.4471428571429
2020-12-27,18717,34.59,9.52,10.2657142857143,16.2128571428571,21.9,2.47571428571429,3.60285714285714,67.81,9.33134148996107,25.0614285714286,77.27
2021-01-03,21767,24.54,11.0342857142857,10.9642857142857,15.91,20.9371428571429,1.97857142857143,2.89142857142857,74.83,10.1592856771093,18.4657142857143,77.5185714285714
2021-01-10,31210,40.83,11.1014285714286,10.78,15.7785714285714,21.3628571428571,1.69285714285714,2.41,76.1457142857143,10.2014424574287,18.9071428571429,77.2671428571429
2021-01-17,43584,35.78,11.2528571428571,11.5985714285714,15.5757142857143,20.6414285714286,1.84571428571429,2.65857142857143,77.9542857142857,10.3473891999983,19.3228571428571,77.2328571428571
2021-01-24,51442,3.88,9.98571428571429,11.2571428571429,17.8757142857143,24.2357142857143,1.44142857142857,2.05,62.5257142857143,9.54500635197267,27.0585714285714,77.4242857142857
2021-01-31,58339,93.43,10.8657142857143,10.6271428571429,14.9242857142857,19.6642857142857,2.03714285714286,2.92857142857143,78.2771428571429,9.99668986529985,17.4542857142857,77.2671428571429
2021-02-07,63714,42.4,10.81,10.1,14.8114285714286,20.1757142857143,1.52571428571429,2.25142857142857,79.4557142857143,10.0822200938998,18.4385714285714,77.4628571428571
2021-02-14,68390,15.47,10.81,10.8185714285714,16.52,22.6214285714286,1.28428571428571,1.89571428571429,71.9385714285714,10.1081511128904,24.7614285714286,77.2942857142857
2021-02-21,72811,10.06,5.72142857142857,7.18571428571429,14.4371428571429,21.7285714285714,2.47571428571429,3.66857142857143,59.8214285714286,7.3834597047758,27.2557142857143,77.1842857142857
2021-02-28,73341,28.93,9.10428571428571,8.87714285714286,13.6971428571429,19.0642857142857,1.60428571428571,2.36,76.1514285714286,8.999091780853,18.2871428571429,77.4357142857143
2021-03-07,73604,1.91,4.71,8.28285714285714,14.69,21.8271428571429,1.76857142857143,2.65285714285714,55.3742857142857,6.98977027139283,26.0171428571429,77.4628571428571
2021-03-14,73689,3.03,5.23571428571429,7.71571428571429,15.1214285714286,22.8171428571429,2.48285714285714,3.79571428571429,55.5714285714286,7.20550479807054,25.2657142857143,77.3985714285714
2021-03-21,73725,13.3,6.90142857142857,7.84428571428571,13.4214285714286,19.89,1.8,2.64428571428571,67.9185714285714,7.87203335554543,18.5785714285714,77.3985714285714
2021-03-28,74653,24.05,4.39,6.33714285714286,11.2442857142857,17.4471428571429,1.60857142857143,2.39857142857143,66.7942857142857,6.71652552042835,16.7728571428571,77.3571428571429
2021-04-04,74904,1.36,5.03142857142857,7.08571428571429,12.3571428571429,19.2028571428571,1.86142857142857,2.78,65.0885714285714,7.08525992176076,20.0871428571429,77.6371428571429
2021-04-11,74949,2.14,3.90857142857143,8.45142857142857,13.9757142857143,21.0528571428571,1.63428571428571,2.36571428571429,54.74,6.50069573269955,19.6942857142857,77.7985714285714
2021-04-18,74963,0.21,1.39857142857143,6.98285714285714,12.8971428571429,20.8185714285714,1.74857142857143,2.62285714285714,50.0971428571429,5.66444978099993,19.8442857142857,77.9542857142857
2021-04-25,75057,3.79,-0.101428571428571,3.61285714285714,9.65142857142857,17.1014285714286,1.80285714285714,2.70857142857143,56.56,5.23073203929106,16.6042857142857,77.6628571428571
2021-05-02,75112,26.84,1.61571428571429,2.25428571428571,8.89428571428572,16.4171428571429,2.04857142857143,3.17857142857143,64.6414285714286,5.62942345211281,14.1385714285714,77.48
2021-05-09,75259,4.21,0.348571428571429,2.07285714285714,7.68142857142857,15.28,1.76857142857143,2.71428571428571,64.1414285714286,5.17180951398757,15.5442857142857,77.6185714285714
2021-05-16,75448,0,-2.65714285714286,1.70714285714286,7.55142857142857,16.0371428571429,2.25285714285714,3.49,52.4728571428571,4.17554534249569,17.16,77.6
2021-05-23,75635,0.69,-4.02571428571429,-0.961428571428571,4.60142857142857,12.3857142857143,2.37285714285714,3.57571428571429,58.5914285714286,3.8978735598984,15.5242857142857,77.6771428571429
2021-05-30,75771,0,-3.32857142857143,0.388571428571429,5.24571428571429,13.3414285714286,1.69,2.6,57.4885714285714,4.00905880203476,15.2085714285714,77.6185714285714
2021-06-06,75840,8.43,-5.79,-3.97142857142857,1.57714285714286,8.47571428571429,2.48428571428571,3.70857142857143,64.5171428571429,3.43059481283829,11.0314285714286,77.6414285714286
2021-06-13,75994,0.08,-1.46142857142857,-0.47,4.10142857142857,11.49,1.59571428571429,2.42,70.7757142857143,4.50148176968735,12.7071428571429,77.7971428571429
2021-06-20,76918,0,-1.72142857142857,-0.274285714285714,5.14285714285714,12.6757142857143,1.71714285714286,2.67142857142857,65.1585714285714,4.47932395114132,12.7714285714286,77.86
2021-06-27,78217,0.41,-5.06428571428571,-1.33571428571429,3.37857142857143,10.7928571428571,2.34428571428571,3.60285714285714,57.6985714285714,3.56693909090602,13.4214285714286,77.4757142857143
2021-07-04,80023,9.54,-4.90714285714286,-0.621428571428571,4.37714285714286,12.2842857142857,3.49571428571429,5.25857142857143,54.86,3.5604590325854,14.2485714285714,77.5414285714286
2021-07-11,81936,0.02,-4.56571428571429,-1.80428571428571,3.27,10.9571428571429,2.25142857142857,3.45,61.2942857142857,3.69928087980571,14.2128571428571,77.8042857142857
2021-07-18,85310,152.2,-10.1871428571429,-10.9185714285714,-4.57571428571429,2.13,2.14571428571429,3.27,67.6257142857143,2.33906162875686,15.65,77.77
2021-07-25,88451,450.26,-10.13,-11.2985714285714,-5.50857142857143,0.151428571428571,1.67,2.61285714285714,72.6085714285714,2.3423367658671,16.1242857142857,77.86
2021-08-01,90974,0,-8.63428571428571,-6.40142857142857,-2.39142857142857,1.70571428571429,0.924285714285714,1.57571428571429,64.0628571428571,2.60908359584554,16.7985714285714,78.0357142857143
2021-08-08,95221,0.72,-6.18285714285714,-3.66,-0.264285714285714,2.66857142857143,1.10285714285714,2.01285714285714,64.83,3.08791761249125,17.1071428571429,77.8457142857143
2021-08-15,98124,45.48,-2.46,-4.33571428571429,-0.862857142857143,1.59571428571429,2.17714285714286,3.47285714285714,89.8842857142857,4.13281960735913,13.3371428571429,77.66
2021-08-22,100538,2.57,-2.43714285714286,-2.78428571428571,0.631428571428571,3.52857142857143,1.63428571428571,2.76428571428571,81,4.14741889914511,16.22,77.4271428571429
2021-08-29,100732,23.45,-0.295714285714286,-1.38857142857143,3.47571428571429,8.13285714285714,3.28714285714286,4.84285714285714,77.9557142857143,4.92225076264899,14.6485714285714,77.3585714285714
2021-09-05,100765,6.77,0.348571428571428,1.35,6.60714285714286,13.1514285714286,2.94285714285714,4.50571428571429,65.73,5.11767263000132,19.2528571428571,77.4671428571429
2021-09-12,100765,8.73,2.40571428571429,2.22142857142857,7.83,14.2185714285714,1.87857142857143,2.75714285714286,70.7414285714286,5.74608892381476,18.7442857142857,77.8628571428572
2021-09-19,100765,10.57,0.0271428571428571,0.467142857142857,6.98714285714286,14.2128571428571,2.64,3.99,64.4642857142857,4.94383809485097,21.5657142857143,77.4442857142857
2021-09-26,100765,8.9,2.81142857142857,3.94571428571429,10.41,17.1642857142857,2.03,2.98285714285714,61.4914285714286,5.92520924691693,23.4014285714286,77.6971428571429
2021-10-03,121598,71.38,5.12571428571429,4.78285714285714,9.97571428571429,15.2828571428571,3.32142857142857,4.8,74.3228571428571,6.9952289182227,16.5614285714286,77.2257142857143
2021-10-10,149927,2.4,0.627142857142857,1.83714285714286,8.67714285714286,15.7628571428571,2.39142857142857,3.50142857142857,60.3042857142857,5.24673635085754,25.2614285714286,77.43
2021-10-17,150490,4.18,1.95,4.02285714285714,11.1171428571429,18.6,2.65428571428571,4,55.6614285714286,5.66063619649247,26.6242857142857,77.42
2021-10-24,150965,4.16,0.822857142857143,2.17857142857143,8.86857142857143,16.0571428571429,2.47571428571429,3.62,60.3942857142857,5.32600598231052,24.7785714285714,77.4528571428571
2021-10-31,151306,33.77,5.93142857142857,4.52571428571429,10.23,16.2457142857143,2.39,3.45142857142857,77.41,7.41579822659025,20.7414285714286,77.5171428571429
2021-11-07,151637,2.04,1.95142857142857,5.60714285714286,12.6242857142857,19.8942857142857,2.95571428571429,4.39571428571429,50.84,5.66985176058207,30.0157142857143,77.2514285714286
2021-11-14,151811,13.51,3.29428571428571,6.09,12.8071428571429,19.5157142857143,2.60714285714286,3.75571428571429,56.1685714285714,6.21293801676806,27.4542857142857,77.3328571428572
2021-11-21,152007,5.31,3.61571428571429,6.04714285714286,13.51,20.73,2.89571428571429,4.21,54.92,6.39621781945594,28.0742857142857,77.16
2021-11-28,152201,44.7,6.79142857142857,6.09428571428571,11.1171428571429,16.4,3.38142857142857,4.79857142857143,77.0185714285714,7.80136601937869,18.64,77.2857142857143
2021-12-05,152675,29.35,7.40142857142857,8.33714285714286,13.96,20.0014285714286,3.07428571428571,4.50857142857143,68.6785714285714,8.22728812103944,22.9814285714286,77.3785714285714
2021-12-12,155350,33.81,8.62,8.02714285714286,14.13,20.1385714285714,2.78142857142857,4.06714285714286,72.2871428571429,8.81150386524525,22.9114285714286,77.5214285714286
2021-12-19,168265,49.46,8.81714285714286,7.52285714285714,12.92,18.2057142857143,3.02285714285714,4.31428571428571,78.4614285714286,8.87813587429661,19.0314285714286,77.3742857142857
2021-12-26,186937,51.91,8.91142857142857,7.97714285714286,12.5657142857143,17.2528571428571,2.30857142857143,3.36714285714286,79.92,8.82045524770211,20.4085714285714,77.3057142857143
2022-01-02,200671,19.75,6.88142857142857,7.16,13.02,18.43,2.78,4.05142857142857,68.5985714285714,7.72236477414673,23.56,77.2357142857143
2022-01-09,212606,32.33,9.34571428571429,8.55,14.5428571428571,19.99,2.12571428571429,3.14857142857143,73.4471428571429,9.16651223068041,23.4642857142857,77.4828571428571
2022-01-16,220526,51.35,12.21,11.1314285714286,15.2742857142857,20.18,1.73571428571429,2.57571428571429,83.6185714285714,10.8878973024233,15.58,77.42
2022-01-23,223113,9.24,9.22714285714286,8.78571428571429,15.1071428571429,21.64,1.73142857142857,2.63142857142857,72.2228571428571,9.38743100113006,28.8828571428571,77.6871428571429
2022-01-30,224724,6.86,9.66571428571429,10.1642857142857,16.1785714285714,22,1.36428571428571,1.96428571428571,67.6514285714286,9.32396749693338,21.3528571428571,77.5142857142857
2022-02-06,225642,46,11.3985714285714,10.6771428571429,15.7314285714286,21.1085714285714,1.77142857142857,2.58714285714286,77.4542857142857,10.3647912191684,20.1085714285714,77.4942857142857
2022-02-13,226538,11.65,8.67714285714286,10.83,16.3942857142857,22.3271428571429,1.52714285714286,2.24857142857143,62.9642857142857,8.74426093526878,25.5857142857143,77.4957142857143
2022-02-20,227038,19.25,10.1014285714286,9.6,15.1885714285714,21.1142857142857,1.67428571428571,2.50285714285714,74.5271428571429,9.65178011746634,19.6828571428571,77.5242857142857
2022-02-27,228067,15.55,6.64,9.13571428571429,15.5814285714286,21.6957142857143,1.75285714285714,2.53714285714286,58.5542857142857,7.73064790383692,24.1285714285714,77.4885714285714
2022-03-06,228664,34.82,8.82285714285714,9.64,15.4885714285714,21.5057142857143,1.77714285714286,2.66857142857143,68.2228571428571,8.9383794222076,18.4971428571429,77.4171428571429
2022-03-13,229003,10.17,9.07285714285714,9.17571428571429,14.5157142857143,20.6642857142857,1.47285714285714,2.20142857142857,73.0271428571429,9.08303576935889,18.0842857142857,77.5014285714286
2022-03-20,229425,29.1,7.75571428571429,8.22142857142857,12.7485714285714,18.1571428571429,1.26857142857143,1.84285714285714,74.1614285714286,8.26882417325234,15.5928571428571,77.5271428571429
