"Dates","cc","pr","tdew","tmin","tmoy","tmax","wspd","wspd10","rh","ah","insol","ps"
2020-03-22,9,59.71,17.8766666666667,17.01,20.4533333333333,25.3233333333333,2.09666666666667,3.11,86.1033333333333,15.2910561554963,20.2833333333333,87.27
2020-03-29,162,19.68,16.55,14.6557142857143,19.6728571428571,25.4371428571429,2.21,3.34142857142857,83.6771428571429,14.199017531436,22.2042857142857,87.1114285714286
2020-04-05,428,12.53,16.4728571428571,14.9457142857143,19.5671428571429,25.1428571428571,1.64857142857143,2.55857142857143,83.6328571428571,14.1033557873866,20.0142857142857,87.03
2020-04-12,657,171.23,15.8085714285714,14.3985714285714,18.7271428571429,24.2742857142857,2.63714285714286,3.96428571428571,84.3628571428572,13.5338055967197,22.02,87.4028571428571
2020-04-19,793,104.54,14.7157142857143,13.0771428571429,17.3671428571429,23.0442857142857,3.61714285714286,5.42,85.59,12.6775129373986,22.6085714285714,87.41
2020-04-26,853,39,15.6342857142857,14.25,18.1985714285714,23.4942857142857,2.59285714285714,3.94142857142857,86.0171428571429,13.3687951196953,17.1842857142857,87.2342857142857
2020-05-03,928,4.72,15.83,14.2528571428571,18.7128571428571,24.3957142857143,2.1,3.17,84.5257142857143,13.5394856601371,20.4957142857143,87.5114285714286
2020-05-10,1230,2.61,15.0128571428571,13.8185714285714,18.1314285714286,23.2785714285714,1.81428571428571,2.82,83.26,12.8855506762797,18.1871428571429,87.4142857142857
2020-05-17,1639,1.14,13.7285714285714,12.0314285714286,16.5457142857143,22.6428571428571,1.92857142857143,3.07714285714286,84.4457142857143,11.9114588340124,17.4771428571429,87.3642857142857
2020-05-24,2887,2.65,11.5842857142857,10.7914285714286,15.09,21.1414285714286,3.03571428571429,4.59,81.2057142857143,10.4751324205335,19.4571428571429,87.6614285714286
2020-05-31,4623,1.65,13.2985714285714,11.68,16.7671428571429,22.9471428571429,1.57428571428571,2.52571428571429,81.5714285714286,11.6426059584221,18.3471428571429,87.5514285714286
2020-06-07,6589,17.31,12.2228571428571,11.1985714285714,15.3542857142857,21.2542857142857,3.23857142857143,4.81571428571429,83.1614285714286,10.9165524674056,16.8971428571429,87.65
