"Dates","cc","pr","tdew","tmin","tmoy","tmax","wspd","wspd10","rh","ah","insol","ps"
2020-03-29,53,0,0.344,18.614,26.16,34.254,2.652,3.78,19.462,4.86598089559686,24.61,97.912
2020-04-05,245,0,-2.14571428571429,21.4614285714286,29.44,38.5914285714286,2.83428571428571,4.10142857142857,13.9914285714286,4.14359989151411,27.1014285714286,97.79
2020-04-12,515,0.01,-5.76714285714286,21.95,30.3071428571429,39.3185714285714,2.41571428571429,3.53571428571429,9.83,3.09151547002768,26.5542857142857,97.7642857142857
2020-04-19,1197,6.38,10.9742857142857,24.5371428571429,30.5542857142857,37.1542857142857,3.59714285714286,4.83428571428571,33.8742857142857,10.2370265438392,21.4385714285714,97.8285714285714
2020-04-26,2190,0,0.94,24.8257142857143,31.7942857142857,39.4128571428571,3.48571428571429,4.73,14.6071428571429,4.88569869454728,25.0471428571429,97.7
2020-05-03,3419,0,1.32285714285714,25.92,33.35,41.5457142857143,4.91,6.53285714285714,13.8928571428571,5.04576805782155,27.4257142857143,97.8442857142857
2020-05-10,4537,0,-2.23857142857143,25.9614285714286,34.09,42.5542857142857,2.44142857142857,3.56857142857143,10.15,3.84321424543129,27.1757142857143,97.6471428571429
2020-05-17,5480,0,4.13,27.3014285714286,34.2528571428571,41.32,3.20857142857143,4.27285714285714,16.9557142857143,6.42445660418578,26.39,97.7228571428571
2020-05-24,6667,0,-0.792857142857143,24.7457142857143,32.1971428571429,40.0557142857143,3.51428571428571,4.8,12.5357142857143,4.28696879116524,27.56,97.8685714285714
2020-05-31,8187,2.56,8.75571428571429,28.4814285714286,34.6557142857143,40.6085714285714,2.32285714285714,3.22285714285714,22.0628571428571,8.6962689332153,21.12,97.8028571428571
2020-06-07,10054,0,12.5228571428571,29.6971428571429,35.7628571428571,41.7442857142857,3.55857142857143,4.66714285714286,27.6071428571429,11.1790366559243,24.5542857142857,97.7271428571429
2020-06-14,11859,0.12,11.0842857142857,30.0828571428571,36.3942857142857,42.9071428571429,3.27714285714286,4.30857142857143,24.1342857142857,10.2048231936663,25.3657142857143,97.6742857142857
2020-06-21,13330,2.6,11.7542857142857,29.7528571428571,35.9528571428571,42.6871428571429,3.13285714285714,4.16285714285714,27.76,11.334139833646,25.9571428571429,97.7357142857143
2020-06-28,14308,0,11.3385714285714,29.87,37.0057142857143,43.58,2.11428571428571,2.88142857142857,23.6328571428571,10.3455111584881,27.6214285714286,97.4914285714286
2020-07-05,15734,35.8,15.6685714285714,28.3014285714286,34.59,40.8314285714286,3.16857142857143,4.10857142857143,36.3214285714286,13.9078397132442,27.0928571428571,97.59
2020-07-12,16628,26.37,16.32,28.0871428571429,34.0928571428571,40.1671428571429,3.19285714285714,4.15714285714286,39.7585714285714,14.6336515333835,26.7928571428571,97.5871428571429
2020-07-19,17122,20.52,19.5371428571429,27.4485714285714,32.4285714285714,37.9071428571429,3.22571428571429,4.13285714285714,48.9385714285714,16.8095382115961,24.0928571428571,97.6785714285714
2020-07-26,17456,3.69,18.81,27.4171428571429,33.0842857142857,38.8385714285714,3.52571428571429,4.53857142857143,45.4357142857143,16.2116853478648,23.03,97.6114285714286
2020-08-02,17687,4.9,18.7528571428571,26.8485714285714,32.3342857142857,37.6714285714286,3.31285714285714,4.27857142857143,47.4028571428571,16.1504085752389,25.4242857142857,97.7542857142857
2020-08-09,17877,50.49,22.0785714285714,26.0285714285714,30.0257142857143,34.2814285714286,3.65285714285714,4.67571428571429,64.2971428571429,19.4751049475511,20.2071428571429,97.8071428571428
2020-08-16,18180,5.94,20.7985714285714,26.5871428571429,31.5814285714286,36.9742857142857,3.05285714285714,3.94571428571429,55.58,18.1915911112698,25.5985714285714,97.6585714285714
2020-08-23,18732,13.17,20.83,26.6157142857143,31.7514285714286,37.2528571428571,2.76571428571429,3.58,55.0271428571429,18.3087413880704,22.3457142857143,97.5928571428571
2020-08-30,19134,39.01,21.18,25.4214285714286,29.3828571428571,33.6285714285714,2.91714285714286,3.75,63.2128571428571,18.5020628731738,21.6142857142857,97.7157142857143
2020-09-06,19651,31.59,20.8985714285714,24.6985714285714,28.99,33.3542857142857,2.16571428571429,2.84285714285714,63.6614285714286,18.231768039246,22.6071428571429,97.83
2020-09-13,20311,6.41,20.3014285714286,24.8114285714286,30.0371428571429,35.7314285714286,2.19428571428571,2.97714285714286,58.5342857142857,17.7697544613929,24.2971428571429,97.8385714285714
2020-09-20,20817,6.41,19.6628571428571,25.0371428571429,30.6514285714286,36.6642857142857,2.59,3.45857142857143,54.7942857142857,17.1469631452231,22.49,97.8957142857143
2020-09-27,21359,1.03,17.6114285714286,25.2714285714286,31.1971428571429,37.6742857142857,2.04,2.87571428571429,47.6071428571429,15.355531207716,24.5014285714286,97.8685714285714
2020-10-04,21950,4.8,18.7257142857143,25.13,30.5728571428571,36.82,2.41857142857143,3.31428571428571,53.0271428571429,16.4516796619404,23.4871428571429,97.7728571428571
2020-10-11,22636,18.56,14.9571428571429,24.1885714285714,29.9,36.1642857142857,2.62285714285714,3.58714285714286,44.2414285714286,13.1011746352574,21.8685714285714,97.9757142857143
2020-10-18,23458,0,10.4171428571429,23.1771428571429,29.9514285714286,37.8114285714286,2.15714285714286,3.12428571428571,32.1314285714286,9.67573894780458,24,97.9214285714286
2020-10-25,24092,0,5.93571428571429,20.4514285714286,27.5814285714286,36.4542857142857,2.84714285714286,4.19714285714286,27.2857142857143,7.2982693437994,23.6857142857143,98.0171428571429
2020-11-01,24745,0,2.70142857142857,17.6685714285714,25.3371428571429,34.3585714285714,2.46571428571429,3.72571428571429,24.5442857142857,5.75478266447562,23.4714285714286,98.0514285714286
2020-11-08,25438,0,6.15142857142857,18.7471428571429,25.5414285714286,33.5057142857143,2.64571428571429,3.87714285714286,30.7142857142857,7.3561165397439,20.6957142857143,98.1857142857143
2020-11-15,26576,0,2.84,15.5628571428571,22.7957142857143,31.6114285714286,3.07571428571429,4.51142857142857,28.65,5.82630971283623,21.7857142857143,98.3271428571429
2020-11-22,28684,0,1.24142857142857,15.2228571428571,22.0042857142857,30.8285714285714,3.04857142857143,4.40571428571429,26.5428571428571,5.15364217350024,20.24,98.1771428571429
2020-11-29,31623,0,-0.307142857142857,13.5185714285714,19.8985714285714,27.65,2.73571428571429,3.92714285714286,27.3314285714286,4.71922160350831,20.6785714285714,98.1571428571429
2020-12-06,34324,0,5.38,17.8228571428571,24.2671428571429,32.55,2.42142857142857,3.50571428571429,31.5285714285714,6.89458071221421,19.56,98.15
2020-12-13,38961,0,1.32,14.6414285714286,21.1585714285714,29.6671428571429,2.92714285714286,4.09714285714286,28.2585714285714,5.24710617214727,19.7671428571429,98.2642857142857
2020-12-20,42207,0,2.48428571428571,15.7871428571429,22.5728571428571,31.13,2.43571428571429,3.58857142857143,28.0342857142857,5.65018869381581,19.2971428571429,98.1
2020-12-27,45002,0,1.56,13.0528571428571,19.8528571428571,28.5014285714286,3.06285714285714,4.35571428571429,31.5357142857143,5.45858331244968,17.7671428571429,98.2128571428571
2021-01-03,49300,0,2.16857142857143,16.31,22.4514285714286,30.0328571428571,2.24714285714286,3.29428571428571,27.4114285714286,5.48301538552973,19.0171428571429,98.0714285714286
2021-01-10,52108,0,-2.17428571428571,15.2457142857143,22.7185714285714,31.8728571428571,2.60857142857143,3.85571428571429,20.1057142857143,4.04739767545491,20.4271428571429,98.06
2021-01-17,54310,0,-3.54428571428571,13.2357142857143,19.4428571428571,28.06,4.23571428571429,5.73142857142857,22.25,3.7673490980947,19.5671428571429,98.29
2021-01-24,55428,0,-6.34714285714286,11.8457142857143,19.3342857142857,29.0185714285714,3.35714285714286,4.76714285714286,17.6785714285714,2.96975372332388,21.5,98.3357142857143
