"Dates","cc","pr","tdew","tmin","tmoy","tmax","wspd","wspd10","rh","ah","insol","ps"
2020-03-15,2,4.54,16.85,15.46,20.345,25.75,1.085,1.895,82.03,14.4680929596416,20.475,83.855
2020-03-22,81,65.18,16.9642857142857,16.51,20.2228571428571,24.9871428571429,1.01285714285714,1.74428571428571,83.1071428571429,14.5426253333234,17.1628571428571,83.8685714285714
2020-03-29,351,114.83,16.14,15.3328571428571,18.9928571428571,23.3971428571429,0.867142857142857,1.50571428571429,84.5442857142857,13.7646479798646,16.3671428571429,83.8885714285714
2020-04-05,606,19.84,16.6371428571429,15.53,19.6814285714286,24.7885714285714,1.03,1.73428571428571,84.0257142857143,14.2486794767547,19.2,83.8928571428571
2020-04-12,794,15.64,16.7328571428571,15.5942857142857,19.9385714285714,25.1271428571429,1.29571428571429,2.19571428571429,83.3842857142857,14.3510674881115,17.9714285714286,83.9071428571429
2020-04-19,969,86.58,17.3142857142857,17.03,19.8614285714286,24.1171428571429,0.922857142857143,1.58857142857143,86.2685714285714,14.7890425703692,14.76,83.91
2020-04-26,1154,115.74,16.54,15.9428571428571,19.3942857142857,23.6014285714286,0.71,1.28857142857143,84.74,14.1250023008959,15.2114285714286,83.9471428571429
2020-05-03,1650,60.99,16.7857142857143,15.7085714285714,18.9071428571429,23.1471428571429,1.28142857142857,2.15142857142857,88.1528571428571,14.2825699682692,13.7414285714286,84.0885714285714
2020-05-10,1898,40.91,16.8928571428571,15.8542857142857,19.2171428571429,23.7014285714286,1.46857142857143,2.50857142857143,87.4485714285714,14.4279244720552,16.8857142857143,83.99
2020-05-17,2013,38.72,16.8371428571429,15.41,19.0457142857143,23.6657142857143,1.21571428571429,2.09,87.9471428571429,14.364321390336,16.7628571428571,84.0557142857143
2020-05-24,2212,3.35,15.5757142857143,14.21,18.4057142857143,23.6771428571429,1.30857142857143,2.28285714285714,84.8128571428571,13.3509152719727,19.2842857142857,84.1585714285714
2020-05-31,2454,0.57,16.0257142857143,14.3871428571429,19.1957142857143,24.6514285714286,1.23142857142857,2.14142857142857,83.3042857142857,13.7381148160298,21.2257142857143,84.0628571428571
2020-06-07,2858,0.72,15.0457142857143,13.4242857142857,18.1385714285714,23.5585714285714,1.29857142857143,2.29,83.5785714285714,12.9396314869102,20.8742857142857,84.1257142857143
2020-06-14,3517,54.8,15.2585714285714,14.1385714285714,17.5457142857143,21.8142857142857,1.17571428571429,2.05428571428571,87.3857142857143,13.0573368298415,13.7114285714286,84.0414285714286
2020-06-21,4624,7.58,14.2428571428571,13.1085714285714,17.01,21.9071428571429,1.27285714285714,2.23857142857143,84.9528571428571,12.2981269496318,16.1228571428571,84.15
2020-06-28,5901,6.83,14.5442857142857,12.9171428571429,17.6885714285714,23.1014285714286,1.36428571428571,2.38714285714286,83.2757142857143,12.552003203501,15.9857142857143,84.0142857142857
2020-07-05,7409,0.07,13.9871428571429,12.1028571428571,17.3042857142857,23.3157142857143,1.53857142857143,2.68571428571429,82.33,12.1259635698634,18.6428571428571,83.9942857142857
2020-07-12,8577,19.07,14.2942857142857,12.5157142857143,17.5871428571429,23.3428571428571,1.60142857142857,2.74,82.5257142857143,12.3692201674042,16.07,83.9814285714286
2020-07-19,10308,14.64,12.8257142857143,12.4914285714286,16.5342857142857,21.8742857142857,1.73142857142857,2.90142857142857,80.4285714285714,11.3385640989222,13.8071428571429,84.0342857142857
2020-07-26,11985,17.26,13.2728571428571,12.1457142857143,16.8557142857143,22.3457142857143,1.43,2.47,81.1971428571429,11.6424653864793,15.0457142857143,83.9685714285714
2020-08-02,13888,0.09,13.1971428571429,12.0928571428571,17.6085714285714,23.7657142857143,1.52571428571429,2.63428571428571,77.6257142857143,11.647411458603,18.5857142857143,84.07
2020-08-09,14808,3.6,13.09,12.1728571428571,18.0942857142857,24.1714285714286,1.50142857142857,2.52142857142857,74.8642857142857,11.5715568684744,17.8314285714286,84.1214285714286
2020-08-16,15810,4.89,14.4971428571429,15.1828571428571,19.8,25.0614285714286,1.13285714285714,1.82285714285714,73.3671428571429,12.528443984653,15.4757142857143,83.9442857142857
2020-08-23,19236,12.37,14.2114285714286,14.58,19.5557142857143,25.4614285714286,1.65,2.64142857142857,73.67,12.3932907922297,16.9628571428571,83.8528571428571
2020-08-30,25745,8.07,13.6271428571429,13.9,19.7942857142857,25.7585714285714,1.44571428571429,2.26571428571429,69.9471428571429,11.934239116027,17.0828571428571,83.9128571428571
2020-09-06,29705,3.27,12.86,14.0114285714286,19.6485714285714,25.2342857142857,1.35428571428571,2.15285714285714,67.42,11.4125761254323,18.1214285714286,83.9214285714286
2020-09-13,31477,15.69,14.26,14.6285714285714,19.3271428571429,24.89,1.6,2.51857142857143,74.6428571428571,12.386016636847,15.3657142857143,83.9342857142857
2020-09-20,32584,2.72,13.9914285714286,16.1671428571429,21.2985714285714,27.5671428571429,1.59571428571429,2.49285714285714,65.93,12.2857827334197,20.4257142857143,83.9171428571429
2020-09-27,33457,15.86,14.9571428571429,15.7557142857143,20.3857142857143,25.9314285714286,1.43428571428571,2.27857142857143,73.4285714285714,12.9641617397461,16.8785714285714,83.9014285714286
2020-10-04,33916,29.52,14.8428571428571,15.0828571428571,19.6628571428571,25.1828571428571,1.37285714285714,2.28285714285714,75.7857142857143,12.8278400654912,17.76,83.8585714285714
2020-10-11,34186,8.87,14.6271428571429,15.4471428571429,20.4214285714286,26.5271428571429,1.32428571428571,2.26714285714286,72.0628571428571,12.7611066566126,20.0385714285714,83.9071428571429
2020-10-18,34616,24.77,15.3171428571429,15.5528571428571,19.7971428571429,25.45,1.47714285714286,2.43714285714286,77.3214285714286,13.1942559960048,16.86,83.8857142857143
2020-10-25,35195,47.07,15.8042857142857,15.2342857142857,19.8114285714286,25.5071428571429,1.24857142857143,2.11714285714286,79.8685714285714,13.6449561061177,15.6485714285714,83.8485714285714
2020-11-01,35834,57.22,15.5442857142857,14.8371428571429,18.7057142857143,23.64,1.44,2.38714285714286,83.2685714285714,13.33112358901,13.9885714285714,83.8542857142857
2020-11-08,36326,49.77,15.67,15.1742857142857,18.8342857142857,23.93,1.35714285714286,2.39857142857143,83.1242857142857,13.3969297833133,16.1328571428571,83.8985714285714
2020-11-15,37346,42.56,16.02,14.7785714285714,19.4185714285714,24.9571428571429,1.16285714285714,2,82.6614285714286,13.8040100344325,15.4757142857143,83.8528571428571
2020-11-22,38984,187.87,16.0228571428571,15.0928571428571,19.2257142857143,24.1114285714286,1.01285714285714,1.79857142857143,83.2942857142857,13.7580696111441,15.8728571428571,83.7871428571429
2020-11-29,40788,19.91,16.1842857142857,14.7728571428571,19.14,24.3557142857143,1.18428571428571,2.11428571428571,84.4457142857143,13.8682680796937,16.33,83.8542857142857
2020-12-06,42143,20.86,15.9342857142857,14.7642857142857,19.31,24.8014285714286,1.23428571428571,2.16714285714286,82.7157142857143,13.7223637113765,16.53,83.8914285714286
2020-12-13,44670,54.39,15.7685714285714,14.37,19.01,24.4914285714286,1.32428571428571,2.37714285714286,83.2928571428571,13.5736049651542,18.0657142857143,83.8971428571429
