"Dates","cc","pr","tdew","tmin","tmoy","tmax","wspd","wspd10","rh","ah","insol","ps"
2020-03-15,2,0,-0.905,18.145,25.19,33.425,4.025,5.42,18.285,4.25157896011966,21.44,94.63
2020-03-22,9,0,-6.19571428571429,17.2128571428571,26.1442857142857,36.0385714285714,3.79,5.17571428571429,11.9542857142857,2.9337673748849,26.2257142857143,94.5285714285714
2020-03-29,24,0,-2.23857142857143,21.5328571428571,30.13,39.7485714285714,3.01571428571429,4.31857142857143,12.9471428571429,3.9684896220156,25.8528571428571,94.2971428571429
2020-04-05,59,0,-3.63571428571429,21.07,30.26,40.26,3.37,4.77285714285714,11.7057142857143,3.61785802142672,26.58,94.3214285714286
2020-04-12,107,0,-1.76285714285714,23.0557142857143,30.9457142857143,39.0457142857143,3.07857142857143,4.28428571428571,12.6428571428571,4.01983783700326,25.1614285714286,94.3457142857143
2020-04-19,276,0,-6.28,19.5485714285714,27.5857142857143,36.5642857142857,3.84857142857143,5.28142857142857,11.0971428571429,3.00910574529066,26.8214285714286,94.4871428571429
2020-04-26,1125,0,-5.64571428571429,20.1457142857143,29.9214285714286,39.7871428571429,2.62,3.88285714285714,10.0628571428571,3.04295088829215,28.1485714285714,94.3442857142857
2020-05-03,2910,0.43,-2.29571428571429,22.16,31.0728571428571,40.2214285714286,2.81714285714286,3.95285714285714,12.4442857142857,4.05316122521094,26.4457142857143,94.42
2020-05-10,6443,0.15,1.07857142857143,24.3314285714286,31.9585714285714,39.7642857142857,3.22714285714286,4.39428571428571,17.2414285714286,5.96136661086042,25.3528571428571,94.3757142857143
2020-05-17,12586,7.37,4.15,24.8914285714286,32.6,40.6885714285714,3.40714285714286,4.60571428571429,21.0542857142857,7.35296654528599,24.8028571428571,94.3671428571429
2020-05-24,21198,19.36,18.4857142857143,24.6214285714286,30.5785714285714,36.7328571428571,2.50857142857143,3.36285714285714,52.1157142857143,16.2462858200773,21.6185714285714,94.5342857142857
2020-05-31,29961,0,4.48285714285714,22.9071428571429,31.5428571428571,39.9985714285714,2.54285714285714,3.50714285714286,22.4,7.42642595147036,26.6414285714286,94.4242857142857
2020-06-07,38669,0.38,6.86714285714286,24.3071428571429,32.78,41.0328571428571,2.17714285714286,2.99142857142857,25.8814285714286,9.12274321125797,25.2114285714286,94.3685714285714
2020-06-14,45948,11.38,17.6357142857143,24.4657142857143,30.1371428571429,36.6014285714286,3.44,4.52857142857143,51.0814285714286,15.4429680211492,19.91,94.3328571428571
2020-06-21,55431,6.58,16.2328571428571,23.81,30.0957142857143,36.7385714285714,3.07285714285714,4.08285714285714,48.5614285714286,14.7805114723481,21.7828571428571,94.4514285714286
2020-06-28,62821,6.24,16.9028571428571,24.5657142857143,30.9342857142857,37.5928571428571,3.58,4.70428571428571,46.3114285714286,14.7721151272083,21.5842857142857,94.3085714285714
2020-07-05,66910,1.59,17.2771428571429,24.4728571428571,30.5914285714286,37.2528571428571,3.85142857142857,5.06857142857143,48.5814285714286,15.2032821995493,21.5142857142857,94.2842857142857
2020-07-12,70400,13.62,18.5457142857143,23.7285714285714,28.69,34.6985714285714,3.65142857142857,4.84714285714286,57.1428571428571,16.0818134237752,18.6028571428571,94.3685714285714
