"Dates","cc","pr","tdew","tmin","tmoy","tmax","wspd","wspd10","rh","ah","insol","ps"
2020-03-15,2,2.39,17.15,19.16,24.85,32.895,1.175,1.86,68.285,15.5649665388719,19.855,92.035
2020-03-22,10,14.53,15.8342857142857,16.4285714285714,22.1985714285714,29.6171428571429,1.64571428571429,2.6,71.3557142857143,14.0268677471334,18.0057142857143,92.3214285714286
2020-03-29,45,17.73,13.9028571428571,14.8471428571429,21.4171428571429,29.5971428571429,1.48857142857143,2.46285714285714,67.59,12.6442192679496,18.1414285714286,92.1542857142857
2020-04-05,63,7.52,13.4314285714286,14.0128571428571,20.0728571428571,27.5471428571429,1.81714285714286,2.92857142857143,69.5985714285714,12.1462870111986,13.8428571428571,92.3985714285714
2020-04-12,82,5.55,11.6642857142857,14.4471428571429,20.8414285714286,29.1742857142857,1.72285714285714,2.85,61.4914285714286,10.9453042274256,15.9057142857143,92.3014285714286
2020-04-19,121,56.94,14.6928571428571,14.8214285714286,19.7971428571429,27.0842857142857,1.51714285714286,2.43857142857143,76.2142857142857,12.9875718298431,14.6771428571429,92.4471428571429
2020-04-26,268,18.03,13.4685714285714,13.7414285714286,18.5342857142857,25.33,1.28857142857143,2.17571428571429,76.4814285714286,12.1130336770981,16.3971428571429,92.5585714285714
2020-05-03,653,9.36,11.2442857142857,12.1842857142857,17.97,25.7071428571429,1.17714285714286,2.04428571428571,69.1342857142857,10.5726749618851,14.8542857142857,92.5357142857143
2020-05-10,1005,0.19,11.0628571428571,11.3742857142857,17.07,24.7571428571429,1.11857142857143,1.99,71.8742857142857,10.4545944509712,15.6942857142857,92.9085714285714
2020-05-17,1328,2.45,6.79571428571429,9.85285714285714,16.46,25.68,1.68714285714286,2.98571428571429,58.6428571428571,8.18807979231664,16.3528571428571,92.5828571428571
2020-05-24,1563,0.2,7.16857142857143,10.0742857142857,16.4457142857143,25.1814285714286,1.31857142857143,2.45714285714286,59.7485714285714,8.33039542786023,15.9228571428571,92.9514285714286
2020-05-31,1915,0.09,2.57714285714286,8.45714285714286,15.0328571428571,24.62,1.73428571428571,3.10285714285714,47.8385714285714,6.23697808657551,15.4528571428571,92.34
2020-06-07,2142,0.34,7.26714285714286,9.23142857142857,15.7728571428571,24.7242857142857,1.25428571428571,2.33571428571429,63.1,8.40844336091885,13.6942857142857,92.9628571428571
2020-06-14,3006,0.06,0.722857142857143,6.49,13.4785714285714,22.8614285714286,1.82428571428571,3.28571428571429,47.0242857142857,5.58563829734988,15.1657142857143,92.6528571428571
2020-06-21,4060,33.02,5.61428571428571,7.01428571428571,11.4214285714286,17.7142857142857,1.75571428571429,2.99857142857143,72.6157142857143,7.40932279399646,10.7514285714286,93.25
2020-06-28,4967,0.05,4.00857142857143,7.15571428571429,13.5371428571429,22.9657142857143,1.71142857142857,3.14428571428571,58.5642857142857,6.8087853271886,14.5585714285714,92.5585714285714
2020-07-05,6171,0.56,4.99285714285714,8.25857142857143,14.2228571428571,23.4342857142857,1.40285714285714,2.54714285714286,60.0428571428571,7.2866853065761,13.8328571428571,92.8614285714286
2020-07-12,8337,0.32,3.72857142857143,8.05,14.4685714285714,23.4028571428571,2.28142857142857,3.94,54.31,6.72187154783507,13.9171428571429,92.5757142857143
2020-07-19,11005,0,-3.67142857142857,4.44285714285714,11.9714285714286,22.2885714285714,1.84142857142857,3.32,37.5985714285714,3.96651289844062,16.5285714285714,93.0842857142857
2020-07-26,14101,5.78,3.70571428571429,6.42142857142857,13.0585714285714,21.94,1.34285714285714,2.41857142857143,59.7471428571429,6.74416789121849,14.9928571428571,93.0342857142857
2020-08-02,17977,7.16,4.93285714285714,8.02285714285714,14.2771428571429,23.3928571428571,1.69142857142857,2.95571428571429,60.25,7.32617256388036,14.6757142857143,93.0071428571429
2020-08-09,20971,0.21,3.91142857142857,8.56571428571429,15.5071428571429,25.4285714285714,2.19142857142857,3.59428571428571,54.18,7.06647313475379,15.9771428571429,92.7571428571429
2020-08-16,25097,0.1,1.74,9.76571428571429,17.3271428571429,28.0628571428571,2.16714285714286,3.60142857142857,41.9457142857143,6.1524451322274,18.32,92.2557142857143
2020-08-23,28593,1.76,2.69857142857143,7.62,14.4514285714286,23.2014285714286,2.03857142857143,3.31571428571429,51.8757142857143,6.44384921409013,15.2671428571429,92.5657142857143
2020-08-30,30983,3.27,5.51,11.8771428571429,19.4042857142857,29.0528571428571,2.34,3.74428571428571,46.8028571428571,7.65471857491473,14.6014285714286,92.0371428571429
2020-09-06,33035,4.35,8.79714285714286,9.97142857142857,15.2342857142857,22.7757142857143,1.84285714285714,2.83285714285714,69.5157142857143,9.06121426551281,12.6171428571429,92.9871428571429
2020-09-13,34868,0.4,8.49428571428571,11.54,18.5057142857143,27.4185714285714,1.72571428571429,2.81428571428571,58.8371428571429,9.24584884352088,20.87,92.8271428571429
2020-09-20,36307,1.84,9.71285714285714,13.9771428571429,21.5457142857143,31.1985714285714,2.20714285714286,3.37285714285714,54.2057142857143,10.1329670137915,17.0385714285714,92.2371428571429
2020-09-27,37556,5.77,7.12571428571429,11.9928571428571,19.8414285714286,29.1414285714286,2.52857142857143,3.90285714285714,50.1428571428571,8.30605987637178,16.58,92.2957142857143
2020-10-04,38516,31.57,12.1785714285714,12.2871428571429,17.0128571428571,24.2042857142857,2.40571428571429,3.59428571428571,76.4371428571429,11.0903208850333,8.71857142857143,92.4071428571429
2020-10-11,39399,29.03,12.5385714285714,13.2257142857143,18.9314285714286,26.0142857142857,2.59142857142857,3.93714285714286,70.3757142857143,11.4518289389281,13.0642857142857,92.2785714285714
2020-10-18,40118,0.96,10.9814285714286,12.8114285714286,20.5214285714286,30.0085714285714,2.17571428571429,3.35714285714286,60.3842857142857,10.7502828996741,21.9257142857143,92.4971428571429
2020-10-25,40739,4.89,13.2,15.2271428571429,22.9142857142857,32.4757142857143,2.28571428571429,3.52142857142857,61.0442857142857,12.4089251149137,20.9014285714286,92.3657142857143
2020-11-01,41274,8.42,12.8714285714286,16.1728571428571,22.14,29.8828571428571,2.35142857142857,3.61428571428571,61.3128571428571,11.7841939600926,20.0171428571429,92.4528571428571
2020-11-08,41761,10.53,14.3357142857143,18.1957142857143,25.7942857142857,34.6885714285714,2.03714285714286,3.20571428571429,56.16,13.2051945640873,22.1642857142857,91.9357142857143
2020-11-15,42405,9.34,12.54,15.2528571428571,22.6742857142857,31.2685714285714,2.41571428571429,3.64285714285714,59.08,11.7561983949847,23.2585714285714,92.3714285714286
2020-11-22,43138,10.4,14.2442857142857,16.8771428571429,23.7957142857143,31.4485714285714,2.16571428571429,3.27428571428571,59.8657142857143,12.7715273521595,17.2671428571429,91.9714285714286
2020-11-29,44259,12.47,14.6985714285714,16.58,23.9157142857143,31.8314285714286,2.5,3.77571428571429,61.2571428571429,13.1458651382637,18.6014285714286,92.0357142857143
2020-12-06,45266,8.07,13.25,14.7871428571429,21.7828571428571,30.4571428571429,2.31857142857143,3.47857142857143,64.2042857142857,12.2231574854698,20.0857142857143,92.14
2020-12-13,46504,16.05,15.7628571428571,18.0985714285714,25.2328571428571,33.77,2.08,3.15571428571429,61.3128571428571,14.2311093824203,23.4857142857143,92.0557142857143
2020-12-20,49790,22.7,16.6814285714286,18.4457142857143,23.8814285714286,30.7385714285714,1.64714285714286,2.50857142857143,69.1871428571429,14.8884266564689,19.8057142857143,92.0985714285714
2020-12-27,56198,7.7,17.4442857142857,19.37,26.1128571428571,33.7828571428571,2.23857142857143,3.37,63.9628571428571,15.6518620832103,21.6114285714286,91.82
2021-01-03,65261,15.65,16.2085714285714,18.4557142857143,25.4614285714286,33.39,2.58714285714286,3.95142857142857,61.8485714285714,14.5904710193455,20.7671428571429,92.1271428571429
2021-01-10,75378,15.19,16.38,18.1014285714286,24.8,32.7585714285714,1.79142857142857,2.71714285714286,65.1185714285714,14.8353044352087,21.3557142857143,91.8271428571429
