"Code_ISO","Model","Param","RMSE.calib","MAE.calib","Qtest.calib","Coef","pv_model_p","pv_strig","rho.spearman","rho.pvalue"
"DZA","ARIMA","(3,2,3)","0.000211970399933623","0.000106546904077401","5.02686270387187e-09",NA,NA,NA,NA,NA
"DZA","ARIMAX/tdew_1","(3,2,3)","0.000211449193532326","0.000107862087766405","4.88785945051973e-09","9.72989884960973e-05","0.0486232685870667","0.943824464689618","-0.0873843780304229","0.00709967853636506"
"AGO","ARIMA","(1,1,1)","0.00188868136466436","0.000512697827258489","3.68338053502448e-07",NA,NA,NA,NA,NA
"AGO","ARIMAX/pr_23","(1,1,1)","0.00190506432500196","0.00055430786302516","9.19958228040585e-07","-0.00191415877891827","0.00994197743574361","0.448548618987881","0.0688317674818422","0.038750063464774"
"AGO","ARIMAX/pr_24","(1,1,1)","0.00190871443613394","0.000549726585312683","1.15865198524467e-06","0.00152339894916846","0.0406294559540002","0.470661789025241","0.0708790490008739","0.0333972519165703"
"AGO","ARIMAX/rh_28","(1,1,1)","0.001909324518667","0.000571268112913216","4.28380589667654e-07","0.00238708830835483","0.00587234625573638","0.366823774898721","0.0667191891325274","0.0457517140398656"
"AGO","ARIMAX/tmax_24","(1,1,1)","0.00190828391078035","0.000554498012413308","7.65472964014968e-07","-0.00113819176723799","0.0333206514861282","0.490323834506148","-0.0869103309420803","0.00905219591475384"
"AGO","ARIMAX/tmax_27","(1,1,1)","0.0019032314143413","0.000586714402628182","1.12537410512648e-06","0.00187529417506131","0.000440190575112218","0.423303731102991","-0.0942703599351669","0.00469378746677406"
"AGO","ARIMAX/tmax_28","(1,1,1)","0.00191162536594474","0.000563708449073249","5.22669048264035e-07","-0.00124875582514272","0.0201438856094244","0.380139516310056","-0.0966038915045109","0.0037792372766356"
"AGO","ARIMAX/tmoy_27","(1,1,1)","0.00190797480590566","0.000577771284480528","8.63351090618636e-07","0.00260997406290472","0.00503892364967115","0.443624451374185","-0.08733815774291","0.0088293580297823"
"AGO","ARIMAX/tmoy_28","(1,1,1)","0.00191161356765583","0.000564748529604058","1.16456721410696e-06","-0.00217772545025708","0.0198466065016554","0.387173058515033","-0.0884699928558662","0.00802115930697648"
"BEN","ARIMA","(2,1,2)","0.00558225508435783","0.00182340878498057","0",NA,NA,NA,NA,NA
"BEN","ARIMAX/pr_16","(2,1,2)","0.00561358183701338","0.00181370056791642","0","0.00443925187882118","0.0384939255158626","0.0809948872868095","-0.0658503850420156","0.0466833887401794"
"BEN","ARIMAX/pr_17","(2,1,2)","0.0055640030385615","0.00197917348975075","0","-0.00927459894510948","1.15009952828521e-05","0.0713678088995987","-0.0661731574818807","0.0457345664645365"
"BEN","ARIMAX/pr_19","(2,1,2)","0.00561529365774526","0.00190539702202037","0","0.00459240430391511","0.0368408517412407","0.0560926611669581","-0.0699815603425396","0.0347925347981474"
"BEN","ARIMAX/pr_22","(2,1,2)","0.00559257224140592","0.00199971479916588","0","-0.00870518154926558","0.00011337376021987","0.0655576976824079","-0.0796724875949033","0.0163969180878676"
